"","HMDM-RNAseq-mock-24h-4G2neg-p1 FPKM","HMDM-RNAseq-mock-24h-4G2neg-p3 FPKM","HMDM-RNAseq-mock-24h-4G2neg-p4 FPKM","HMDM-RNAseq-mock-24h-4G2neg-p5 FPKM","HMDM-RNAseq-mock-24h-4G2neg-p6 FPKM","HMDM-RNAseq-FSSADE-12h-4G2neg-p4 FPKM","HMDM-RNAseq-FSSADE-12h-4G2neg-p5 FPKM","HMDM-RNAseq-FSSADE-12h-4G2neg-p6 FPKM","HMDM-RNAseq-FSSADE-12h-4G2pos-p4 FPKM","HMDM-RNAseq-FSSADE-12h-4G2pos-p5 FPKM","HMDM-RNAseq-FSSADE-12h-4G2pos-p6 FPKM","HMDM-RNAseq-FSSADE-18h-4G2neg-p4 FPKM","HMDM-RNAseq-FSSADE-18h-4G2neg-p5 FPKM","HMDM-RNAseq-FSSADE-18h-4G2neg-p6 FPKM","HMDM-RNAseq-FSSADE-18h-4G2pos-p4 FPKM","HMDM-RNAseq-FSSADE-18h-4G2pos-p5 FPKM","HMDM-RNAseq-FSSADE-18h-4G2pos-p6 FPKM","HMDM-RNAseq-FSSADE-24h-4G2neg-p1 FPKM","HMDM-RNAseq-FSSADE-24h-4G2neg-p3 FPKM","HMDM-RNAseq-FSSADE-24h-4G2neg-p4 FPKM","HMDM-RNAseq-FSSADE-24h-4G2neg-p5 FPKM","HMDM-RNAseq-FSSADE-24h-4G2neg-p6 FPKM","HMDM-RNAseq-FSSADE-24h-4G2pos-p1 FPKM","HMDM-RNAseq-FSSADE-24h-4G2pos-p3 FPKM","HMDM-RNAseq-FSSADE-24h-4G2pos-p4 FPKM","HMDM-RNAseq-FSSADE-24h-4G2pos-p5 FPKM","HMDM-RNAseq-FSSADE-24h-4G2pos-p6 FPKM"
"OAS3",6,7,7,5,6,76,82,114,19,8,10,147,142,185,14,8,11,134,162,156,137,189,8,3,9,7,10
"HERC5",2,3,3,4,3,62,91,94,12,5,3,107,129,107,9,7,7,78,83,110,139,96,24,15,22,14,19
"OASL",0,0,0,0,0,26,27,33,4,0,1,50,42,53,5,2,4,34,35,64,54,58,27,16,25,10,20
"IFI44L",0,0,0,0,0,30,31,48,5,0,0,58,52,60,2,1,1,58,53,66,56,52,2,0,2,1,1
"IFIT3",2,3,7,4,5,550,430,588,96,9,14,695,567,641,38,18,20,314,293,722,496,552,46,17,44,25,31
"CXCL10",1,0,1,0,1,548,415,833,81,8,19,1509,1588,1334,56,34,26,1375,732,2065,1588,1310,26,4,61,25,35
"IFIT2",1,1,3,1,2,457,327,521,81,5,8,626,477,540,29,12,15,321,228,661,445,437,76,30,59,24,39
"ISG15",2,3,7,5,6,266,229,288,53,8,12,840,470,892,38,10,24,308,398,1246,774,1395,26,12,65,21,49
"CMPK2",1,1,1,2,1,62,75,63,11,3,1,78,89,71,4,4,2,59,73,85,85,74,6,4,8,7,6
"IFIT1",1,1,3,3,3,425,364,483,65,4,5,639,491,556,16,5,6,353,267,700,502,509,22,8,26,10,17
"STAT1",24,29,31,36,25,230,357,310,88,95,81,397,493,373,140,171,110,251,325,397,408,318,52,37,116,150,93
"IFI44",3,2,3,5,3,79,91,107,14,3,1,101,107,103,5,3,2,89,82,109,109,85,9,2,8,5,5
"IFI35",6,7,9,8,8,55,53,61,17,9,15,119,95,121,24,16,19,83,102,143,101,130,9,6,25,17,20
"SAMD9L",6,4,4,6,5,62,75,95,14,7,6,96,111,109,8,9,6,96,79,108,107,91,4,1,6,7,3
"MX2",4,4,4,9,5,89,112,105,17,7,3,139,150,138,6,6,4,103,110,138,141,122,4,2,6,7,4
"NT5C3A",2,2,3,4,2,21,31,39,5,4,3,58,66,57,5,4,3,52,44,81,98,59,5,6,7,5,4
"IFI6",13,24,30,23,25,166,159,226,54,26,27,420,414,482,55,35,58,267,459,650,669,917,32,30,85,51,91
"IFIH1",10,9,8,12,9,68,88,99,22,15,12,108,120,121,22,19,19,106,96,126,141,115,29,21,33,28,26
"OAS1",11,12,12,13,10,103,115,110,23,15,10,159,159,152,15,12,10,117,127,174,169,135,7,4,12,12,9
"HERC6",1,1,1,1,1,20,16,24,5,1,1,33,26,32,3,1,2,14,22,29,19,22,5,3,4,2,3
