"SampleID","Condition","Timepoint","Patient"
"HMDM-RNAseq-mock-24h-4G2neg-p1 FPKM","Mock","24h","p1"
"HMDM-RNAseq-mock-24h-4G2neg-p3 FPKM","Mock","24h","p3"
"HMDM-RNAseq-mock-24h-4G2neg-p4 FPKM","Mock","24h","p4"
"HMDM-RNAseq-mock-24h-4G2neg-p5 FPKM","Mock","24h","p5"
"HMDM-RNAseq-mock-24h-4G2neg-p6 FPKM","Mock","24h","p6"
"HMDM-RNAseq-FSSADE-12h-4G2neg-p4 FPKM","ZIKV_negative","12h","p4"
"HMDM-RNAseq-FSSADE-12h-4G2neg-p5 FPKM","ZIKV_negative","12h","p5"
"HMDM-RNAseq-FSSADE-12h-4G2neg-p6 FPKM","ZIKV_negative","12h","p6"
"HMDM-RNAseq-FSSADE-12h-4G2pos-p4 FPKM","ZIKV_positive","12h","p4"
"HMDM-RNAseq-FSSADE-12h-4G2pos-p5 FPKM","ZIKV_positive","12h","p5"
"HMDM-RNAseq-FSSADE-12h-4G2pos-p6 FPKM","ZIKV_positive","12h","p6"
"HMDM-RNAseq-FSSADE-18h-4G2neg-p4 FPKM","ZIKV_negative","18h","p4"
"HMDM-RNAseq-FSSADE-18h-4G2neg-p5 FPKM","ZIKV_negative","18h","p5"
"HMDM-RNAseq-FSSADE-18h-4G2neg-p6 FPKM","ZIKV_negative","18h","p6"
"HMDM-RNAseq-FSSADE-18h-4G2pos-p4 FPKM","ZIKV_positive","18h","p4"
"HMDM-RNAseq-FSSADE-18h-4G2pos-p5 FPKM","ZIKV_positive","18h","p5"
"HMDM-RNAseq-FSSADE-18h-4G2pos-p6 FPKM","ZIKV_positive","18h","p6"
"HMDM-RNAseq-FSSADE-24h-4G2neg-p1 FPKM","ZIKV_negative","24h","p1"
"HMDM-RNAseq-FSSADE-24h-4G2neg-p3 FPKM","ZIKV_negative","24h","p3"
"HMDM-RNAseq-FSSADE-24h-4G2neg-p4 FPKM","ZIKV_negative","24h","p4"
"HMDM-RNAseq-FSSADE-24h-4G2neg-p5 FPKM","ZIKV_negative","24h","p5"
"HMDM-RNAseq-FSSADE-24h-4G2neg-p6 FPKM","ZIKV_negative","24h","p6"
"HMDM-RNAseq-FSSADE-24h-4G2pos-p1 FPKM","ZIKV_positive","24h","p1"
"HMDM-RNAseq-FSSADE-24h-4G2pos-p3 FPKM","ZIKV_positive","24h","p3"
"HMDM-RNAseq-FSSADE-24h-4G2pos-p4 FPKM","ZIKV_positive","24h","p4"
"HMDM-RNAseq-FSSADE-24h-4G2pos-p5 FPKM","ZIKV_positive","24h","p5"
"HMDM-RNAseq-FSSADE-24h-4G2pos-p6 FPKM","ZIKV_positive","24h","p6"
