"SampleID","Condition","title","description","source_name_ch1","Platform","GEO_matrix_index"
"GSM3324430","Mock","Human1_RNA_Mock_24h","RNAseq_HMDM_ZIKV_2018.txt","Human blood monocytes derived","GPL11154",1
"GSM3324431","ZIKV_negative","Human1_RNA_FSS_ZIKVnegative_24h","RNAseq_HMDM_ZIKV_2018.txt","Human blood monocytes derived","GPL11154",1
"GSM3324432","ZIKV_positive","Human1_RNA_FSS_ZIKVpositive_24h","RNAseq_HMDM_ZIKV_2018.txt","Human blood monocytes derived","GPL11154",1
"GSM3324433","ZIKV_negative","Human1_RNA_SD001_ZIKVnegative_24h","RNAseq_HMDM_ZIKV_2018.txt","Human blood monocytes derived","GPL11154",1
"GSM3324434","ZIKV_positive","Human1_RNA_SD001_ZIKVpositive_24h","RNAseq_HMDM_ZIKV_2018.txt","Human blood monocytes derived","GPL11154",1
"GSM3324435","Mock","Human3_RNA_Mock_24h","RNAseq_HMDM_ZIKV_2018.txt","Human blood monocytes derived","GPL11154",1
"GSM3324436","ZIKV_negative","Human3_RNA_FSS_ZIKVnegative_24h","RNAseq_HMDM_ZIKV_2018.txt","Human blood monocytes derived","GPL11154",1
"GSM3324437","ZIKV_positive","Human3_RNA_FSS_ZIKVpositive_24h","RNAseq_HMDM_ZIKV_2018.txt","Human blood monocytes derived","GPL11154",1
"GSM3324438","ZIKV_negative","Human3_RNA_SD001_ZIKVnegative_24h","RNAseq_HMDM_ZIKV_2018.txt","Human blood monocytes derived","GPL11154",1
"GSM3324439","ZIKV_positive","Human3_RNA_SD001_ZIKVpositive_24h","RNAseq_HMDM_ZIKV_2018.txt","Human blood monocytes derived","GPL11154",1
"GSM3324440","Mock","Human4_RNA_Mock_24h","RNAseq_HMDM_ZIKV_2018.txt","Human blood monocytes derived","GPL11154",1
"GSM3324441","ZIKV_negative","Human4_RNA_ZIKVnegative_12h","RNAseq_HMDM_ZIKV_2018.txt","Human blood monocytes derived","GPL11154",1
"GSM3324442","ZIKV_negative","Human4_RNA_ZIKVnegative_18h","RNAseq_HMDM_ZIKV_2018.txt","Human blood monocytes derived","GPL11154",1
"GSM3324443","ZIKV_negative","Human4_RNA_ZIKVnegative_24h","RNAseq_HMDM_ZIKV_2018.txt","Human blood monocytes derived","GPL11154",1
"GSM3324444","ZIKV_positive","Human4_RNA_ZIKVpositive_12h","RNAseq_HMDM_ZIKV_2018.txt","Human blood monocytes derived","GPL11154",1
"GSM3324445","ZIKV_positive","Human4_RNA_ZIKVpositive_18h","RNAseq_HMDM_ZIKV_2018.txt","Human blood monocytes derived","GPL11154",1
"GSM3324446","ZIKV_positive","Human4_RNA_ZIKVpositive_24h","RNAseq_HMDM_ZIKV_2018.txt","Human blood monocytes derived","GPL11154",1
"GSM3324447","Mock","Human5_RNA_Mock_24h","RNAseq_HMDM_ZIKV_2018.txt","Human blood monocytes derived","GPL11154",1
"GSM3324448","ZIKV_negative","Human5_RNA_ZIKVnegative_12h","RNAseq_HMDM_ZIKV_2018.txt","Human blood monocytes derived","GPL11154",1
"GSM3324449","ZIKV_negative","Human5_RNA_ZIKVnegative_18h","RNAseq_HMDM_ZIKV_2018.txt","Human blood monocytes derived","GPL11154",1
"GSM3324450","ZIKV_negative","Human5_RNA_ZIKVnegative_24h","RNAseq_HMDM_ZIKV_2018.txt","Human blood monocytes derived","GPL11154",1
"GSM3324451","ZIKV_positive","Human5_RNA_ZIKVpositive_12h","RNAseq_HMDM_ZIKV_2018.txt","Human blood monocytes derived","GPL11154",1
"GSM3324452","ZIKV_positive","Human5_RNA_ZIKVpositive_18h","RNAseq_HMDM_ZIKV_2018.txt","Human blood monocytes derived","GPL11154",1
"GSM3324453","ZIKV_positive","Human5_RNA_ZIKVpositive_24h","RNAseq_HMDM_ZIKV_2018.txt","Human blood monocytes derived","GPL11154",1
"GSM3324454","Mock","Human6_RNA_Mock_24h","RNAseq_HMDM_ZIKV_2018.txt","Human blood monocytes derived","GPL11154",1
"GSM3324455","ZIKV_negative","Human6_RNA_ZIKVnegative_12h","RNAseq_HMDM_ZIKV_2018.txt","Human blood monocytes derived","GPL11154",1
"GSM3324456","ZIKV_negative","Human6_RNA_ZIKVnegative_18h","RNAseq_HMDM_ZIKV_2018.txt","Human blood monocytes derived","GPL11154",1
"GSM3324457","ZIKV_negative","Human6_RNA_ZIKVnegative_24h","RNAseq_HMDM_ZIKV_2018.txt","Human blood monocytes derived","GPL11154",1
"GSM3324458","ZIKV_positive","Human6_RNA_ZIKVpositive_12h","RNAseq_HMDM_ZIKV_2018.txt","Human blood monocytes derived","GPL11154",1
"GSM3324459","ZIKV_positive","Human6_RNA_ZIKVpositive_18h","RNAseq_HMDM_ZIKV_2018.txt","Human blood monocytes derived","GPL11154",1
"GSM3324460","ZIKV_positive","Human6_RNA_ZIKVpositive_24h","RNAseq_HMDM_ZIKV_2018.txt","Human blood monocytes derived","GPL11154",1
