"Gene","Contrast","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"MX1","ZIKV_positive_vs_ZIKV_negative",149.8643386364,-4.63903426976926,0.215063849247927,4.22699890063823e-104,3.26408855107284e-100
"OAS1","ZIKV_positive_vs_ZIKV_negative",60.1255088609982,-4.20071882722005,0.261629998451909,8.84197827621252e-59,3.41388781244565e-55
"OAS3","ZIKV_positive_vs_ZIKV_negative",62.6195407604929,-4.5473127578125,0.284837883703584,2.96702188285915e-58,7.63711432647946e-55
"IFIT1","ZIKV_positive_vs_ZIKV_negative",178.526692283462,-4.90248970819497,0.330493280910607,8.35786864235445e-51,1.61348654140653e-47
"RSAD2","ZIKV_positive_vs_ZIKV_negative",117.808639141442,-5.59834552243557,0.382943467073693,9.57978786178794e-50,1.47950243737453e-46
"MX2","ZIKV_positive_vs_ZIKV_negative",48.8825958734023,-4.85516581534772,0.333243046716856,4.33261653454657e-49,5.57607747996143e-46
"OAS2","ZIKV_positive_vs_ZIKV_negative",42.9116138804401,-3.54690037345062,0.252078355030234,9.22613065248098e-46,1.01777401283512e-42
"TNFSF10","ZIKV_positive_vs_ZIKV_negative",72.2212105620184,-5.45926760769908,0.416243832105961,1.38602944717202e-40,1.33786492388279e-37
"IFI44","ZIKV_positive_vs_ZIKV_negative",38.4062998742879,-4.1658347380318,0.322896732403093,7.35861513947256e-39,6.31369178966745e-36
"CCL8","ZIKV_positive_vs_ZIKV_negative",186.221600862276,-5.35121621922099,0.418197488501998,1.00085679768217e-38,7.72861619170173e-36
"SAMD9L","ZIKV_positive_vs_ZIKV_negative",39.0574362521436,-4.62855203496464,0.360903786342262,1.41521357242724e-38,9.9347992784392e-36
"IFIT3","ZIKV_positive_vs_ZIKV_negative",187.045128664862,-3.97158334971822,0.309715402633694,2.17096810473631e-38,1.39701797539781e-35
"STAT2","ZIKV_positive_vs_ZIKV_negative",95.8452512654733,-2.24114233535426,0.181167498728942,7.37569643899858e-38,4.38116368476515e-35
"CXCL10","ZIKV_positive_vs_ZIKV_negative",537.970394702014,-5.56228793776099,0.44458663288026,2.9460295810257e-37,1.62494574462003e-34
"IFITM3","ZIKV_positive_vs_ZIKV_negative",89.8849654030648,-4.21040712174016,0.339655496894999,4.41388398723094e-36,2.27226747662649e-33
"LY6E","ZIKV_positive_vs_ZIKV_negative",99.8282750614229,-4.19800162918473,0.340715770347595,1.12750136753336e-35,5.44160347505788e-33
"CMPK2","ZIKV_positive_vs_ZIKV_negative",30.3579724241813,-3.75118155005497,0.304796402474695,1.4337792590183e-35,6.51273143419958e-33
"IFITM1","ZIKV_positive_vs_ZIKV_negative",60.1863540523564,-5.86615492695084,0.499617909736693,2.4180237276388e-33,1.03733217915704e-30
"IFI27","ZIKV_positive_vs_ZIKV_negative",45.9998349898378,-5.32953716038566,0.460663355089978,3.40775231783309e-32,1.38498228412143e-29
"IFIH1","ZIKV_positive_vs_ZIKV_negative",55.5338890266042,-2.26246649896369,0.201274280680717,5.19200017137547e-32,2.00463126616807e-29
"LGALS3BP","ZIKV_positive_vs_ZIKV_negative",38.8751407287428,-2.82072722586091,0.249671389567512,1.67939771640059e-31,6.17538531716444e-29
"IFI35","ZIKV_positive_vs_ZIKV_negative",48.6902134765839,-3.03348571105544,0.269453389981844,7.11698865158622e-31,2.49806301670676e-28
"RNF213","ZIKV_positive_vs_ZIKV_negative",92.0056323843741,-2.17398037510823,0.201551995763704,8.93727464622422e-30,3.00059281818015e-27
"IFI6","ZIKV_positive_vs_ZIKV_negative",242.485941246663,-3.50160060460581,0.318638072873581,5.41543409619628e-29,1.74241592045115e-26
"DDX58","ZIKV_positive_vs_ZIKV_negative",34.9804435449858,-2.98194331632776,0.277006619076775,1.29456111965129e-28,3.99864038637891e-26
"MNDA","ZIKV_positive_vs_ZIKV_negative",30.2771152791061,-4.22486093392185,0.387028743037914,1.4769498240292e-28,4.38654097736673e-26
"NFKBIA","ZIKV_positive_vs_ZIKV_negative",162.850110834805,-1.61452904003947,0.151367409404517,3.71495876426874e-28,1.06247820658086e-25
"SIGLEC1","ZIKV_positive_vs_ZIKV_negative",35.1478128249917,-4.25313318334721,0.402971911141206,7.20489869006246e-27,1.98700813159508e-24
"HERC5","ZIKV_positive_vs_ZIKV_negative",44.6473754145869,-2.57653382488511,0.253303045137205,1.0457601956278e-26,2.78460697608201e-24
"CCR1","ZIKV_positive_vs_ZIKV_negative",62.3687840894539,-2.88252266830458,0.279865214463741,1.10466893985351e-26,2.84341785118294e-24
"DDX60L","ZIKV_positive_vs_ZIKV_negative",41.6284614980072,-2.99983249243669,0.290349249255533,1.34445472981617e-26,3.34899336246466e-24
