"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0051607","defense response to virus","72/400","305/18842",0.236065573770492,11.119868852459,26.2411606874903,9.80407365837595e-55,5.76479531112506e-51,5.76479531112506e-51,"IFI16/TRIM22/USP18/APOBEC3C/DDX60/ISG15/ACOD1/BST2/IFIH1/DTX3L/IFITM2/UNC93B1/TRIM21/STAT2/CXCL10/ZNFX1/PML/PMAIP1/CASP1/IFIT5/IFITM3/IKBKE/STAT1/EIF2AK2/GBP1/MOV10/RSAD2/RNASE6/TRIM34/MX1/ISG20/DDX17/TRIM5/TNFAIP3/NLRC5/APOBEC3B/IFI6/LILRB1/IFI44L/ADAR/APOBEC3A/OAS2/RTP4/SAMHD1/MLKL/OAS3/IL27/IRF2/PARP9/HERC5/IFIT1/PLSCR1/GBP3/OAS1/IFIT2/IFITM1/IFIT3/OASL/MYD88/AIM2/DDX60L/IRF7/PYCARD/DHX58/ZBP1/APOBEC3G/IRF9/TRIM25/IFI27/IFNB1/NT5C3A/MX2",72
"GO:0009615","response to virus","79/400","400/18842",0.1975,9.3032375,24.7201674797589,8.68098678822984e-54,2.55221011573957e-50,2.55221011573957e-50,"IFI16/CCL8/TRIM22/USP18/APOBEC3C/DDX60/ISG15/ACOD1/BST2/IFIH1/DTX3L/IFITM2/UNC93B1/TRIM21/STAT2/CXCL10/ZNFX1/PML/PMAIP1/CASP1/IFIT5/IFITM3/IKBKE/STAT1/EIF2AK2/GBP1/MOV10/RSAD2/RNASE6/TRIM34/MX1/ISG20/DDX17/TRIM5/NMI/TNFAIP3/NLRC5/APOBEC3B/IFI6/LILRB1/IFI44L/ADAR/APOBEC3A/OAS2/IFI44/RTP4/SAMHD1/MLKL/OAS3/IL27/IRF2/PARP9/HERC5/IFIT1/PLSCR1/GBP3/OAS1/IFIT2/IFITM1/IFIT3/OASL/MYD88/LGALS9/CCL5/AIM2/DDX60L/IRF7/PYCARD/DHX58/ZBP1/CCL4/APOBEC3G/IRF9/TRIM25/IFI27/IFNB1/NT5C3A/PSMA2/MX2",79
"GO:0045071","negative regulation of viral genome replication","26/400","48/18842",0.541666666666667,25.5152083333333,25.0452030677314,2.51169196667222e-31,4.92291625467756e-28,4.92291625467756e-28,"IFI16/FAM111A/APOBEC3C/ISG15/BST2/IFIH1/IFITM2/ZNFX1/IFIT5/IFITM3/EIF2AK2/RSAD2/MX1/ISG20/APOBEC3B/APOBEC3A/OAS2/OAS3/IFIT1/PLSCR1/OAS1/IFITM1/OASL/CCL5/APOBEC3G/IFNB1",26
"GO:0048525","negative regulation of viral process","29/400","74/18842",0.391891891891892,18.4600675675676,22.163112151149,1.43732491973218e-29,2.1128676320063e-26,2.1128676320063e-26,"IFI16/FAM111A/APOBEC3C/ISG15/BST2/IFIH1/IFITM2/TRIM21/ZNFX1/IFIT5/IFITM3/STAT1/EIF2AK2/RSAD2/MX1/ISG20/APOBEC3B/APOBEC3A/OAS2/OAS3/IFIT1/PLSCR1/OAS1/IFITM1/OASL/CCL5/TRIM14/APOBEC3G/IFNB1",29
"GO:0045088","regulation of innate immune response","59/400","482/18842",0.122406639004149,5.76596473029046,15.6104695469417,3.80257419122192e-28,4.47182724887697e-25,4.47182724887697e-25,"IFI16/USP18/SERPING1/DDX60/ISG15/HLA-F/ACOD1/IFIH1/UNC93B1/TRIM21/STAT2/ZNFX1/PARP14/CASP1/NR1H3/INPP5D/IKBKE/TREX1/EIF2AK2/HLA-E/RSAD2/MNDA/EREG/NINJ1/TRIM5/NMI/SCIMP/TNFAIP3/NLRC5/TLR1/LILRB1/NAGK/IFI35/HAVCR2/SAMHD1/PPARG/OAS3/IRF2/IRAK2/PARP9/NFKBIA/PLSCR1/OAS1/FFAR2/OASL/MYD88/LGALS9/CCL5/TRAFD1/AIM2/IRF7/NCF1/PYCARD/WDFY1/DHX58/ZBP1/TRIM25/CD274/IFNB1",59
"GO:0050792","regulation of viral process","34/400","136/18842",0.25,11.77625,18.5748197853401,5.82294788639244e-27,5.70648892866459e-24,5.70648892866459e-24,"IFI16/FAM111A/APOBEC3C/ISG15/BST2/IFIH1/DYNLT1/IFITM2/TRIM21/ZNFX1/IFIT5/IFITM3/STAT1/EIF2AK2/RSAD2/MX1/ISG20/TRIM5/APOBEC3B/ADAR/APOBEC3A/OAS2/OAS3/IFIT1/PLSCR1/OAS1/IFITM1/OASL/LGALS9/CCL5/TRIM14/APOBEC3G/TRIM25/IFNB1",34
"GO:1903900","regulation of viral life cycle","31/400","110/18842",0.281818181818182,13.2750454545455,19.0153944455353,2.00725812135903e-26,1.68609682194158e-23,1.68609682194158e-23,"IFI16/FAM111A/APOBEC3C/ISG15/BST2/IFIH1/IFITM2/TRIM21/ZNFX1/IFIT5/IFITM3/EIF2AK2/RSAD2/MX1/ISG20/TRIM5/APOBEC3B/ADAR/APOBEC3A/OAS2/OAS3/IFIT1/PLSCR1/OAS1/IFITM1/OASL/LGALS9/CCL5/APOBEC3G/TRIM25/IFNB1",31
"GO:0045069","regulation of viral genome replication","27/400","77/18842",0.350649350649351,16.5173376623377,20.0939931762888,4.65527511177998e-26,3.42162720715828e-23,3.42162720715828e-23,"IFI16/FAM111A/APOBEC3C/ISG15/BST2/IFIH1/IFITM2/ZNFX1/IFIT5/IFITM3/EIF2AK2/RSAD2/MX1/ISG20/APOBEC3B/ADAR/APOBEC3A/OAS2/OAS3/IFIT1/PLSCR1/OAS1/IFITM1/OASL/CCL5/APOBEC3G/IFNB1",27
"GO:0019058","viral life cycle","44/400","284/18842",0.154929577464789,7.29795774647887,15.7496638531359,2.38206143138658e-25,1.55628013517257e-22,1.55628013517257e-22,"IFI16/CCL8/FAM111A/APOBEC3C/ISG15/BST2/IFIH1/DYNLT1/MVB12B/IFITM2/TRIM21/SCARB2/ZNFX1/ANPEP/IFIT5/IFITM3/CCR5/EIF2AK2/RSAD2/DPP4/SLC1A5/MX1/ISG20/TRIM5/CCL2/APOBEC3B/ADAR/APOBEC3A/OAS2/CD80/OAS3/SCARB1/ITGB3/IFIT1/PLSCR1/OAS1/IFITM1/OASL/LGALS9/CCL5/SIGLEC1/APOBEC3G/TRIM25/IFNB1",44
"GO:0016032","viral process","50/400","383/18842",0.130548302872063,6.14947780678851,14.9946541911427,3.3496240220404e-25,1.96957892495975e-22,1.96957892495975e-22,"IFI16/CCL8/FAM111A/APOBEC3C/ISG15/BST2/IFIH1/DYNLT1/MVB12B/IFITM2/TRIM21/SCARB2/ZNFX1/ANPEP/IFIT5/IFITM3/STAT1/CCR5/EIF2AK2/RSAD2/DPP4/SLC1A5/MX1/ISG20/TRIM5/CCL2/APOBEC3B/ADAR/APOBEC3A/OAS2/CD80/PARP10/OAS3/PARP9/SCARB1/ITGB3/IFIT1/PLSCR1/OAS1/IFITM1/OASL/LGALS9/CCL5/IRF7/TRIM14/SIGLEC1/SSB/APOBEC3G/TRIM25/IFNB1",50
