"SYMBOL","ENTREZID"
"MX1","4599"
"OAS1","4938"
"OAS3","4940"
"IFIT1","3434"
"RSAD2","91543"
"MX2","4600"
"OAS2","4939"
"TNFSF10","8743"
"IFI44","10561"
"CCL8","6355"
"SAMD9L","219285"
"IFIT3","3437"
"STAT2","6773"
"CXCL10","3627"
"IFITM3","10410"
"LY6E","4061"
"CMPK2","129607"
"IFITM1","8519"
"IFI27","3429"
"IFIH1","64135"
"LGALS3BP","3959"
"IFI35","3430"
"RNF213","57674"
"IFI6","2537"
"MNDA","4332"
"NFKBIA","4792"
"SIGLEC1","6614"
"HERC5","51191"
"CCR1","1230"
"DDX60L","91351"
"ISG15","9636"
"XAF1","54739"
"NT5C3A","51251"
"CXCL11","6373"
"SAMD9","54809"
"TRIM22","10346"
"SP110","3431"
"RTCB","51493"
"ZNFX1","57169"
"ADAR","103"
"APOBEC3A","200315"
"PARP9","83666"
"ISG20","3669"
"IFITM2","10581"
"FGD2","221472"
"CCL3","6348"
"DYNLT1","6993"
"IL1RN","3557"
"IFIT2","3433"
"IFI44L","10964"
"RGL1","23179"
"DHX58","79132"
"MPEG1","219972"
"SAT1","6303"
"UBA7","7318"
"PARP14","54625"
"BST2","684"
"THEMIS2","9473"
"UBE2L6","9246"
"TOR1B","27348"
"C3AR1","719"
"CCL2","6347"
"MARCKS","4082"
"IL4I1","259307"
"DTX3L","151636"
"RNF19B","127544"
"EPSTI1","94240"
"CLIC1","1192"
"GMPR","2766"
"CCL4","6351"
"CBR1","873"
"IFI16","3428"
"MOV10","4343"
"FPR3","2359"
"IRF7","3665"
"NR1H3","10062"
"TMEM123","114908"
"SCARB2","950"
"STAT1","6772"
"TNFSF13B","10673"
"MYL12A","10627"
"EIF2AK2","5610"
"TFEC","22797"
"TGFBI","7045"
"PLEK","5341"
"SDC4","6385"
"HELZ2","85441"
"NUPR1","26471"
"SCD","6319"
"PLSCR1","5359"
"JUP","3728"
"GLRX","2745"
"PLEKHO1","51177"
"CSF2RB","1439"
"LAP3","51056"
"SSB","6741"
"ACSL1","2180"
"NINJ1","4814"
"TREX1","11277"
"CD80","941"
"KIAA0040","9674"
"PLAU","5328"
"SAMHD1","25939"
"VMP1","81671"
"SECTM1","6398"
"NAGK","55577"
"USP18","11274"
"BLVRA","644"
"LILRB4","11006"
"PARP12","64761"
"PNPT1","87178"
"CMTR1","23070"
"TMSB10","9168"
"TNFRSF10D","8793"
"LGALS9","3965"
"TMEM138","51524"
"HSH2D","84941"
"TNFAIP3","7128"
"TNFAIP6","7130"
"CCR5","1234"
"CNP","1267"
"CD38","952"
"TRIM5","85363"
"ZBP1","81030"
"IGFBP4","3487"
"CMKLR1","1240"
"NEURL3","93082"
"MCL1","4170"
"NBN","4683"
"HERC6","55008"
"CD164","8763"
"APOL6","80830"
"SIDT2","51092"
"MLKL","197259"
"DOCK8","81704"
"RIN2","54453"
"BLZF1","8548"
"NADK","65220"
"CFB","629"
"SLC38A5","92745"
"TDRD7","23424"
"PSMA2","5683"
"CASP1","834"
"RASSF2","9770"
"FGL2","10875"
"PABPC4","8761"
"MYD88","4615"
"HESX1","8820"
