"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Human Diseases","Infectious disease: viral","hsa05164","Influenza A","27/235","173/9399",0.15606936416185,6.24211044152011,11.143756250991,1.47436346586324e-14,5.17501576517997e-12,5.17501576517997e-12,"64135/6773/3627/3606/8743/5371/834/9641/6772/5610/91543/4599/7132/6347/103/4939/4940/4792/4938/4615/6352/3665/29108/10379/7706/3456/4600",27
"Organismal Systems","Immune system","hsa04621","NOD-like receptor signaling pathway","27/235","187/9399",0.144385026737968,5.77478666514962,10.5610457058731,1.05040844504891e-13,1.84346682106083e-11,1.84346682106083e-11,"3428/6773/3606/118429/834/9641/6772/2633/10616/7128/6347/4939/2921/115361/4940/4792/2635/4938/4615/6352/9447/3665/55669/29108/10379/114769/3456",27
"Organismal Systems","Immune system","hsa04623","Cytosolic DNA-sensing pathway","17/235","83/9399",0.204819277108434,8.1918995129454,10.5384570085912,1.53878267423584e-11,1.80037572885593e-09,1.80037572885593e-09,"3428/3627/3606/834/9641/11277/103/25939/197259/4792/6352/9447/3665/29108/81030/6351/3456",17
"Environmental Information Processing","Signaling molecules and interaction","hsa04061","Viral protein interaction with cytokine and cytokine receptor","17/235","100/9399",0.17,6.79927659574468,9.33608528278366,3.44126205623174e-10,3.01970745434335e-08,3.01970745434335e-08,"6355/6373/3627/3606/8743/1234/7132/6347/3586/2921/6348/3587/1436/8793/1230/6352/6351",17
"Human Diseases","Infectious disease: viral","hsa05160","Hepatitis C","20/235","156/9399",0.128205128205128,5.12765957446809,8.3247041064195,1.67220671810891e-09,1.17388911611245e-07,1.17388911611245e-07,"137075/6773/3627/10062/9641/6772/5610/91543/4599/7132/4939/4940/949/4792/3434/4938/3665/10379/3456/4600",20
"Human Diseases","Infectious disease: viral","hsa05168","Herpes simplex virus 1 infection","21/235","180/9399",0.116666666666667,4.66617021276596,7.95272711842312,3.6807702111272e-09,2.15325057350941e-07,2.15325057350941e-07,"3134/684/64135/6773/5371/9641/6772/5610/3133/7132/6347/4939/4940/4792/3690/4938/4615/6352/3665/10379/3456",21
"Human Diseases","Infectious disease: viral","hsa05171","Coronavirus disease","24/235","239/9399",0.100418410041841,4.01630908929048,7.5637326137967,5.66441591338021e-09,2.50151470309725e-07,2.50151470309725e-07,"9636/64135/6773/3627/834/9641/6772/5610/4599/100529097/7132/6347/103/4939/4940/4792/629/4938/4615/719/10379/3456/713/4600",24
"Environmental Information Processing","Signaling molecules and interaction","hsa04060","Cytokine-cytokine receptor interaction","27/235","298/9399",0.0906040268456376,3.6237755247751,7.37054093614617,5.70145801275727e-09,2.50151470309725e-07,2.50151470309725e-07,"6355/1439/3601/6373/3627/3606/8743/8744/1234/3604/7132/6347/10673/3586/2921/246778/3557/6348/3587/1436/8793/1230/7850/6352/6351/7046/3456",27
"Organismal Systems","Immune system","hsa04620","Toll-like receptor signaling pathway","16/235","109/9399",0.146788990825688,5.87093499902401,8.19080972566045,1.05773364110606e-08,4.12516120031363e-07,4.12516120031363e-07,"6373/6773/3627/9641/6772/7096/941/1513/6348/4792/4615/6352/3665/6351/10379/3456",16
"Organismal Systems","Development and regeneration","hsa04380","Osteoclast differentiation","18/235","142/9399",0.126760563380282,5.06988312855859,7.8252836665397,1.35366150487539e-08,4.75135188211261e-07,4.75135188211261e-07,"126014/6773/6772/7132/29760/10859/5468/353514/1513/1436/4792/3690/11006/653361/54/10379/7046/3456",18
"Human Diseases","Infectious disease: viral","hsa05162","Measles","17/235","136/9399",0.125,4.99946808510638,7.52324090787382,4.28822536108955e-08,1.36833372885676e-06,1.36833372885676e-06,"64135/6773/9641/6772/5610/4599/7128/103/4939/4940/4792/4938/4615/3665/10379/3456/4600",17
"Organismal Systems","Immune system","hsa04622","RIG-I-like receptor signaling pathway","11/235","72/9399",0.152777777777778,6.1104609929078,6.97050830238086,1.48902629077996e-06,4.35540190053139e-05,4.35540190053139e-05,"9636/64135/3627/57169/9641/103/4792/3665/79132/7706/3456",11
"Genetic Information Processing","Information processing in viruses","hsa03250","Viral life cycle - HIV-1","11/235","73/9399",0.150684931506849,6.02675604779948,6.90415678037891,1.71503824212737e-06,4.6306032537439e-05,4.6306032537439e-05,"27350/684/1234/4599/85363/9582/200315/25939/8850/60489/4600",11
"Human Diseases","Infectious disease: viral","hsa05169","Epstein-Barr virus infection","18/235","205/9399",0.0878048780487805,3.51182148417229,5.82267517015549,3.53080244258765e-06,8.85222612391618e-05,8.85222612391618e-05,"9636/3134/6773/3627/9641/6772/5610/3133/29760/7128/4939/4940/4792/4938/4615/3665/10379/3456",18
"Human Diseases","Immune disease","hsa05323","Rheumatoid arthritis","11/235","95/9399",0.115789473684211,4.63108622620381,5.69603468357116,2.32004272028648e-05,0.000542889996547036,0.000542889996547036,"10312/3606/7422/6347/10673/2921/941/1513/6348/6352/54",11
"Human Diseases","Cardiovascular disease","hsa05417","Lipid and atherosclerosis","17/235","216/9399",0.0787037037037037,3.14781323877069,5.11375844377258,2.80131442815347e-05,0.000614538352676167,0.000614538352676167,"3606/8743/834/9641/7132/6347/1649/2921/5468/6348/4792/4615/6352/3665/653361/29108/3456",17
"Human Diseases","Infectious disease: viral","hsa05167","Kaposi sarcoma-associated herpesvirus infection","16/235","196/9399",0.0816326530612245,3.26495874945723,5.13136293339995,3.09784495699697e-05,0.000639613870532903,0.000639613870532903,"3134/6773/9641/7422/6772/1234/5610/3133/7132/2921/4792/1230/59345/3665/10379/3456",16
