"Gene","Contrast","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"MX1","ZIKV_negative_vs_Mock",149.8643386364,5.55468395742965,0.256234512489929,3.27492960460487e-105,3.4337636904282e-101
"IFIT3","ZIKV_negative_vs_Mock",187.045128664862,7.00403391545724,0.428562176695987,2.89883707698291e-61,1.51971533760829e-57
"OAS1","ZIKV_negative_vs_Mock",60.1255088609982,3.88770813611157,0.241981130687406,9.05545074903343e-60,3.16488003678718e-56
"OAS3","ZIKV_negative_vs_Mock",62.6195407604929,4.89646514488579,0.305888215759031,7.54164527725971e-59,1.9768537683017e-55
"IFIT1","ZIKV_negative_vs_Mock",178.526692283462,7.85164507780733,0.5235831887769,2.6405118945228e-52,5.53715344281432e-49
"MX2","ZIKV_negative_vs_Mock",48.8825958734023,4.80003053616918,0.32164018217287,1.38253501719944e-51,2.41597994255603e-48
"IFIH1","ZIKV_negative_vs_Mock",55.5338890266042,3.85344226443746,0.26017121211702,2.4281844447864e-51,3.63707341479791e-48
"STAT2","ZIKV_negative_vs_Mock",95.8452512654733,2.70289529234968,0.186314376994238,2.5392565933052e-49,3.32801317260063e-46
"IFI6","ZIKV_negative_vs_Mock",242.485941246663,4.9109566436664,0.337144200948842,3.01574072044708e-49,3.51333793932085e-46
"ISG15","ZIKV_negative_vs_Mock",312.216940291476,7.59915390804831,0.526426231185601,1.23615610274381e-48,1.29610967372689e-45
"CCL8","ZIKV_negative_vs_Mock",186.221600862276,7.30825998648883,0.517208431053908,1.19308331941268e-46,1.13722532764017e-43
"LAP3","ZIKV_negative_vs_Mock",117.310470360844,3.06538295615441,0.219240847972886,2.94235207307775e-46,2.57088012385169e-43
"LY6E","ZIKV_negative_vs_Mock",99.8282750614229,5.3319818522172,0.385118403180373,1.15154482596227e-44,9.28765192324186e-42
"IFITM3","ZIKV_negative_vs_Mock",89.8849654030648,5.39455933757896,0.391697928096941,3.23659855160727e-44,2.42398112954302e-41
"TNFAIP6","ZIKV_negative_vs_Mock",109.554808176638,4.81282213157668,0.35423106253806,2.82274585412461e-43,1.9730993520331e-40
"OAS2","ZIKV_negative_vs_Mock",42.9116138804401,5.14603686815287,0.380625677009496,9.07359862981101e-43,5.94604260209802e-40
"IFIT2","ZIKV_negative_vs_Mock",170.262447735914,8.09004328073026,0.614377525204848,3.84268532660479e-41,2.37003268526184e-38
"SAMD9L","ZIKV_negative_vs_Mock",39.0574362521436,4.49861275117141,0.344538044343853,2.41388672419824e-40,1.40608901684547e-37
"UBE2L6","ZIKV_negative_vs_Mock",82.4070804812755,2.87813208337993,0.221782811417639,2.93171089632518e-40,1.61784151305103e-37
"IFI35","ZIKV_negative_vs_Mock",48.6902134765839,4.10817911462631,0.317127526400528,5.73761507411191e-40,3.00794470260317e-37
"STAT1","ZIKV_negative_vs_Mock",163.327796604484,3.77911428735653,0.294472841470906,1.89160497397071e-39,9.44451340575377e-37
"LGALS3BP","ZIKV_negative_vs_Mock",38.8751407287428,3.70180389592571,0.292091316246682,1.36940266097207e-38,6.5264485910419e-36
"IFI44","ZIKV_negative_vs_Mock",38.4062998742879,5.10144551787973,0.406422077623458,2.78362526280094e-37,1.26897003828121e-34
"HERC5","ZIKV_negative_vs_Mock",44.6473754145869,5.27509917203967,0.421312391404762,4.56877330653746e-37,1.99598283829355e-34
"PARP14","ZIKV_negative_vs_Mock",79.7835517663766,2.71191732314371,0.219813482735913,1.3119239467806e-36,5.50220903279783e-34
"TNFSF10","ZIKV_negative_vs_Mock",72.2212105620184,6.82723335262247,0.557872460396433,1.23468371239043e-35,4.97909950938985e-33
