"Gene","Contrast","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"PLAU","ZIKV_negative_vs_Mock",75.8706662383267,-2.14853170593196,0.182338190989212,2.57333651466222e-33,8.70368817943013e-31
"RASSF2","ZIKV_negative_vs_Mock",23.9257589633397,-1.8671492276055,0.33499157574743,6.15481110809183e-10,3.52640406930835e-08
"CD9","ZIKV_negative_vs_Mock",80.0260881280296,-1.27092667844353,0.236967272359416,2.26129574944665e-09,1.20967785372184e-07
"SLC11A1","ZIKV_negative_vs_Mock",18.510906080592,-1.99304641736741,0.376465734377776,3.01465193217173e-09,1.58043127544103e-07
"NPL","ZIKV_negative_vs_Mock",44.4229539241256,-1.15957904065365,0.223172801676256,8.43358005490384e-09,4.25125417671475e-07
"ARHGDIB","ZIKV_negative_vs_Mock",68.1171782540406,-1.01140310798735,0.198989913251842,3.05546868630077e-08,1.36325911386653e-06
"FADS1","ZIKV_negative_vs_Mock",32.2875552475198,-1.45101057934494,0.303079304573438,3.55744568302726e-08,1.56721924313197e-06
"CXCR4","ZIKV_negative_vs_Mock",45.5785614502216,-2.01155968293429,0.426464676847291,5.25847205181072e-08,2.22318868803369e-06
"TGFBR1","ZIKV_negative_vs_Mock",14.73475213872,-1.78514329946937,0.382955773308799,6.45442342172165e-08,2.69620038154389e-06
"SCD","ZIKV_negative_vs_Mock",94.4017304243359,-1.2037469573281,0.253860776360085,7.58257603302139e-08,3.13005156323737e-06
"GPR183","ZIKV_negative_vs_Mock",13.6268432017732,-2.59734135911333,0.583692128588718,1.37368723478064e-07,5.43513609685849e-06
"FOS","ZIKV_negative_vs_Mock",33.5879733766973,-2.87879722923967,0.664182011098048,1.90253174462568e-07,7.38816494162974e-06
"LTA4H","ZIKV_negative_vs_Mock",150.167495295036,-1.24081372822325,0.279334140782388,2.85564876744074e-07,1.06933847595058e-05
"CD36","ZIKV_negative_vs_Mock",16.2653285124808,-1.68220823643952,0.388379012843081,2.87740014117198e-07,1.07364912740883e-05
"LRRC25","ZIKV_negative_vs_Mock",13.8470921451561,-1.72559614299602,0.407220115925653,4.32274204740389e-07,1.56289484024241e-05
"ZNF589","ZIKV_negative_vs_Mock",9.22245652383847,-2.00275837237876,0.478651399370887,5.31693629129994e-07,1.88976532251796e-05
"IFNGR1","ZIKV_negative_vs_Mock",44.0127351945327,-1.04026790292032,0.233026466999416,5.44472249523628e-07,1.92215203240917e-05
"TBXAS1","ZIKV_negative_vs_Mock",12.4131514848139,-1.66526595420738,0.40985951018592,9.07147089183899e-07,3.07813502592012e-05
"PLXDC2","ZIKV_negative_vs_Mock",13.8188668031503,-1.57743861986027,0.407587032061235,2.03901227847227e-06,6.28795404111227e-05
"PMP22","ZIKV_negative_vs_Mock",10.8722992837306,-1.67045686706519,0.44270597231246,2.81393363810221e-06,8.42974119871477e-05
"HAMP","ZIKV_negative_vs_Mock",21.7497282786747,-1.82949793606402,0.491615477636141,3.20026125728591e-06,9.45203923454726e-05
"SCARB1","ZIKV_negative_vs_Mock",19.507893925861,-1.36544808230308,0.3603958939542,3.49660774429584e-06,0.000102982955615005
"PLIN2","ZIKV_negative_vs_Mock",36.5712477033126,-1.16660444276606,0.299506304192688,3.6740416438575e-06,0.000107905676851109
"GRAMD4","ZIKV_negative_vs_Mock",13.4939683613516,-1.46753045864697,0.409297040405464,6.44750567395274e-06,0.000184201899159113
"DUSP1","ZIKV_negative_vs_Mock",21.1351212652515,-1.79110704937327,0.518490635078603,8.00059637262358e-06,0.000222509954819518
"JAML","ZIKV_negative_vs_Mock",6.96587651802286,-2.17420210296762,0.64746789589615,8.70439913395868e-06,0.000240806398204635
"HS3ST2","ZIKV_negative_vs_Mock",21.3072347828214,-1.79582629251069,0.537145625668645,1.12940727966029e-05,0.000302860238548291
"RAB32","ZIKV_negative_vs_Mock",19.4561440836702,-1.13479234146613,0.315518416624874,1.17950956446818e-05,0.00031466113253111
"IL1R1","ZIKV_negative_vs_Mock",6.83134985834534,-2.03570970382356,0.657604081135815,1.96855903486285e-05,0.000500979162148956
"TM6SF1","ZIKV_negative_vs_Mock",7.46815725319221,-1.71948363577676,0.553151550855217,2.35505393798609e-05,0.000590735419612062
"ABHD2","ZIKV_negative_vs_Mock",18.3897752790943,-1.06144616135837,0.311943417037066,2.6831206364134e-05,0.000663502827188548
"SERINC5","ZIKV_negative_vs_Mock",13.9670065862392,-1.18142521312788,0.359248744046651,2.76907863562079e-05,0.00068154435433061
"SELENOP","ZIKV_negative_vs_Mock",8.24617759573426,-2.06253342849364,0.721822932353816,3.52819915489073e-05,0.000856323336551604
"PLCB2","ZIKV_negative_vs_Mock",9.28159374613584,-1.31486071031501,0.427679606055805,3.97512163893537e-05,0.000953756301698796
"JAKMIP2","ZIKV_negative_vs_Mock",18.1225002895029,-1.24178908503558,0.408306830880786,4.9341859190901e-05,0.00116783158829932
"SLCO2B1","ZIKV_negative_vs_Mock",14.0940379053184,-1.26810526015433,0.424787233776164,5.47379400331471e-05,0.0012897242724664
"RRAGD","ZIKV_negative_vs_Mock",18.0132474203176,-1.00304642249969,0.321373722261288,6.85533165524548e-05,0.00156597281928647
"ALOX5","ZIKV_negative_vs_Mock",9.27854137224112,-1.81031206726168,0.681485590194881,6.88486874542993e-05,0.00156930106077898
"KCNJ5","ZIKV_negative_vs_Mock",14.1514707178932,-1.15958781161645,0.395658323806844,7.73328243902622e-05,0.00172347118851861
"DAB2","ZIKV_negative_vs_Mock",18.023721445082,-1.12852987066529,0.383494722014745,8.00775271028541e-05,0.00177884082981658
"EPAS1","ZIKV_negative_vs_Mock",10.4097789353384,-1.55058443497117,0.597376458466342,0.000100515460465116,0.00216407516011651
"SERPINF1","ZIKV_negative_vs_Mock",10.801762187574,-1.2855786660798,0.491789757665628,0.000133516998899918,0.00280546239171471
"TMEM37","ZIKV_negative_vs_Mock",1.73340193572866,-3.15308081311794,1.66921929564686,0.000133889432504358,0.00280766139961639
"C10orf128","ZIKV_negative_vs_Mock",5.47214616948727,-1.64882342077792,0.684783629153283,0.000138553664059365,0.00289389475629969
"PYGL","ZIKV_negative_vs_Mock",5.10288779374411,-1.60028539733854,0.699279192092798,0.000187312498646874,0.00377686836213937
"TLE3","ZIKV_negative_vs_Mock",7.85805357983547,-1.42947891298456,0.602870702172894,0.000189854341563893,0.003814878236567
"CLIP4","ZIKV_negative_vs_Mock",13.1562021330224,-1.09560541063927,0.420598122589079,0.000189925268429945,0.003814878236567
"RAB42","ZIKV_negative_vs_Mock",8.41939227943699,-1.51330570181129,0.667268225045533,0.000214595762451371,0.00423735700433639
"RNASE6","ZIKV_negative_vs_Mock",11.9717009852021,-1.00734629062139,0.392017394412771,0.000246031790777128,0.00473942347249651
"UCP2","ZIKV_negative_vs_Mock",10.7374412398522,-1.38218853326051,0.613251346518405,0.000257975927931567,0.00491795928065906
"ENOSF1","ZIKV_negative_vs_Mock",12.0743321848412,-1.07807413208759,0.448018193695285,0.000300864527923866,0.0056231097598605
"PINK1","ZIKV_negative_vs_Mock",10.6730401266292,-1.03633413597345,0.429486846173963,0.000321980691414023,0.00592372716948676
"SLC7A11","ZIKV_negative_vs_Mock",9.43668486390766,-1.28235802824114,0.618371219061617,0.000424858176976003,0.00742439664265566
"PPARG","ZIKV_negative_vs_Mock",2.96384647806827,-2.2775615951025,1.50773881397459,0.00043150874049962,0.00750417926263067
"GLTP","ZIKV_negative_vs_Mock",7.33515658714773,-1.17911233575192,0.598737679705404,0.000606810536799536,0.0101151168177156
"GRK6","ZIKV_negative_vs_Mock",9.0775498829435,-1.05321457176314,0.506497004378073,0.000606379200247928,0.0101151168177156
"TANC2","ZIKV_negative_vs_Mock",4.39559710379085,-1.51424144437935,0.896220988640447,0.000654525393006249,0.0107904068328153
"GPRIN3","ZIKV_negative_vs_Mock",2.57828879718698,-1.9934024198535,1.44695208489897,0.000676887213026303,0.0110893162946575
"CDA","ZIKV_negative_vs_Mock",5.30804562644879,-1.40274474099247,0.825993852385882,0.000739326999128802,0.0119995304346786
"TTC3","ZIKV_negative_vs_Mock",8.79433836228244,-1.0286463752405,0.531033115392041,0.000831670280282943,0.013333429493527
"GAPLINC","ZIKV_negative_vs_Mock",4.51946975743531,-1.29369991739124,0.845389701471373,0.00115285246225017,0.0176204928085904
"GAS2L3","ZIKV_negative_vs_Mock",8.68717147490077,-1.14888132093237,0.707091625775916,0.00120821941291407,0.0183410977870553
"AL157871.2","ZIKV_negative_vs_Mock",4.07833152228701,-1.33171396140321,0.919917100701798,0.00125985398381123,0.0190889725726311
"SLC16A6","ZIKV_negative_vs_Mock",4.24821557338351,-1.26131514860516,0.845555336727778,0.00129074651658782,0.0195006876461431
"PRAM1","ZIKV_negative_vs_Mock",3.5455645926535,-1.3310480528767,0.929773767828116,0.0012955401514302,0.0195449474643822
"DPEP2","ZIKV_negative_vs_Mock",5.79164189829553,-1.03757226724608,0.687147905770066,0.00178071798402558,0.0257528662931148
"MRC2","ZIKV_negative_vs_Mock",9.32197581133335,-1.02781624289523,0.680118896566191,0.00180735326486332,0.0260303557446318
"FABP3","ZIKV_negative_vs_Mock",10.2309475969367,-1.26825963088342,1.03863449453679,0.00198795640123049,0.0278932028454379
"SEMA6B","ZIKV_negative_vs_Mock",7.05628574902208,-1.01297555882774,0.70852092590431,0.00213772219733057,0.0296481709510727
"ATP2A3","ZIKV_negative_vs_Mock",4.25917744192445,-1.06685017298015,0.794561528894943,0.00225519392773434,0.0309466184993314
"RGS2","ZIKV_negative_vs_Mock",3.94878370896393,-1.26816532386324,1.11397990349077,0.0022484909824879,0.0309466184993314
"MRC1","ZIKV_negative_vs_Mock",11.0323119027142,-1.10260760390631,0.866325589791355,0.00238040871555494,0.0322879500421651
"PDGFC","ZIKV_negative_vs_Mock",1.94547340947279,-1.30256214835641,1.31383094843158,0.00261278869821719,0.0351669955080966
"MERTK","ZIKV_negative_vs_Mock",3.865593202626,-1.04437418564537,0.823481410663234,0.00264951794916009,0.0354791771353047
"SPTBN1","ZIKV_negative_vs_Mock",6.91822413559711,-1.08036630738749,0.879615694866767,0.00265305307462873,0.0354812008768906
"ARL4C","ZIKV_negative_vs_Mock",4.00335773692815,-1.04371000957206,0.828409519429691,0.00268855453646304,0.0358644965837341
"PID1","ZIKV_negative_vs_Mock",2.89671524622323,-1.21452759732074,1.20356797556702,0.00291578993860723,0.0383108490053845
"FOSB","ZIKV_negative_vs_Mock",2.04865488186271,-1.21645020803189,1.57434331418562,0.00375618985470792,0.0469411807230185
