"Gene","Contrast","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"MPEG1","ZIKV_positive_vs_Mock",82.5678119249681,-2.97355512742361,0.337951265442817,6.39576456682701e-21,4.49750164339276e-17
"SGK1","ZIKV_positive_vs_Mock",103.785926487323,-1.80673761094154,0.213594557404798,1.33968642646297e-19,4.7103374754438e-16
"CXCL8","ZIKV_positive_vs_Mock",175.598538241386,-1.65286613168291,0.22604832944504,3.15669044623956e-15,3.69964120299276e-12
"TGFBI","ZIKV_positive_vs_Mock",43.7272991452857,-2.9279160642403,0.452882436364743,2.77165457248426e-13,2.1655861059677e-10
"NPL","ZIKV_positive_vs_Mock",44.4229539241256,-1.38462417714543,0.216767905504699,8.23322151187231e-12,3.84828858624062e-09
"RNASE6","ZIKV_positive_vs_Mock",11.9717009852021,-3.29234379622001,0.538396444943138,8.75606049201507e-12,3.84828858624062e-09
"GLUL","ZIKV_positive_vs_Mock",170.038723759384,-1.31503289465526,0.207027918943558,1.42636600923035e-11,5.90012104523988e-09
"TMEM138","ZIKV_positive_vs_Mock",41.7141410410554,-1.48509574622394,0.249088409399902,7.12908375015452e-11,2.50658584655433e-08
"CCR1","ZIKV_positive_vs_Mock",62.3687840894539,-1.62193106223908,0.284710143678974,1.65970815342542e-10,5.00369101928645e-08
"ARHGDIB","ZIKV_positive_vs_Mock",68.1171782540406,-1.12660374620752,0.193737169335047,7.08162806109616e-10,1.60817291111283e-07
"FOS","ZIKV_positive_vs_Mock",33.5879733766973,-3.56134035787288,0.66113448265296,9.05957639487601e-10,1.93051336996267e-07
"DDX17","ZIKV_positive_vs_Mock",39.9850204598684,-1.12061918594162,0.19854655494181,1.86561906042935e-09,3.7482952094112e-07
"CD84","ZIKV_positive_vs_Mock",36.9364652525058,-1.37125039479487,0.254322378899442,3.18595809211004e-09,5.89569929045206e-07
"IFNGR1","ZIKV_positive_vs_Mock",44.0127351945327,-1.23112233021506,0.226386854952562,4.25105789564315e-09,7.62815414833563e-07
"ACTG1","ZIKV_positive_vs_Mock",209.645462527824,-1.10285975423732,0.200780272881925,4.33910929939456e-09,7.62815414833563e-07
"KCTD12","ZIKV_positive_vs_Mock",17.9951937812193,-1.55600856579441,0.309124802015794,8.51982250113749e-09,1.39328818204649e-06
"CTD-2370N5.3","ZIKV_positive_vs_Mock",15.8296412683288,-1.93112912083478,0.412046903529323,8.25807489640849e-09,1.39328818204649e-06
"SLCO2B1","ZIKV_positive_vs_Mock",14.0940379053184,-1.99155739990154,0.446977261679773,2.02722435097816e-08,2.969883674183e-06
"HIST1H1E","ZIKV_positive_vs_Mock",70.9222714802327,-1.60382515423887,0.337798001155348,2.70176893012179e-08,3.87731410543192e-06
"ANXA1","ZIKV_positive_vs_Mock",21.9990712908496,-1.54190466554087,0.33361642125536,6.43670584289832e-08,8.08266347986803e-06
"FPR3","ZIKV_positive_vs_Mock",90.7193880723891,-1.54867268486772,0.337635716212062,7.29023908838233e-08,8.99385285429904e-06
"NEAT1","ZIKV_positive_vs_Mock",83.4045645667826,-1.43757367124124,0.306965151115692,7.75251110670585e-08,9.39925139695785e-06
"VMP1","ZIKV_positive_vs_Mock",38.853862144137,-1.14579305362922,0.236025722402087,9.0092652524479e-08,1.07378225856294e-05
"THEMIS2","ZIKV_positive_vs_Mock",50.157577764073,-1.20733275912794,0.252081978938966,1.06097660842549e-07,1.22307991974558e-05
"EVI2B","ZIKV_positive_vs_Mock",11.5266340711537,-1.66908668745935,0.394878285124061,1.96046455674461e-07,2.15406043172314e-05
"EVI2A","ZIKV_positive_vs_Mock",11.7217008079275,-1.94033208755876,0.49604945419425,2.52995816107007e-07,2.69555542252193e-05
"RP5-850E9.3","ZIKV_positive_vs_Mock",11.2387024017785,-1.89194530624071,0.479711981278429,2.58837853322135e-07,2.71663848441978e-05
"CCL2","ZIKV_positive_vs_Mock",214.642678933487,-1.76042911108101,0.4385945656782,3.14452296251062e-07,3.20467905396735e-05
"SELENOP","ZIKV_positive_vs_Mock",8.24617759573426,-3.02540424294933,0.808135779589378,3.34221259953484e-07,3.35749128570414e-05
"HNRNPH2","ZIKV_positive_vs_Mock",14.8196053438427,-1.4381462323438,0.336942463355848,4.30980272554858e-07,4.1515798309668e-05
"SRXN1","ZIKV_positive_vs_Mock",11.464876173663,-1.80817647122575,0.471067167786336,5.12083695511215e-07,4.74438769195629e-05
"HMOX1","ZIKV_positive_vs_Mock",28.6533514094796,-1.42300266155289,0.33855419849304,5.82404644020997e-07,5.18413855285525e-05
"PLCB2","ZIKV_positive_vs_Mock",9.28159374613584,-1.65682690455327,0.420404237354149,6.15416066113998e-07,5.40950722114204e-05
"CLEC7A","ZIKV_positive_vs_Mock",24.4083546078096,-1.20689323461233,0.28051850464366,7.5616393535663e-07,6.56462320176275e-05
"SLC7A11","ZIKV_positive_vs_Mock",9.43668486390766,-2.25594297689597,0.661036345314003,9.00273857454399e-07,7.53657829240397e-05
"GPR183","ZIKV_positive_vs_Mock",13.6268432017732,-2.03091497668212,0.589583564716325,1.12477107105962e-06,9.30516490787209e-05
"JAML","ZIKV_positive_vs_Mock",6.96587651802286,-2.28401077371521,0.694137978172477,1.33189915286754e-06,0.000107654193597294
"TDP2","ZIKV_positive_vs_Mock",16.1694308819246,-1.26415521728395,0.312556937631346,1.64878650176672e-06,0.00012882518533804
"SASH3","ZIKV_positive_vs_Mock",19.2039537370811,-1.22322812609939,0.304382439123511,1.96562027149777e-06,0.000147289592165684
"RPL36A-HNRNPH2","ZIKV_positive_vs_Mock",11.8796698971305,-1.45741362771411,0.382095163329902,1.96888817741387e-06,0.000147289592165684
"RAB42","ZIKV_positive_vs_Mock",8.41939227943699,-2.22007268126826,0.711982493203132,2.44865706909818e-06,0.000177515015565963
"DUSP1","ZIKV_positive_vs_Mock",21.1351212652515,-1.69214308620242,0.510683702211419,4.03850860718269e-06,0.000270464690721035
"RP4-753P9.3","ZIKV_positive_vs_Mock",11.3755895932158,-1.49650267952642,0.450494150287764,7.15894812905415e-06,0.000423513135415716
"ZNF589","ZIKV_positive_vs_Mock",9.22245652383847,-1.41200295993534,0.414473911701225,7.37031419403136e-06,0.000431900411770238
"HIST1H1C","ZIKV_positive_vs_Mock",35.2486239938465,-1.37538995175759,0.402813848096102,8.00950807772546e-06,0.000465478188450954
"TUBA1A","ZIKV_positive_vs_Mock",22.6791519126274,-1.12933174264878,0.320848079124529,1.01000746107516e-05,0.00056368035446671
"DUSP6","ZIKV_positive_vs_Mock",7.98380468377159,-2.71347728441665,1.12140661787869,1.22604924900287e-05,0.000658135749541085
"SLC38A6","ZIKV_positive_vs_Mock",17.7908499820074,-1.08175006450858,0.312826291550357,1.25057027751113e-05,0.000666212893292295
"CYTIP","ZIKV_positive_vs_Mock",8.34315650227314,-1.86977125881336,0.699993345301115,1.35982739065136e-05,0.000708318978597065
"PTAFR","ZIKV_positive_vs_Mock",32.811397614159,-1.01095854121782,0.297778772202354,1.52758840808316e-05,0.000778405919249334
"TLR4","ZIKV_positive_vs_Mock",15.9725098657317,-1.11647716732453,0.337129019258483,1.77564366430228e-05,0.000891880446240972
"CD36","ZIKV_positive_vs_Mock",16.2653285124808,-1.15117215521031,0.359490084752793,2.2254919500647e-05,0.0010867819022816
"WIPF1","ZIKV_positive_vs_Mock",18.9529209096724,-1.048446790212,0.339246885821163,3.29887817871618e-05,0.00153627227501538
"SLA","ZIKV_positive_vs_Mock",8.95712744526996,-1.4437127516133,0.538386391486268,3.55550470986019e-05,0.00160378894398112
"EMP1","ZIKV_positive_vs_Mock",14.8579651668418,-1.25692114495775,0.436485622198592,3.78253083156973e-05,0.00168346562073407
"CD14","ZIKV_positive_vs_Mock",90.9451200556808,-1.27592678309178,0.47886950776477,5.6291475798839e-05,0.00237030932824812
"SLC36A1","ZIKV_positive_vs_Mock",6.58253300213082,-1.35596117362978,0.581456853203432,8.56102639859252e-05,0.00337305349794362
"OLFML2B","ZIKV_positive_vs_Mock",7.18271540618507,-1.45811542479771,0.730069244418708,0.000117272249646385,0.00431758355766168
"KCNE3","ZIKV_positive_vs_Mock",5.81735265862961,-1.42853478268702,0.701819097015925,0.000118002978822676,0.00432185909938051
"HIST1H1D","ZIKV_positive_vs_Mock",9.81369036087233,-1.55064477940398,0.845918930255492,0.000125854524094757,0.00453850776120169
"NORAD","ZIKV_positive_vs_Mock",9.87629868321358,-1.05065765053762,0.446285739119469,0.000167250237937243,0.00554765883572967
"DCSTAMP","ZIKV_positive_vs_Mock",5.46077768896724,-1.65994184402169,1.09379635262091,0.000173157255795624,0.005689915059602
"RNASE1","ZIKV_positive_vs_Mock",17.5727983131889,-1.36214341883793,0.729118285315721,0.000179191949850796,0.0058336934784759
"CLEC4A","ZIKV_positive_vs_Mock",7.2733892780375,-1.19620485705218,0.596636511045041,0.000221387922724575,0.00668154451759317
"ATG16L2","ZIKV_positive_vs_Mock",8.99898132372574,-1.00731511575214,0.466550218399293,0.00026546622227851,0.00765064948796101
"HIST1H4D","ZIKV_positive_vs_Mock",8.10301781245725,-1.12013118049642,0.583476310098178,0.000308211224621165,0.00853283988793714
"CSF1R","ZIKV_positive_vs_Mock",16.5862520065401,-1.13058161110446,0.621938402843942,0.000349576821903363,0.00956507475340252
"GLIPR1","ZIKV_positive_vs_Mock",4.76877700923737,-1.10320648865356,0.658406489199795,0.000459667165778964,0.0118837481976385
"METTL7A","ZIKV_positive_vs_Mock",4.37585133285382,-1.25927901418862,0.943644566923005,0.000461760126479067,0.0118941289721641
"MS4A4A","ZIKV_positive_vs_Mock",9.47755418341678,-1.05138176488487,0.63975293613857,0.000555151456214296,0.0137458628172497
"ARPIN","ZIKV_positive_vs_Mock",5.74000424005438,-1.04758533175476,0.672338500647694,0.000625985335407328,0.0151269033628327
"SLC9B2","ZIKV_positive_vs_Mock",7.92885684252698,-1.11037779534071,1.45313751780581,0.000897059045153849,0.0203487716307157
