"Gene","Contrast","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"MPEG1","ZIKV_positive_vs_Mock",82.5678119249681,-2.97355512742361,0.337951265442817,6.39576456682701e-21,4.49750164339276e-17
"SGK1","ZIKV_positive_vs_Mock",103.785926487323,-1.80673761094154,0.213594557404798,1.33968642646297e-19,4.7103374754438e-16
"IRF1","ZIKV_positive_vs_Mock",35.3425688001054,2.4418657981193,0.302156877041065,4.40531082974409e-19,1.03260485849201e-15
"TNFAIP6","ZIKV_positive_vs_Mock",109.554808176638,2.81786114146781,0.380368119816928,2.51551774862097e-16,4.42228020207566e-13
"IFIT2","ZIKV_positive_vs_Mock",170.262447735914,4.62612751435682,0.607016363700685,2.52302176207011e-15,3.5483778061754e-12
"CXCL8","ZIKV_positive_vs_Mock",175.598538241386,-1.65286613168291,0.22604832944504,3.15669044623956e-15,3.69964120299276e-12
"LAP3","ZIKV_positive_vs_Mock",117.310470360844,1.60312022317258,0.224657861576224,1.52586784706899e-14,1.53284324294131e-11
"SDC4","ZIKV_positive_vs_Mock",38.7108191354875,1.5295806970599,0.22072476115801,9.99938697142194e-14,8.78946114787988e-11
"TGFBI","ZIKV_positive_vs_Mock",43.7272991452857,-2.9279160642403,0.452882436364743,2.77165457248426e-13,2.1655861059677e-10
"TNFRSF10D","ZIKV_positive_vs_Mock",10.8311627930421,3.33338358545069,0.507482864203266,6.38297699319273e-13,4.48850942161313e-10
"OASL","ZIKV_positive_vs_Mock",24.53002684849,5.85819506826564,0.893780502235423,1.45652491008599e-12,9.31116651611332e-10
"TNF","ZIKV_positive_vs_Mock",17.1688912029519,3.49048544399871,0.538728319302072,1.82086630384541e-12,1.06702765405341e-09
"IFIT3","ZIKV_positive_vs_Mock",187.045128664862,2.86311839651461,0.481004705077358,5.46778373848077e-12,2.95765040376899e-09
"TAP1","ZIKV_positive_vs_Mock",68.2829631487505,1.94300545639755,0.327946144243731,8.16491341881283e-12,3.84828858624062e-09
"NPL","ZIKV_positive_vs_Mock",44.4229539241256,-1.38462417714543,0.216767905504699,8.23322151187231e-12,3.84828858624062e-09
"RNASE6","ZIKV_positive_vs_Mock",11.9717009852021,-3.29234379622001,0.538396444943138,8.75606049201507e-12,3.84828858624062e-09
"GLUL","ZIKV_positive_vs_Mock",170.038723759384,-1.31503289465526,0.207027918943558,1.42636600923035e-11,5.90012104523988e-09
"CD40","ZIKV_positive_vs_Mock",33.0623640391904,1.64106513908465,0.271235128011598,1.80113337749151e-11,7.03642772806684e-09
"IDO1","ZIKV_positive_vs_Mock",135.082094993367,4.41550158879846,0.71995180553077,5.28930930824209e-11,1.95760121345044e-08
"TMEM138","ZIKV_positive_vs_Mock",41.7141410410554,-1.48509574622394,0.249088409399902,7.12908375015452e-11,2.50658584655433e-08
"IFNB1","ZIKV_positive_vs_Mock",6.39625843434112,5.65771072100454,0.961951373638429,1.05900720056337e-10,3.54616125445792e-08
"GBP5","ZIKV_positive_vs_Mock",56.6130087858689,3.92578221150976,0.662878969472171,1.13900365584566e-10,3.64066986723031e-08
"CCL5","ZIKV_positive_vs_Mock",60.5112331381723,3.78861511929596,0.652625720478417,1.70774437518309e-10,5.00369101928645e-08
"CCR1","ZIKV_positive_vs_Mock",62.3687840894539,-1.62193106223908,0.284710143678974,1.65970815342542e-10,5.00369101928645e-08
"DDIT3","ZIKV_positive_vs_Mock",26.9247823451841,1.68066038699682,0.298534125530495,1.7829594184662e-10,5.01510825226172e-08
"WARS","ZIKV_positive_vs_Mock",214.966296264443,1.49596466879421,0.258334964110237,1.86838384833853e-10,5.0532597005833e-08
"GBP1","ZIKV_positive_vs_Mock",93.9091309061974,3.53865898113581,0.639216665163074,4.0971609986355e-10,1.06708282008907e-07
"GCH1","ZIKV_positive_vs_Mock",31.1830909227741,2.57825325523279,0.507987271054953,4.42567149342118e-10,1.11147578363349e-07
"POLR2A","ZIKV_positive_vs_Mock",20.0278878993324,1.58194257994778,0.285496787886425,4.9995865173031e-10,1.21231353067846e-07
"HERC5","ZIKV_positive_vs_Mock",44.6473754145869,2.4599539649093,0.494765190082456,7.08949946594108e-10,1.60817291111283e-07
"ARHGDIB","ZIKV_positive_vs_Mock",68.1171782540406,-1.12660374620752,0.193737169335047,7.08162806109616e-10,1.60817291111283e-07
"ZC3HAV1","ZIKV_positive_vs_Mock",16.4497685835584,1.76757949325215,0.335886989185022,8.80194186688522e-10,1.93051336996267e-07
"FOS","ZIKV_positive_vs_Mock",33.5879733766973,-3.56134035787288,0.66113448265296,9.05957639487601e-10,1.93051336996267e-07
"CXCL10","ZIKV_positive_vs_Mock",537.970394702014,4.91566647444197,0.899394773830926,1.70702382171266e-09,3.53052691596572e-07
"DDX17","ZIKV_positive_vs_Mock",39.9850204598684,-1.12061918594162,0.19854655494181,1.86561906042935e-09,3.7482952094112e-07
"DNAJB6","ZIKV_positive_vs_Mock",14.5232529454004,1.67641302633245,0.32238388510584,1.95743685814412e-09,3.82352666290818e-07
"ALAS1","ZIKV_positive_vs_Mock",55.6969935825738,1.1202221138715,0.200967189196628,2.73133275231481e-09,5.19100862548047e-07
"CD84","ZIKV_positive_vs_Mock",36.9364652525058,-1.37125039479487,0.254322378899442,3.18595809211004e-09,5.89569929045206e-07
"IFNGR1","ZIKV_positive_vs_Mock",44.0127351945327,-1.23112233021506,0.226386854952562,4.25105789564315e-09,7.62815414833563e-07
"ACTG1","ZIKV_positive_vs_Mock",209.645462527824,-1.10285975423732,0.200780272881925,4.33910929939456e-09,7.62815414833563e-07
"KCTD12","ZIKV_positive_vs_Mock",17.9951937812193,-1.55600856579441,0.309124802015794,8.51982250113749e-09,1.39328818204649e-06
"CTD-2370N5.3","ZIKV_positive_vs_Mock",15.8296412683288,-1.93112912083478,0.412046903529323,8.25807489640849e-09,1.39328818204649e-06
"IFIH1","ZIKV_positive_vs_Mock",55.5338890266042,1.40724517268068,0.278976481480535,1.62331865208612e-08,2.48156016553687e-06
"GBP4","ZIKV_positive_vs_Mock",32.14119231091,3.31174851071573,0.713769724992754,1.60806597358719e-08,2.48156016553687e-06
"STAT1","ZIKV_positive_vs_Mock",163.327796604484,1.4831172099439,0.298534685192423,1.6753924938939e-08,2.50667234405572e-06
"SLCO2B1","ZIKV_positive_vs_Mock",14.0940379053184,-1.99155739990154,0.446977261679773,2.02722435097816e-08,2.969883674183e-06
"HIST1H1E","ZIKV_positive_vs_Mock",70.9222714802327,-1.60382515423887,0.337798001155348,2.70176893012179e-08,3.87731410543192e-06
"TNFSF9","ZIKV_positive_vs_Mock",9.11814804445647,2.68472225090427,0.629602881072787,2.82500202447821e-08,3.97308284722616e-06
"ISG15","ZIKV_positive_vs_Mock",312.216940291476,2.62400257725776,0.622389891736749,3.31389022683199e-08,4.56926981864364e-06
"IFIT1","ZIKV_positive_vs_Mock",178.526692283462,2.63262692822753,0.633970816823795,4.42624284339724e-08,5.98564224514796e-06
"TNFRSF10B","ZIKV_positive_vs_Mock",19.1046961911868,1.31798296754686,0.272356745391207,6.11455546029118e-08,7.96250999940141e-06
"HAPLN3","ZIKV_positive_vs_Mock",8.22898795277597,4.83657268159452,1.06200069019758,6.3715351592551e-08,8.08266347986803e-06
"ANXA1","ZIKV_positive_vs_Mock",21.9990712908496,-1.54190466554087,0.33361642125536,6.43670584289832e-08,8.08266347986803e-06
"FPR3","ZIKV_positive_vs_Mock",90.7193880723891,-1.54867268486772,0.337635716212062,7.29023908838233e-08,8.99385285429904e-06
"NEAT1","ZIKV_positive_vs_Mock",83.4045645667826,-1.43757367124124,0.306965151115692,7.75251110670585e-08,9.39925139695785e-06
"VMP1","ZIKV_positive_vs_Mock",38.853862144137,-1.14579305362922,0.236025722402087,9.0092652524479e-08,1.07378225856294e-05
"NXF1","ZIKV_positive_vs_Mock",23.0740303397611,1.43870530073858,0.311013204733351,9.93280748893221e-08,1.16412503770285e-05
"THEMIS2","ZIKV_positive_vs_Mock",50.157577764073,-1.20733275912794,0.252081978938966,1.06097660842549e-07,1.22307991974558e-05
"ARID5A","ZIKV_positive_vs_Mock",20.8335570541133,1.39303986053378,0.306213094399914,1.65409747597311e-07,1.84628784937189e-05
"EVI2B","ZIKV_positive_vs_Mock",11.5266340711537,-1.66908668745935,0.394878285124061,1.96046455674461e-07,2.15406043172314e-05
"STX11","ZIKV_positive_vs_Mock",14.4973678478004,1.64680994021736,0.389880609982501,2.18084816777211e-07,2.35934220242669e-05
"EVI2A","ZIKV_positive_vs_Mock",11.7217008079275,-1.94033208755876,0.49604945419425,2.52995816107007e-07,2.69555542252193e-05
"RP5-850E9.3","ZIKV_positive_vs_Mock",11.2387024017785,-1.89194530624071,0.479711981278429,2.58837853322135e-07,2.71663848441978e-05
"ADORA2A","ZIKV_positive_vs_Mock",7.00813604895582,2.42514517664183,0.660672412102558,3.12314647743172e-07,3.20467905396735e-05
"CCL2","ZIKV_positive_vs_Mock",214.642678933487,-1.76042911108101,0.4385945656782,3.14452296251062e-07,3.20467905396735e-05
"SELENOP","ZIKV_positive_vs_Mock",8.24617759573426,-3.02540424294933,0.808135779589378,3.34221259953484e-07,3.35749128570414e-05
"CXCL11","ZIKV_positive_vs_Mock",120.813581112323,4.37437297318285,1.11632519683032,4.02716064514976e-07,3.98859065587227e-05
"PSME2","ZIKV_positive_vs_Mock",37.7148921950664,1.47056551751257,0.346446154210151,4.164656904701e-07,4.06748157692464e-05
"HNRNPH2","ZIKV_positive_vs_Mock",14.8196053438427,-1.4381462323438,0.336942463355848,4.30980272554858e-07,4.1515798309668e-05
"PMAIP1","ZIKV_positive_vs_Mock",5.3303831660126,4.22400244989177,1.10400233129106,5.12760899585719e-07,4.74438769195629e-05
"GADD45B","ZIKV_positive_vs_Mock",23.8599266858316,1.39692526982509,0.327388713957404,5.0362747236805e-07,4.74438769195629e-05
"SRXN1","ZIKV_positive_vs_Mock",11.464876173663,-1.80817647122575,0.471067167786336,5.12083695511215e-07,4.74438769195629e-05
"UBE2L6","ZIKV_positive_vs_Mock",82.4070804812755,1.04338939669428,0.235342140626056,5.45833792907959e-07,4.92090157913945e-05
