"Gene","Contrast","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"IRF1","ZIKV_positive_vs_Mock",35.3425688001054,2.4418657981193,0.302156877041065,4.40531082974409e-19,1.03260485849201e-15
"TNFAIP6","ZIKV_positive_vs_Mock",109.554808176638,2.81786114146781,0.380368119816928,2.51551774862097e-16,4.42228020207566e-13
"IFIT2","ZIKV_positive_vs_Mock",170.262447735914,4.62612751435682,0.607016363700685,2.52302176207011e-15,3.5483778061754e-12
"LAP3","ZIKV_positive_vs_Mock",117.310470360844,1.60312022317258,0.224657861576224,1.52586784706899e-14,1.53284324294131e-11
"SDC4","ZIKV_positive_vs_Mock",38.7108191354875,1.5295806970599,0.22072476115801,9.99938697142194e-14,8.78946114787988e-11
"TNFRSF10D","ZIKV_positive_vs_Mock",10.8311627930421,3.33338358545069,0.507482864203266,6.38297699319273e-13,4.48850942161313e-10
"OASL","ZIKV_positive_vs_Mock",24.53002684849,5.85819506826564,0.893780502235423,1.45652491008599e-12,9.31116651611332e-10
"TNF","ZIKV_positive_vs_Mock",17.1688912029519,3.49048544399871,0.538728319302072,1.82086630384541e-12,1.06702765405341e-09
"IFIT3","ZIKV_positive_vs_Mock",187.045128664862,2.86311839651461,0.481004705077358,5.46778373848077e-12,2.95765040376899e-09
"TAP1","ZIKV_positive_vs_Mock",68.2829631487505,1.94300545639755,0.327946144243731,8.16491341881283e-12,3.84828858624062e-09
"CD40","ZIKV_positive_vs_Mock",33.0623640391904,1.64106513908465,0.271235128011598,1.80113337749151e-11,7.03642772806684e-09
"IDO1","ZIKV_positive_vs_Mock",135.082094993367,4.41550158879846,0.71995180553077,5.28930930824209e-11,1.95760121345044e-08
"IFNB1","ZIKV_positive_vs_Mock",6.39625843434112,5.65771072100454,0.961951373638429,1.05900720056337e-10,3.54616125445792e-08
"GBP5","ZIKV_positive_vs_Mock",56.6130087858689,3.92578221150976,0.662878969472171,1.13900365584566e-10,3.64066986723031e-08
"CCL5","ZIKV_positive_vs_Mock",60.5112331381723,3.78861511929596,0.652625720478417,1.70774437518309e-10,5.00369101928645e-08
"DDIT3","ZIKV_positive_vs_Mock",26.9247823451841,1.68066038699682,0.298534125530495,1.7829594184662e-10,5.01510825226172e-08
"WARS","ZIKV_positive_vs_Mock",214.966296264443,1.49596466879421,0.258334964110237,1.86838384833853e-10,5.0532597005833e-08
"GBP1","ZIKV_positive_vs_Mock",93.9091309061974,3.53865898113581,0.639216665163074,4.0971609986355e-10,1.06708282008907e-07
"GCH1","ZIKV_positive_vs_Mock",31.1830909227741,2.57825325523279,0.507987271054953,4.42567149342118e-10,1.11147578363349e-07
"POLR2A","ZIKV_positive_vs_Mock",20.0278878993324,1.58194257994778,0.285496787886425,4.9995865173031e-10,1.21231353067846e-07
"HERC5","ZIKV_positive_vs_Mock",44.6473754145869,2.4599539649093,0.494765190082456,7.08949946594108e-10,1.60817291111283e-07
"ZC3HAV1","ZIKV_positive_vs_Mock",16.4497685835584,1.76757949325215,0.335886989185022,8.80194186688522e-10,1.93051336996267e-07
"CXCL10","ZIKV_positive_vs_Mock",537.970394702014,4.91566647444197,0.899394773830926,1.70702382171266e-09,3.53052691596572e-07
"DNAJB6","ZIKV_positive_vs_Mock",14.5232529454004,1.67641302633245,0.32238388510584,1.95743685814412e-09,3.82352666290818e-07
"ALAS1","ZIKV_positive_vs_Mock",55.6969935825738,1.1202221138715,0.200967189196628,2.73133275231481e-09,5.19100862548047e-07
"IFIH1","ZIKV_positive_vs_Mock",55.5338890266042,1.40724517268068,0.278976481480535,1.62331865208612e-08,2.48156016553687e-06
"GBP4","ZIKV_positive_vs_Mock",32.14119231091,3.31174851071573,0.713769724992754,1.60806597358719e-08,2.48156016553687e-06
"STAT1","ZIKV_positive_vs_Mock",163.327796604484,1.4831172099439,0.298534685192423,1.6753924938939e-08,2.50667234405572e-06
"TNFSF9","ZIKV_positive_vs_Mock",9.11814804445647,2.68472225090427,0.629602881072787,2.82500202447821e-08,3.97308284722616e-06
"ISG15","ZIKV_positive_vs_Mock",312.216940291476,2.62400257725776,0.622389891736749,3.31389022683199e-08,4.56926981864364e-06
"IFIT1","ZIKV_positive_vs_Mock",178.526692283462,2.63262692822753,0.633970816823795,4.42624284339724e-08,5.98564224514796e-06
"TNFRSF10B","ZIKV_positive_vs_Mock",19.1046961911868,1.31798296754686,0.272356745391207,6.11455546029118e-08,7.96250999940141e-06
"HAPLN3","ZIKV_positive_vs_Mock",8.22898795277597,4.83657268159452,1.06200069019758,6.3715351592551e-08,8.08266347986803e-06
"NXF1","ZIKV_positive_vs_Mock",23.0740303397611,1.43870530073858,0.311013204733351,9.93280748893221e-08,1.16412503770285e-05
"ARID5A","ZIKV_positive_vs_Mock",20.8335570541133,1.39303986053378,0.306213094399914,1.65409747597311e-07,1.84628784937189e-05
"STX11","ZIKV_positive_vs_Mock",14.4973678478004,1.64680994021736,0.389880609982501,2.18084816777211e-07,2.35934220242669e-05
"ADORA2A","ZIKV_positive_vs_Mock",7.00813604895582,2.42514517664183,0.660672412102558,3.12314647743172e-07,3.20467905396735e-05
"CXCL11","ZIKV_positive_vs_Mock",120.813581112323,4.37437297318285,1.11632519683032,4.02716064514976e-07,3.98859065587227e-05
"PSME2","ZIKV_positive_vs_Mock",37.7148921950664,1.47056551751257,0.346446154210151,4.164656904701e-07,4.06748157692464e-05
"PMAIP1","ZIKV_positive_vs_Mock",5.3303831660126,4.22400244989177,1.10400233129106,5.12760899585719e-07,4.74438769195629e-05
"GADD45B","ZIKV_positive_vs_Mock",23.8599266858316,1.39692526982509,0.327388713957404,5.0362747236805e-07,4.74438769195629e-05
"UBE2L6","ZIKV_positive_vs_Mock",82.4070804812755,1.04338939669428,0.235342140626056,5.45833792907959e-07,4.92090157913945e-05
"IFRD1","ZIKV_positive_vs_Mock",10.0985589296572,1.72307446963997,0.457749616524492,8.98078225384393e-07,7.53657829240397e-05
"HYOU1","ZIKV_positive_vs_Mock",18.7751575275885,1.2171683241669,0.293852529651315,1.31198630802941e-06,0.000107277764163521
"PPP1R15A","ZIKV_positive_vs_Mock",38.6842188143825,1.15959220491697,0.280195385230714,1.46538611690709e-06,0.000117097672432848
"RP3-393E18.2","ZIKV_positive_vs_Mock",4.41307435494743,3.98029914590931,1.19020012676542,1.50600407707406e-06,0.000118991243482975
"ZC3H12A","ZIKV_positive_vs_Mock",29.1599875054014,1.16692106382107,0.285209277367945,1.7018229096474e-06,0.000131507897809237
"RN7SL471P","ZIKV_positive_vs_Mock",35.3300111259816,2.7996710248403,0.893492232440844,2.02557855383667e-06,0.000149935456742941
