"Gene","Contrast","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"SDC4","ZIKV_positive_vs_ZIKV_negative",38.7108191354875,1.63104421547388,0.23411631552496,7.09531758776436e-14,6.22614118326322e-12
"SCD","ZIKV_positive_vs_ZIKV_negative",94.4017304243359,1.69802462083176,0.247842625417419,1.16648691187007e-13,9.89847465215463e-12
"PLAU","ZIKV_positive_vs_ZIKV_negative",75.8706662383267,1.26140136953265,0.188735411336331,1.80552610198725e-12,1.32783548186148e-10
"TNFRSF10D","ZIKV_positive_vs_ZIKV_negative",10.8311627930421,3.13962264165454,0.52036185544709,2.90687997454425e-11,1.87057726361922e-09
"RASSF2","ZIKV_positive_vs_ZIKV_negative",23.9257589633397,1.80505379480624,0.33724695608814,8.41234462645013e-10,4.19097581970631e-08
"PABPC4","ZIKV_positive_vs_ZIKV_negative",33.5002973289922,1.30083528721346,0.231058582051351,1.07382190128039e-09,5.28156224311283e-08
"FAM107B","ZIKV_positive_vs_ZIKV_negative",13.0194514042444,1.96914361235986,0.389861068776592,2.49307754449253e-09,1.14592528562925e-07
"FADS1","ZIKV_positive_vs_ZIKV_negative",32.2875552475198,1.47628981109073,0.291727251864221,1.35222011651569e-08,5.61389448372804e-07
"KLHL24","ZIKV_positive_vs_ZIKV_negative",17.827926586968,1.34172229813114,0.295028975480004,2.14423761185058e-07,7.35902348387118e-06
"ATP13A3","ZIKV_positive_vs_ZIKV_negative",59.5051137852315,1.08137761310812,0.237846863003828,2.85817276373298e-07,9.63790833255288e-06
"PIK3IP1","ZIKV_positive_vs_ZIKV_negative",10.8597931951085,1.84877985984223,0.449625410109863,3.03606297239911e-07,1.01053785658905e-05
"SCARB1","ZIKV_positive_vs_ZIKV_negative",19.507893925861,1.48493543150404,0.344414311896616,4.02109185607256e-07,1.29378630469135e-05
"DNAJB6","ZIKV_positive_vs_ZIKV_negative",14.5232529454004,1.37320294401006,0.319124743463873,5.6115207772051e-07,1.74024752777421e-05
"IFNB1","ZIKV_positive_vs_ZIKV_negative",6.39625843434112,3.66305811377847,0.93460549395809,8.73673720897063e-07,2.58486914665407e-05
"RAB32","ZIKV_positive_vs_ZIKV_negative",19.4561440836702,1.28416877713887,0.304676464416931,9.62109842083586e-07,2.82299457824433e-05
"UROD","ZIKV_positive_vs_ZIKV_negative",26.1637600862948,1.03554825534397,0.249188102107732,1.50710507168108e-06,4.23195104128047e-05
"DDIT3","ZIKV_positive_vs_ZIKV_negative",26.9247823451841,1.20253623505496,0.293070710985209,1.6829592950424e-06,4.65799701660121e-05
"SNCA","ZIKV_positive_vs_ZIKV_negative",16.0318268170543,1.32725048285325,0.337619411227412,2.61138615132377e-06,6.92959582835812e-05
"VEGFA","ZIKV_positive_vs_ZIKV_negative",6.98094438589558,2.38116128674471,0.708397640866616,2.93482783600349e-06,7.65633126676315e-05
"TNFRSF9","ZIKV_positive_vs_ZIKV_negative",9.19128644960773,1.64696559922272,0.460891820075681,3.99144933978308e-06,0.00010105564525182
"HERPUD1","ZIKV_positive_vs_ZIKV_negative",20.6080378575988,1.07045423585035,0.282477757751151,6.11766680018508e-06,0.000149970231844537
"MFSD2A","ZIKV_positive_vs_ZIKV_negative",22.1458892415199,1.24477567485439,0.34284150641909,8.67347803032421e-06,0.000203860875565824
"SLC1A5","ZIKV_positive_vs_ZIKV_negative",17.1048507307868,1.30771457067547,0.373533053600415,1.17280309807864e-05,0.000267150015438445
"KLF4","ZIKV_positive_vs_ZIKV_negative",5.4179673186107,2.95691175693072,1.0295321038946,1.32087624157161e-05,0.00029564656050481
"RP3-393E18.2","ZIKV_positive_vs_ZIKV_negative",4.41307435494743,3.18171457167985,1.16346203839998,1.77370733061668e-05,0.000378358232238177
"CPEB4","ZIKV_positive_vs_ZIKV_negative",13.4690202555973,1.17042137932762,0.355463586034231,2.84492000344252e-05,0.000581176514988971
"MKNK2","ZIKV_positive_vs_ZIKV_negative",16.286298836293,1.07109135004519,0.32219744111969,2.94663192188995e-05,0.000595651615205084
"PMAIP1","ZIKV_positive_vs_ZIKV_negative",5.3303831660126,2.23169969137205,0.856519923658754,3.08361049273214e-05,0.000612124427374745
"IRAK2","ZIKV_positive_vs_ZIKV_negative",12.583764560277,1.17377156512526,0.360071439394689,3.12091684904965e-05,0.000617941536111831
