"Gene","GSM8564259","GSM8564260","GSM8564261","GSM8564262","GSM8564263","GSM8564264","GSM8564265","GSM8564266","GSM8564267","GSM8564268","GSM8564269","GSM8564270","GSM8564271","GSM8564272","GSM8564273","GSM8564274","GSM8564275","GSM8564276","GSM8564277","GSM8564278","GSM8564279","GSM8564280","GSM8564281","GSM8564282","GSM8564283","GSM8564284"
"1",41,41,60,29,58,49,48,52,68,70,33,31,25,23,24,9,22,14,35,23,36,22,26,14,30,25
"100",463,163,389,417,329,348,387,520,228,336,648,655,400,948,1073,1541,584,1241,603,774,504,857,138,963,323,576
"1000",16,15,10,0,2,3,6,0,5,10,12,3,1,5,2,2,3,9,0,2,0,2,2,1,0,0
"10000",541.83,171.55,267.07,287.86,256.46,346.81,642.52,617.83,486.72,488.45,512.54,598.46,319.58,299.19,252.73,239.26,79,256.69,456.63,212.86,462.29,171.98,52.1,223.6,105.2,106.71
"10001",352,117,140,144,132,163.02,316.52,289,240.99,240.04,385.03,414,272,425,446,511,277.27,541,285,383,389,223,73.77,305,143.05,140.18
"10003",17,12,27,19,20,32,27,39,28,23,6,16,17,49,13,28,4,9,23,5,20,5,9,5,20,18
"100037417",41.9,35.47,47.35,31.89,33.88,36.21,53.85,97.3,47.76,58.85,48.24,40.67,46.88,58.52,48.04,29.39,56.3,42.45,53.68,29.84,57.44,35.76,36.26,33.22,45.74,72.31
"10004",139,88,117,126,188,185,138,177,109,109,63,85,129,74,68,42,43,41,131,41,109,97,49,56,65,75
"100049587",2141.95,1631.21,2427.8,1508.56,0,454.92,1.16,759.65,1.16,9.3,2025.9,2186.13,4495.11,1445.57,828.16,3032.23,3.79,0,3982.55,334.61,0,0,0,289.23,0,5760.1
"10005",270.41,240.13,304.27,338.72,319.05,324.86,233.76,257.52,219.91,232.07,262.14,297.32,356.18,241.37,311.69,241.48,196.65,291.47,330.36,232.56,324.98,283.36,201.23,161.31,188.1,193.82
"10006",2517.8,1654.94,1796.8,1716.86,1396,1459.82,2077.32,2125.59,1634.95,1965.59,2402.91,3220.62,2316.93,2888.92,2219,2954.49,706.73,1790.84,2689.83,1692.87,2255.95,1399.84,1451,1868.99,825.85,1820.97
"10007",586,240,430,422,304,307,421,471,273,258,359,900,629,505,431,374,215,443,691,289,684,331,307,247,119,255
"10008",1539,523,1008,1246,477,337,751,914,312,398,282,1173,1916,494.97,558,389,66.19,339,1523.88,159,1747.03,374,1120,232.01,116,290
"10009",1244,489,579,676,607,654,1236,1005,982,1079,830,1066,870,1164,806,809,202,697,1101,525,1234,348,145,511,272,419
"1001",2,3,1,1,4,5,2,2,2,3,1,2,3,1,0,2,3,0,4,2,2,1,0,0,2,2
"10010",1116,908,827,794,653,708,823,882,832,744,1329,1635,1379,2214,963,1765,321,1005,1331,571,1379,476,765,619,206,925
"100101267",4069.05,2719.05,3407.42,3226.5,3350.33,2903.9,4233.26,4225.76,3632.85,3185.43,4056.88,1949.41,2800.65,1581.1,2704.82,1284.1,680.03,2600.47,3176.47,2615.13,3056.28,4791.5,1659.91,3546.36,1342.78,2326.42
"100101467",87.58,49.23,93.1,71.4,97.54,93.45,97.05,100.34,68.6,65.58,77,183.19,65.47,199.02,74.55,171.95,32.45,60.6,144.59,93.63,53.25,50.69,21.39,51.93,42.5,50.29
"10011",486,568,544,524,503,411,391,467,547,514,754,859,658,690,593,735,448,756,657,724,613,631,633,590,609,840
"100113407",1184,974.55,1021.01,1103.63,1027.01,479.92,1129,997,628,1061.72,549,2704,1166,1655.61,551,1350.91,84.73,360,1553,186,1513,404.97,759.99,148,177.47,431.94
