"SampleID","Total_Counts","Group"
"GSM8564259",18413783,"healthy"
"GSM8564260",17055500,"healthy"
"GSM8564261",17753846,"healthy"
"GSM8564262",17599334,"healthy"
"GSM8564263",16133085,"healthy"
"GSM8564264",16115114,"healthy"
"GSM8564265",17544167,"healthy"
"GSM8564266",17559271,"healthy"
"GSM8564267",17088927,"healthy"
"GSM8564268",16817792,"healthy"
"GSM8564269",17394554,"Severe_Dengue"
"GSM8564270",20830383,"Dengue"
"GSM8564271",18453144,"Dengue"
"GSM8564272",18668739,"Dengue"
"GSM8564273",15444075,"Dengue"
"GSM8564274",17384624,"Dengue"
"GSM8564275",7858851,"Dengue"
"GSM8564276",15183839,"Dengue"
"GSM8564277",17641987,"Dengue"
"GSM8564278",13365752,"Dengue"
"GSM8564279",18230119,"Dengue"
"GSM8564280",13854059,"Severe_Dengue"
"GSM8564281",14840753,"Dengue"
"GSM8564282",12528900,"Dengue"
"GSM8564283",9949386,"Severe_Dengue"
"GSM8564284",14115680,"Dengue"
