"Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","PlotGene","Regulation","minusLog10Padj"
"100532726",193.720937717505,5.01380009684605,0.382952519558045,13.0924849446932,3.63517313066566e-39,5.10814528321139e-35,"100532726","Up",34.2917367592552
"3429",3952.61671639376,8.59236775881447,0.689906831507622,12.4543885730744,1.3236198123168e-35,9.29975280133786e-32,"3429","Up",31.0315285953645
"699",795.441160328464,4.94886760317126,0.511628679977752,9.672772064667,3.93570326921212e-22,1.84348341129896e-18,"699","Up",17.7343607660664
"6241",2278.71591934247,4.54900896213852,0.490205361834742,9.27980254053622,1.6979293647579e-20,5.29420958263609e-17,"6241","Up",16.2761988702163
"6382",630.186699582802,6.75935551620053,0.729264643290731,9.26872785947725,1.88379219422007e-20,5.29420958263609e-17,"6382","Up",16.2761988702163
"9493",176.058764010971,3.23893228689616,0.352896471341113,9.17813735735933,4.3861230702212e-20,1.02723002304581e-16,"9493","Up",15.9883322958829
"79801",394.445211677374,4.52382066376158,0.497444052764119,9.09412955813687,9.53471327506385e-20,1.91402558487425e-16,"79801","Up",15.7180522612846
"983",181.237222386294,4.59166016650105,0.506093734645011,9.07274651349274,1.16054047513287e-19,2.03848934457089e-16,"983","Up",15.6906915543154
"25841",136.185485425971,2.3492680867393,0.262475824811408,8.95041700860367,3.54141945761097e-19,5.07055693653436e-16,"25841","Up",15.294944336292
"259266",280.655451773056,4.0522457119987,0.452848478507134,8.94834785656648,3.60842366676228e-19,5.07055693653436e-16,"259266","Up",15.294944336292
"9787",271.559011417717,4.50550183157713,0.505977783358133,8.9045447839122,5.36055671783102e-19,6.84786754536014e-16,"9787","Up",15.1644446485756
"24137",149.248385279244,4.1774268380268,0.470710637153421,8.87472368011354,7.01072527479473e-19,8.20955929678463e-16,"24137","Up",15.0856801559271
"701",174.119527505612,4.54899069688293,0.513851676482729,8.85273106048887,8.5403283569313e-19,9.23143800550758e-16,"701","Up",15.0347306425046
"64151",328.898485837637,4.00017119819948,0.454230084624407,8.80648669827128,1.29129417544109e-18,1.29609041094987e-15,"64151","Up",14.8873647024723
"55355",209.879139598866,3.93827607805702,0.448962251040176,8.77195369751609,1.75592612005063e-18,1.64495158926343e-15,"55355","Up",14.7838468787627
"1870",899.73410628332,2.76708348048567,0.316164036295335,8.75205008421923,2.09511375124045e-18,1.84003365202692e-15,"1870","Up",14.7351742341883
"137797",68.7943135531866,-5.79880438662694,0.664583003780506,-8.7254780119868,2.6505860363831e-18,2.06922416573641e-15,"137797","Down",14.6841924582618
"4001",1546.33955592119,1.90727989546528,0.218530670824513,8.7277446605968,2.59801391017118e-18,2.06922416573641e-15,"4001","Up",14.6841924582618
"26207",1354.70766127648,-1.16769121169126,0.133947033635934,-8.71755932173176,2.84262884904209e-18,2.10234845193366e-15,"26207","Down",14.6772953005769
"3161",219.194217809427,4.3208829881915,0.497517539030719,8.68488575620791,3.79123219971636e-18,2.51022290973251e-15,"3161","Up",14.6002877111212
"55165",217.644973664385,3.98688440073317,0.45927629045248,8.68079734054046,3.93003871435491e-18,2.51022290973251e-15,"55165","Up",14.6002877111212
"55893",877.294829106627,-1.25827998982069,0.144868364449322,-8.68567816447506,3.76489447339594e-18,2.51022290973251e-15,"55893","Down",14.6002877111212
"55872",72.7869084179359,4.74258795336944,0.547233022047748,8.66648714951934,4.45656995663014e-18,2.72277047958986e-15,"55872","Up",14.5649889666838
"157570",101.226794858956,4.27016303491531,0.4930751066169,8.66026894809973,4.70652491157792e-18,2.75567033572887e-15,"157570","Up",14.5597727388462
"160428",184.557439369348,4.88976399044571,0.566005057299182,8.63908180216321,5.6666592436203e-18,3.1851158276541e-15,"160428","Up",14.4968747697976
"10024",130.887018395251,3.78035318842368,0.4386974314415,8.61722207035029,6.85980127568074e-18,3.57014546392096e-15,"10024","Up",14.4473140884001
"11274",1084.02807768716,3.83243637726069,0.444585434115342,8.62024727572701,6.68096806886209e-18,3.57014546392096e-15,"11274","Up",14.4473140884001
"675",197.805094025824,2.47460998976422,0.288505822616616,8.57733118631934,9.70997372111967e-18,4.79708663249752e-15,"675","Up",14.3190224383663
"9133",255.865042126699,3.85408797678041,0.449451068194447,8.57510027123354,9.90005069331257e-18,4.79708663249752e-15,"9133","Up",14.3190224383663
"9928",104.618673817863,4.05607439164817,0.473370184532164,8.56850415210842,1.0483791227401e-17,4.91060781091464e-15,"9928","Up",14.3088647497122
"79733",117.932165667992,4.67733477352398,0.546200899267484,8.56339632504597,1.09590413951276e-17,4.96762740917202e-15,"79733","Up",14.3038509853373
"157313",147.099655083781,4.15064353517816,0.486487500289288,8.53186059808319,1.44012528135537e-17,6.32395014175176e-15,"157313","Up",14.1990115627195
"56938",83.0782139030653,2.59131039618562,0.304870759616461,8.49970131424077,1.90079143874617e-17,8.09391554462461e-15,"56938","Up",14.0918413315351
"55635",86.3683017215076,4.56904120244812,0.538158760421483,8.4901362543456,2.0639497206147e-17,8.53018278649344e-15,"55635","Up",14.0690416625822
"51512",238.538989966189,3.55069236774632,0.419672090758298,8.46063497177198,2.65925569679508e-17,1.06765317289613e-14,"51512","Up",13.9715698049479
"332",317.05320214801,4.09642073203602,0.48681025960667,8.41482004784744,3.93498508699554e-17,1.53595584562393e-14,"332","Up",13.8136212688602
"991",476.137263188848,3.98256352196645,0.474981607616073,8.38466891792904,5.08687251313992e-17,1.931911690666e-14,"991","Up",13.7140127294386
