"Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","PlotGene","Regulation","minusLog10Padj"
"137797",68.7943135531866,-5.79880438662694,0.664583003780506,-8.7254780119868,2.6505860363831e-18,2.06922416573641e-15,"137797","Down",14.6841924582618
"26207",1354.70766127648,-1.16769121169126,0.133947033635934,-8.71755932173176,2.84262884904209e-18,2.10234845193366e-15,"26207","Down",14.6772953005769
"55893",877.294829106627,-1.25827998982069,0.144868364449322,-8.68567816447506,3.76489447339594e-18,2.51022290973251e-15,"55893","Down",14.6002877111212
"4907",232.645239084918,-1.78453096769216,0.214790884528926,-8.30822486534263,9.71443102572029e-17,3.2236960824746e-14,"4907","Down",13.4916459085313
"23544",60.756628272545,-3.00876486884653,0.364040747257286,-8.26491235257267,1.39797417397286e-16,4.17964533886525e-14,"23544","Down",13.3788605684423
"57593",28.5476622735381,-2.7411233048774,0.333428916552641,-8.22101254209798,2.01792159868879e-16,5.65044702900873e-14,"57593","Down",13.2479171920829
"4145",833.249117865287,-2.0725156756122,0.268652882363003,-7.71447399850275,1.21482197250545e-14,1.93984981336893e-12,"4145","Down",11.7122318926213
"23268",247.146454946017,-1.02703486469854,0.133592818943789,-7.68779993429641,1.49686631637594e-14,2.31142477777085e-12,"23268","Down",11.6361202355292
"728763",15.9071065908313,-3.96880337339025,0.527058536960668,-7.53009978033318,5.07015633860911e-14,6.83597012299513e-12,"728763","Down",11.1651998440564
"91010",929.670124781204,-1.22066701848767,0.167257523201601,-7.29812922684718,2.91796320162686e-13,3.25384299383665e-11,"91010","Down",10.487603406702
"3707",2217.67287733895,-1.12928034405866,0.155180042291745,-7.27722668057773,3.40752432292086e-13,3.65515509814381e-11,"3707","Down",10.4370941900224
"55450",48.7904484347015,-1.96422543179703,0.270386023997178,-7.26452278397913,3.74357523769747e-13,3.98520600303976e-11,"55450","Down",10.3995492241622
"8722",103.185284159413,-1.56420122969764,0.219892959701226,-7.11346662404727,1.13163861494145e-12,1.12778622816718e-10,"8722","Down",9.94777321305279
"56981",116.356891652909,-1.29995524152524,0.184041668718935,-7.06337456389024,1.62506898106676e-12,1.56407324122946e-10,"56981","Down",9.80574291398906
"911",192.648349413146,-2.24204835977471,0.321909969786666,-6.96483045014278,3.28799495728403e-12,2.90584309055064e-10,"911","Down",9.53672784039857
"5644",181.591121634534,-1.74566347343152,0.250684114562058,-6.96359829772689,3.3168953278291e-12,2.91306332166591e-10,"5644","Down",9.53565007494968
"92840",48.9781612125686,-1.69997580325044,0.244256020395999,-6.95981126890695,3.40728889821951e-12,2.97386481973792e-10,"92840","Down",9.52667877669375
"27086",1744.38685730646,-1.16239183492177,0.167142314617994,-6.95450363708574,3.53805513025064e-12,3.06893522779519e-10,"27086","Down",9.51301227758577
