"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006260","DNA replication","54/871","313/18842",0.172523961661342,3.73214292264409,10.7306127586212,3.66833749885122e-17,2.15698244932452e-13,2.15698244932452e-13,"DBF4B/TREX1/DDX11/INO80D/RAD51/POLD1/GINS2/MCM5/MCM4/USP43/CHAF1B/E2F8/MCM2/GINS1/DTL/CDC7/TICRR/TSPYL2/POLE2/CDC45/GINS4/POLD3/PCNA/BRCA1/NFIA/GEN1/TK1/DHFR/CDK2/RMI2/FAM111B/RBMS1/WDHD1/GMNN/POLA2/DSCC1/MCM6/RFC3/RRM1/TYMS/MCM10/GINS3/MCM3/CHRAC1/DNA2/EME2/TIMELESS/RBBP7/CDK1/ORC6/ORC1/SHMT1/RNASEH2A/CHAF1A",54
"GO:0006261","DNA-templated DNA replication","37/871","171/18842",0.216374269005848,4.68073935316669,10.6444753465335,2.30782268535395e-15,6.78499869494062e-12,6.78499869494062e-12,"DBF4B/DDX11/RAD51/POLD1/MCM5/MCM4/E2F8/MCM2/GINS1/DTL/CDC7/TICRR/POLE2/CDC45/GINS4/POLD3/PCNA/BRCA1/GEN1/TK1/FAM111B/WDHD1/GMNN/POLA2/MCM6/RFC3/RRM1/MCM10/GINS3/MCM3/CHRAC1/DNA2/EME2/TIMELESS/ORC6/ORC1/RNASEH2A",37
"GO:0000070","mitotic sister chromatid segregation","34/871","205/18842",0.165853658536585,3.58784688191314,8.20167270659932,8.3529096808552e-11,1.3210343302207e-07,1.3210343302207e-07,"BIRC5/KIFC1/SPC24/KIF11/CDC20/KIF23/SKA3/UBE2C/CENPF/CENPI/BUB1B/KIF15/CENPK/GEN1/TRIP13/CENPA/AURKB/NCAPH/NUSAP1/RCC1/KIF4A/SMC4/CCNB1/AURKC/KIF18B/UHRF1/TPX2/PSRC1/ESPL1/NCAPD2/SMC2/CDK1/DLGAP5/ZWINT",34
"GO:0010948","negative regulation of cell cycle process","43/871","309/18842",0.13915857605178,3.01036267504895,7.84432754213847,1.02283621570736e-10,1.3210343302207e-07,1.3210343302207e-07,"FAM107A/RAD51/BIRC5/SPC24/CDC20/E2F8/ATF5/DTL/RBL1/WDR76/SKA3/CDC7/TICRR/SUSD2/CENPF/CDC45/BRCA1/BUB1B/BRIP1/GEN1/TRIP13/FANCD2/AURKB/CDK2/CDK2AP2/RBM14/GMNN/E2F1/BMP4/RFC3/CCNB1/CLSPN/KANK2/PKMYT1/KAT2A/ESPL1/DNA2/ACVR1/EME2/TIMELESS/CDK1/ORC1/ZWINT",43
"GO:0000280","nuclear division","52/871","422/18842",0.123222748815166,2.66562919997171,7.61841573919481,1.12332851209243e-10,1.3210343302207e-07,1.3210343302207e-07,"RAD54L/RAD51/BIRC5/KIFC1/SPC24/TOP2A/KIF11/CDC20/KIF23/MKI67/MSH5/SKA3/UBE2C/DMC1/CENPF/CENPI/BUB1B/KIF15/CENPK/BRIP1/CYP26B1/GEN1/TRIP13/FANCD2/CENPA/AURKB/NCAPH/NUSAP1/ING2/RCC1/BMP4/KIF4A/MAPK15/SMC4/CCNB1/ANLN/PKMYT1/AURKC/KIF18B/UHRF1/TPX2/RAD51AP1/PSRC1/ESPL1/AURKA/NCAPD2/EME2/SMC2/SYCE2/CDK1/DLGAP5/ZWINT",52
"GO:0000727","double-strand break repair via break-induced replication","9/871","12/18842",0.75,16.2244546498278,11.6140084606264,1.79671209184311e-10,1.76077785000625e-07,1.76077785000625e-07,"GINS2/MCM5/MCM4/MCM2/CDC7/CDC45/GINS4/MCM6/MCM3",9
"GO:0000819","sister chromatid segregation","37/871","246/18842",0.150406504065041,3.25368467232319,7.83295922838306,2.25870990380547e-10,1.89731631919659e-07,1.89731631919659e-07,"BIRC5/KIFC1/SPC24/TOP2A/KIF11/CDC20/KIF23/SKA3/UBE2C/CENPF/CENPI/BUB1B/KIF15/CENPK/GEN1/TRIP13/CENPA/AURKB/RMI2/NCAPH/NUSAP1/RCC1/KIF4A/MAPK15/SMC4/CCNB1/AURKC/KIF18B/UHRF1/TPX2/PSRC1/ESPL1/NCAPD2/SMC2/CDK1/DLGAP5/ZWINT",37
"GO:1902969","mitotic DNA replication","10/871","16/18842",0.625,13.5203788748565,11.0299454720528,2.63282561451324e-10,1.93512682666723e-07,1.93512682666723e-07,"RAD51/MCM4/MCM2/GINS1/CDC45/PCNA/TK1/GMNN/MCM6/MCM3",10
"GO:0140014","mitotic nuclear division","39/871","281/18842",0.138790035587189,3.00239018430977,7.44519560796744,8.2504115447909e-10,5.39026887593005e-07,5.39026887593005e-07,"BIRC5/KIFC1/SPC24/KIF11/CDC20/KIF23/MKI67/SKA3/UBE2C/CENPF/CENPI/BUB1B/KIF15/CENPK/GEN1/TRIP13/CENPA/AURKB/NCAPH/NUSAP1/RCC1/BMP4/KIF4A/SMC4/CCNB1/ANLN/PKMYT1/AURKC/KIF18B/UHRF1/TPX2/PSRC1/ESPL1/AURKA/NCAPD2/SMC2/CDK1/DLGAP5/ZWINT",39
"GO:0006270","DNA replication initiation","14/871","39/18842",0.358974358974359,7.76555094350732,9.31101077533365,9.39860739550946e-10,5.52638114855956e-07,5.52638114855956e-07,"MCM5/MCM4/MCM2/DTL/TICRR/CDC45/GMNN/POLA2/MCM6/MCM10/GINS3/MCM3/ORC6/ORC1",14
"GO:0030968","endoplasmic reticulum unfolded protein response","21/871","93/18842",0.225806451612903,4.88478204510944,8.26787701305708,1.13393636224443e-09,6.06140528181566e-07,6.06140528181566e-07,"DERL2/DNAJC3/NCK1/HERPUD1/BOK/ATF3/AKT2/PPP1R15B/CREBRF/XBP1/FICD/BBC3/ATF6B/DDIT3/TBL2/NFE2L2/EIF2AK3/DNAJB9/YOD1/CTH/CREB3L1",21
"GO:0044786","cell cycle DNA replication","14/871","40/18842",0.35,7.57141216991963,9.1592857736385,1.38475948591784e-09,6.78532148099743e-07,6.78532148099743e-07,"DBF4B/RAD51/MCM4/E2F8/MCM2/GINS1/CDC7/CDC45/PCNA/TK1/GMNN/MCM6/MCM3/DNA2",14
"GO:0034620","cellular response to unfolded protein","22/871","104/18842",0.211538461538462,4.57612823456681,8.05087467301509,1.71331087642077e-09,7.74943688719548e-07,7.74943688719548e-07,"DERL2/DNAJC3/NCK1/HSPB8/HERPUD1/BOK/ATF3/AKT2/PPP1R15B/CREBRF/XBP1/FICD/BBC3/ATF6B/DDIT3/TBL2/NFE2L2/EIF2AK3/DNAJB9/YOD1/CTH/CREB3L1",22
"GO:0048285","organelle fission","53/871","470/18842",0.112765957446809,2.43942155018687,6.95718643000729,1.87675747103724e-09,7.88238137835643e-07,7.88238137835642e-07,"RAD54L/RAD51/BIRC5/KIFC1/SPC24/TOP2A/KIF11/CDC20/KIF23/MKI67/MSH5/SKA3/UBE2C/DMC1/CENPF/CENPI/BUB1B/KIF15/CENPK/BRIP1/CYP26B1/GEN1/TRIP13/FANCD2/CENPA/AURKB/NCAPH/NUSAP1/ING2/RCC1/BMP4/KIF4A/MAPK15/SMC4/CCNB1/ANLN/PKMYT1/AURKC/KIF18B/UHRF1/TMEM135/TPX2/RAD51AP1/PSRC1/ESPL1/AURKA/NCAPD2/EME2/SMC2/SYCE2/CDK1/DLGAP5/ZWINT",53
"GO:0098813","nuclear chromosome segregation","41/871","315/18842",0.13015873015873,2.81567255298599,7.15426767040599,2.14441691403156e-09,8.40611430300371e-07,8.40611430300371e-07,"GEM/BIRC5/KIFC1/SPC24/TOP2A/KIF11/CDC20/KIF23/MSH5/SKA3/UBE2C/CENPF/CENPI/BUB1B/KIF15/CENPK/GEN1/TRIP13/FANCD2/CENPA/AURKB/RMI2/NCAPH/NUSAP1/RCC1/KIF4A/MAPK15/SMC4/CCNB1/AURKC/KIF18B/UHRF1/TPX2/PSRC1/ESPL1/NCAPD2/SMC2/SYCE2/CDK1/DLGAP5/ZWINT",41
"GO:0007059","chromosome segregation","49/871","420/18842",0.116666666666667,2.52380405663988,6.95280920386222,2.51690777060078e-09,9.24963605695786e-07,9.24963605695786e-07,"GEM/BIRC5/KIFC1/SPC24/TOP2A/KIF11/CDC20/KIF23/MKI67/MSH5/CENPM/SKA3/UBE2C/CENPF/CENPI/BRCA1/BUB1B/KIF15/CENPK/GEN1/TRIP13/FANCD2/CENPA/AURKB/RMI2/CENPN/NCAPH/NUSAP1/CENPH/RCC1/CENPO/KIF4A/MAPK15/SMC4/CCNB1/AURKC/KIF18B/UHRF1/TPX2/PSRC1/ESPL1/NCAPD2/NEK7/NR3C1/SMC2/SYCE2/CDK1/DLGAP5/ZWINT",49
"GO:0045786","negative regulation of cell cycle","46/871","382/18842",0.120418848167539,2.60497352143832,6.97683794024255,2.85482196771603e-09,9.40775956445797e-07,9.40775956445797e-07,"FAM107A/BMP2/RAD51/BIRC5/SPC24/CDC20/E2F8/ATF5/DTL/RBL1/WDR76/SKA3/CDC7/TICRR/TSPYL2/SUSD2/CENPF/CDC45/BRCA1/BUB1B/BRIP1/GEN1/TRIP13/FANCD2/AURKB/CDK2/CDK2AP2/RBM14/GMNN/E2F1/BMP4/RFC3/CCNB1/CLSPN/KANK2/PKMYT1/NR4A1/KAT2A/ESPL1/DNA2/ACVR1/EME2/TIMELESS/CDK1/ORC1/ZWINT",46
"GO:1901988","negative regulation of cell cycle phase transition","37/871","269/18842",0.137546468401487,2.97548858509853,7.18430175678805,2.87992639728305e-09,9.40775956445797e-07,9.40775956445797e-07,"FAM107A/RAD51/BIRC5/SPC24/CDC20/ATF5/DTL/RBL1/WDR76/SKA3/CDC7/TICRR/SUSD2/CENPF/CDC45/BRCA1/BUB1B/BRIP1/GEN1/TRIP13/FANCD2/AURKB/CDK2/CDK2AP2/E2F1/RFC3/CCNB1/CLSPN/KANK2/PKMYT1/DNA2/ACVR1/EME2/TIMELESS/CDK1/ORC1/ZWINT",37
"GO:0033260","nuclear DNA replication","13/871","36/18842",0.361111111111111,7.81177446102819,9.00613027195445,3.46025336417159e-09,1.07085735691205e-06,1.07085735691205e-06,"DBF4B/RAD51/MCM4/MCM2/GINS1/CDC7/CDC45/PCNA/TK1/GMNN/MCM6/MCM3/DNA2",13
"GO:0035967","cellular response to topologically incorrect protein","23/871","118/18842",0.194915254237288,4.21652493724338,7.71620114739985,3.95498432605603e-09,1.16276539186047e-06,1.16276539186047e-06,"DERL2/DNAJC3/NCK1/HSPB8/HERPUD1/BOK/ATF3/AKT2/PPP1R15B/CREBRF/XBP1/FICD/BBC3/ATF6B/DDIT3/TBL2/KLHL15/NFE2L2/EIF2AK3/DNAJB9/YOD1/CTH/CREB3L1",23
"GO:0000075","cell cycle checkpoint signaling","29/871","191/18842",0.151832460732984,3.28453183137875,6.98614775213537,1.61262085010878e-08,4.51533838030459e-06,4.51533838030459e-06,"RAD51/BIRC5/SPC24/CDC20/DTL/WDR76/SKA3/CDC7/TICRR/CENPF/CDC45/BRCA1/BUB1B/BRIP1/GEN1/TRIP13/FANCD2/AURKB/CDK2/E2F1/RFC3/CCNB1/CLSPN/DNA2/EME2/TIMELESS/CDK1/ORC1/ZWINT",29
"GO:1901987","regulation of cell cycle phase transition","50/871","459/18842",0.108932461873638,2.35649305008392,6.47724989119399,1.70171833827794e-08,4.54822901321558e-06,4.54822901321558e-06,"DBF4B/FAM107A/RAD51/BIRC5/SPC24/CDC20/ATF5/DTL/RBL1/WDR76/SKA3/CDC7/UBE2C/TICRR/SUSD2/CENPF/CDKN2C/CDC45/DDR2/BRCA1/BUB1B/UBE2E2/BRIP1/GEN1/TRIP13/STOX1/FANCD2/AURKB/CDK2/CDK2AP2/E2F1/MAPK15/RRM2/RFC3/CCNB1/RRM1/CLSPN/KANK2/ANLN/PKMYT1/ESPL1/AURKA/DNA2/ACVR1/EME2/TIMELESS/CDK1/DLGAP5/ORC1/ZWINT",50
"GO:0007346","regulation of mitotic cell cycle","52/871","492/18842",0.105691056910569,2.28637301298386,6.36511665754392,2.41228305741725e-08,6.16705407722324e-06,6.16705407722324e-06,"DBF4B/EIF4EBP1/FAM107A/BIRC5/SPC24/CDC20/MKI67/DTL/RBL1/SKA3/CDC7/UBE2C/TICRR/CENPF/CDKN2C/DDR2/BRCA1/BUB1B/UBE2E2/GEN1/TRIP13/CKS1B/STOX1/FANCD2/AURKB/CDK2/CDK2AP2/FOXM1/NUSAP1/RCC1/GMNN/E2F1/ASNS/BMP4/RRM2/CCNB1/RRM1/CLSPN/KANK2/ANLN/PKMYT1/ESPL1/SMOC2/AURKA/ACVR1/EME2/NEK7/TIMELESS/CDK1/DLGAP5/ORC1/ZWINT",52
"GO:1905818","regulation of chromosome separation","18/871","82/18842",0.219512195121951,4.74862087312033,7.4892263813292,2.79146556026639e-08,6.83909062265267e-06,6.83909062265267e-06,"BIRC5/SPC24/CDC20/SKA3/UBE2C/CENPF/BUB1B/GEN1/TRIP13/AURKB/NCAPH/MAPK15/SMC4/CCNB1/ESPL1/SMC2/DLGAP5/ZWINT",18
"GO:0006310","DNA recombination","40/871","338/18842",0.118343195266272,2.5600717396178,6.37154918851061,5.01709060846775e-08,1.16836426031777e-05,1.16836426031777e-05,"RAD54L/TREX1/INO80D/RAD51/PARPBP/TOP2A/GINS2/MCM5/MCM4/MCM2/MSH5/CDC7/DMC1/PIF1/CDC45/GINS4/FANCB/BRCA1/BRIP1/GEN1/TRIP13/FANCD2/RMI2/HELLS/NCAPH/NSMCE4A/RAD52/EXOSC3/MCM6/XRCC2/SMC4/MCM3/UHRF1/CCR6/RAD51AP1/KLHL15/EME2/TIMELESS/SMC2/SYCE2",40
"GO:0006986","response to unfolded protein","24/871","145/18842",0.16551724137931,3.58056930203096,6.867339118564,5.16623652521465e-08,1.16836426031777e-05,1.16836426031777e-05,"DERL2/DNAJC3/NCK1/HSPB8/HERPUD1/BOK/ATF3/AKT2/PPP1R15B/CREBRF/XBP1/FICD/BBC3/ATF6B/CHAC1/DDIT3/TBL2/NFE2L2/CREB3L2/EIF2AK3/DNAJB9/YOD1/CTH/CREB3L1",24
"GO:0044772","mitotic cell cycle phase transition","47/871","434/18842",0.108294930875576,2.34270159306269,6.23011403963887,5.49538452086692e-08,1.1967726289888e-05,1.1967726289888e-05,"DBF4B/EIF4EBP1/FAM107A/BIRC5/SPC24/CCNO/CDC20/NES/DTL/RBL1/SKA3/CDC7/UBE2C/TICRR/KDM8/MYC/CENPF/CDKN2C/DDR2/BRCA1/BUB1B/UBE2E2/GEN1/TRIP13/STOX1/AURKB/CDK2/CDK2AP2/FOXM1/E2F3/RCC1/E2F1/RRM2/CCNB1/RRM1/CLSPN/KANK2/ANLN/PKMYT1/CCNB2/ESPL1/AURKA/ACVR1/CDK1/DLGAP5/ORC1/ZWINT",47
"GO:1905820","positive regulation of chromosome separation","11/871","31/18842",0.354838709677419,7.67608607088626,8.1897710798421,6.99503611145264e-08,1.46895758340505e-05,1.46895758340505e-05,"BIRC5/CDC20/SKA3/UBE2C/AURKB/NCAPH/MAPK15/SMC4/ESPL1/SMC2/DLGAP5",11
"GO:0140467","integrated stress response signaling","14/871","53/18842",0.264150943396226,5.7142733357884,7.56616470932719,8.18311276194517e-08,1.65919665655992e-05,1.65919665655992e-05,"NCK1/CEBPD/CEBPB/BOK/AKT2/PPP1R15B/FOSL1/MAFB/FOS/DDIT3/NFE2L2/EIF2AK3/HERC5/BATF3",14
"GO:0051304","chromosome separation","18/871","88/18842",0.204545454545455,4.42485126813485,7.0894252292972,8.88209450834546e-08,1.74089052363571e-05,1.74089052363571e-05,"BIRC5/SPC24/CDC20/SKA3/UBE2C/CENPF/BUB1B/GEN1/TRIP13/AURKB/NCAPH/MAPK15/SMC4/CCNB1/ESPL1/SMC2/DLGAP5/ZWINT",18
"GO:0035966","response to topologically incorrect protein","25/871","161/18842",0.15527950310559,3.35910034157925,6.61811365972967,9.98238047097072e-08,1.89343216675187e-05,1.89343216675187e-05,"DERL2/DNAJC3/NCK1/HSPB8/HERPUD1/BOK/ATF3/AKT2/PPP1R15B/CREBRF/XBP1/FICD/BBC3/ATF6B/CHAC1/DDIT3/TBL2/KLHL15/NFE2L2/CREB3L2/EIF2AK3/DNAJB9/YOD1/CTH/CREB3L1",25
