"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0000228","nuclear chromosome","38/919","232/19979",0.163793103448276,3.56085137518292,8.61489751293476,8.45266768946646e-12,2.59966129233708e-09,2.59966129233708e-09,"TREX1/RAD51/POLD1/BIRC5/TOP2A/GINS2/MCM5/MCM4/MCM2/GINS1/DMC1/POLE2/GINS4/POLD3/PCNA/RSPH1/BRCA1/LRIF1/AGO3/NCAPH/WDHD1/ING2/RCC1/E2F1/POLA2/MCM6/SMC4/MCM10/GINS3/MCM3/CHRAC1/NCAPD2/EME2/TIMELESS/SMC2/SYCE2/ORC6/ORC1",38
"GO:0071162","CMG complex","9/919","10/19979",0.9,19.5659412404788,12.8946965111738,8.5154306570826e-12,2.59966129233708e-09,2.59966129233708e-09,"GINS2/MCM5/MCM4/MCM2/GINS1/GINS4/MCM6/GINS3/MCM3",9
"GO:0031261","DNA replication preinitiation complex","10/919","13/19979",0.769230769230769,16.7230267012639,12.4518708241115,1.01947501660278e-11,2.59966129233708e-09,2.59966129233708e-09,"GINS2/MCM5/MCM4/MCM2/GINS1/CDC45/GINS4/MCM6/GINS3/MCM3",10
"GO:0098687","chromosomal region","48/919","417/19979",0.115107913669065,2.50243852795892,6.80817051013636,5.00776399893057e-09,9.57734864795472e-07,9.57734864795472e-07,"RAD51/POLD1/BIRC5/SPC24/TOP2A/MCM5/CEBPB/SUGT1/CDC20/MCM4/MCM2/MIS18BP1/CENPM/SKA3/DMC1/CENPF/PIF1/PCNA/OIP5/CENPI/BUB1B/CENPK/LRIF1/TRIOBP/CENPA/AURKB/CDK2/HELLS/CENPN/NSMCE4A/CENPH/DSCC1/CENPO/MCM6/SMC4/CCNB1/MCM3/AURKC/RAD51AP1/AURKA/CHRAC1/NCAPD2/DNA2/EME2/RBBP7/CDK1/ORC1/ZWINT",48
"GO:0000793","condensed chromosome","36/919","291/19979",0.123711340206186,2.68947645917234,6.37485265055566,6.88809478982047e-08,9.03944755880905e-06,9.03944755880905e-06,"RAD51/BIRC5/SPC24/TOP2A/CEBPB/SUGT1/CDC20/MKI67/CENPM/SKA3/DMC1/CENPF/RSPH1/CENPI/BRCA1/BUB1B/CENPK/FANCD2/CENPA/AURKB/CDK2/CENPN/AGO3/NCAPH/NSMCE4A/CENPH/RCC1/CENPO/SMC4/CCNB1/AURKC/AURKA/NCAPD2/SMC2/SYCE2/ZWINT",36
"GO:0005657","replication fork","17/919","78/19979",0.217948717948718,4.73819089869144,7.26346150537426,7.08976279122278e-08,9.03944755880905e-06,9.03944755880905e-06,"TREX1/POLD1/POLD3/PCNA/BRIP1/DHFR/WDHD1/POLA2/XRCC2/RFC3/TYMS/MCM10/MCM3/UHRF1/EME2/TIMELESS/SHMT1",17
"GO:0072686","mitotic spindle","25/919","169/19979",0.14792899408284,3.21596667331998,6.35238265249018,2.39721491292749e-07,2.61981344055647e-05,2.61981344055647e-05,"GEM/KIFC1/KIF11/KIF23/SKA3/ASPM/CDC7/EFHC1/MAK/AURKB/CKAP2/NUSAP1/TUBB1/RMDN2/CTTN/KIF20A/KIF18B/KAT2A/TPX2/ESPL1/TUBB4B/AURKA/FLCN/CDK1/DLGAP5",25
"GO:0005819","spindle","45/919","433/19979",0.103926096997691,2.25934656356568,5.81744886193523,3.07242834769262e-07,2.93800960748107e-05,2.93800960748107e-05,"GEM/DDX11/BIRC5/KIFC1/KIF11/CDC20/SPAG8/KIF23/TTC23L/SKA3/ASPM/CDC7/MYC/CENPF/PTP4A1/ANXA11/EFHC1/RSPH1/MAK/BUB1B/KIF15/AURKB/CKAP2/NUSAP1/TUBB1/KIF4A/MAPK15/CCNB1/RMDN2/CTTN/KIF20A/AURKC/KIF18B/UHRF1/KAT2A/TPX2/PSRC1/ESPL1/TUBB4B/AURKA/FLCN/NEK7/NR3C1/CDK1/DLGAP5",45
"GO:0005874","microtubule","44/919","493/19979",0.0892494929006085,1.94027814870648,4.64184640659111,2.19432800626667e-05,0.00168486995769468,0.00168486995769468,"WHAMM/SPEF1/BIRC5/KIFC1/DNAI1/KIF11/TTLL9/TEKT1/SPAG8/KIF23/PBXIP1/SKA3/ASPM/GTSE1/SPAG17/SPAG6/SRPRB/EFHC1/KIF19/KIF15/MNS1/TMEM214/TUBE1/AURKB/TUBA1B/CKAP2/CDK2AP2/NUSAP1/TUBB1/KIF4A/RMDN2/KIF20A/AURKC/KIF18B/TPX2/DNAH2/PSRC1/RIBC2/AKNA/TUBB4B/AURKA/NEK7/CDK1/TTLL6",44
"GO:0000775","chromosome, centromeric region","28/919","257/19979",0.108949416342412,2.36855319815567,4.84869738855931,2.20244438914337e-05,0.00168486995769468,0.00168486995769468,"BIRC5/SPC24/TOP2A/CEBPB/SUGT1/CDC20/MIS18BP1/CENPM/SKA3/CENPF/OIP5/CENPI/BUB1B/CENPK/CENPA/AURKB/HELLS/CENPN/CENPH/DSCC1/CENPO/SMC4/CCNB1/AURKC/AURKA/CHRAC1/NCAPD2/ZWINT",28
"GO:0043596","nuclear replication fork","10/919","45/19979",0.222222222222222,4.83109660258735,5.64942756821651,2.9665752673325e-05,0.00206311825409942,0.00206311825409942,"TREX1/POLD1/POLD3/PCNA/WDHD1/POLA2/MCM10/MCM3/EME2/TIMELESS",10
"GO:0005667","transcription regulator complex","42/919","479/19979",0.0876826722338205,1.90621556970566,4.40812887026989,5.04314181961205e-05,0.00321500291000268,0.00321500291000268,"HES6/SIX4/CREG1/CEBPD/HYAL2/PDLIM1/CEBPB/TAF1D/E2F8/PBXIP1/ATF5/RBL1/LIN37/NR4A3/MYC/ATF3/SMAD7/E2F2/SNAPC1/MXD3/CDK2/CDK2AP2/E2F3/RBM14/MED26/ING2/GMNN/E2F1/NFAT5/RELB/NR2E3/DEPDC1/ATF6B/KLF5/MAFB/NR4A1/KAT2A/FOS/DDIT3/SKIL/RBBP7/ANKRD1",42
"GO:0042555","MCM complex","5/919","11/19979",0.454545454545455,9.88178850529231,6.46996301369978,7.46121941816298e-05,0.00439064065761129,0.00439064065761129,"MCM5/MCM4/MCM2/MCM6/MCM3",5
"GO:0030496","midbody","21/919","187/19979",0.112299465240642,2.44138304248398,4.34838193116266,0.000147767110221625,0.00769503961159039,0.00769503961159039,"GEM/DDX11/BIRC5/KIF23/TTC23L/OSGIN2/ASPM/CENPF/ANXA11/MAK/ANKRD45/TRIOBP/AURKB/KIF4A/ANLN/KIF20A/AURKC/PSRC1/AURKA/FLCN/CDK1",21
"GO:0042575","DNA polymerase complex","6/919","19/19979",0.315789473684211,6.86524254051887,5.6163584761116,0.000150883129639027,0.00769503961159039,0.00769503961159039,"POLD1/POLE2/POLD3/POLA2/MCM3/CHRAC1",6
"GO:0000779","condensed chromosome, centromeric region","21/919","190/19979",0.110526315789474,2.4028348891816,4.26622490455448,0.00018478723921725,0.00865598335976832,0.00865598335976832,"BIRC5/SPC24/CEBPB/SUGT1/CDC20/CENPM/SKA3/CENPF/CENPI/BUB1B/CENPK/CENPA/AURKB/CENPN/CENPH/CENPO/CCNB1/AURKC/AURKA/NCAPD2/ZWINT",21
"GO:0000940","outer kinetochore","6/919","20/19979",0.3,6.52198041349293,5.42516289225758,0.000207194801319536,0.00865598335976832,0.00865598335976832,"SPC24/SKA3/CENPF/BUB1B/CCNB1/ZWINT",6
"GO:0000781","chromosome, telomeric region","20/919","178/19979",0.112359550561798,2.44268929344304,4.24533102960729,0.000208974040724561,0.00865598335976832,0.00865598335976832,"RAD51/POLD1/MCM5/MCM4/MCM2/DMC1/PIF1/PCNA/LRIF1/TRIOBP/CDK2/NSMCE4A/MCM6/MCM3/RAD51AP1/DNA2/EME2/RBBP7/CDK1/ORC1",20
"GO:0005788","endoplasmic reticulum lumen","31/919","338/19979",0.0917159763313609,1.99389933745839,4.04660920735045,0.000214985207628233,0.00865598335976832,0.00865598335976832,"WNT7B/DNAJC3/VCPIP1/COL12A1/PLAUR/CHRDL1/ARSA/BCHE/VWA1/SPARCL1/SUMF1/GPC3/PRSS23/PTGIS/GHRL/BMP4/IGFBP4/PDGFA/PENK/HYOU1/MATN3/PDIA5/STC2/CLN6/EMID1/CTSC/DNAJB9/IGFBP5/MFGE8/COL4A1/MMRN1",31
