"Gene","Group_1","Group_2","Mock_expression","ZIKV_expression","log2FoldChange","pvalue","Original_significant_call","padj","Regulation"
"HSPA9","Mock","ZIKV",53.0341,106.077,1.00012,5e-05,"yes",0.000320686218678815,"Up_in_ZIKV"
"TRPS1","Mock","ZIKV",5.51623,11.0367,1.00055,5e-05,"yes",0.000320686218678815,"Up_in_ZIKV"
"PTP4A1","Mock","ZIKV",59.2282,118.744,1.00349,5e-05,"yes",0.000320686218678815,"Up_in_ZIKV"
"MGAT2","Mock","ZIKV",12.6351,25.3354,1.00371,5e-05,"yes",0.000320686218678815,"Up_in_ZIKV"
"ALPK3","Mock","ZIKV",0.434369,0.871744,1.00498,5e-05,"yes",0.000320686218678815,"Up_in_ZIKV"
"DERL2","Mock","ZIKV",18.8324,37.8039,1.00532,5e-05,"yes",0.000320686218678815,"Up_in_ZIKV"
"SPATA17","Mock","ZIKV",3.21298,6.45572,1.00667,5e-05,"yes",0.000320686218678815,"Up_in_ZIKV"
"SLC41A2","Mock","ZIKV",1.9781,3.97586,1.00715,5e-05,"yes",0.000320686218678815,"Up_in_ZIKV"
"NFKB2","Mock","ZIKV",3.72372,7.50651,1.0114,5e-05,"yes",0.000320686218678815,"Up_in_ZIKV"
"ERO1LB","Mock","ZIKV",3.71399,7.48697,1.01141,5e-05,"yes",0.000320686218678815,"Up_in_ZIKV"
"GOLGA4","Mock","ZIKV",14.9164,30.1178,1.01371,5e-05,"yes",0.000320686218678815,"Up_in_ZIKV"
"NFAT5","Mock","ZIKV",9.25838,18.7014,1.01431,5e-05,"yes",0.000320686218678815,"Up_in_ZIKV"
"PARD6B","Mock","ZIKV",2.29327,4.63296,1.01453,5e-05,"yes",0.000320686218678815,"Up_in_ZIKV"
"DDX58","Mock","ZIKV",1.22326,2.47192,1.0149,5e-05,"yes",0.000320686218678815,"Up_in_ZIKV"
"SKIL","Mock","ZIKV",15.3213,30.9824,1.01591,5e-05,"yes",0.000320686218678815,"Up_in_ZIKV"
"ATF3","Mock","ZIKV",26.2022,53.0097,1.01657,5e-05,"yes",0.000320686218678815,"Up_in_ZIKV"
"TVP23B","Mock","ZIKV",9.33444,18.9006,1.0178,5e-05,"yes",0.000320686218678815,"Up_in_ZIKV"
"CHORDC1","Mock","ZIKV",12.3123,24.9446,1.01863,5e-05,"yes",0.000320686218678815,"Up_in_ZIKV"
"PHLDB3","Mock","ZIKV",1.52295,3.08675,1.01922,5e-05,"yes",0.000320686218678815,"Up_in_ZIKV"
"CCRN4L","Mock","ZIKV",2.7629,5.60146,1.01962,5e-05,"yes",0.000320686218678815,"Up_in_ZIKV"
"CCDC174","Mock","ZIKV",8.53858,17.3126,1.01975,5e-05,"yes",0.000320686218678815,"Up_in_ZIKV"
"PLEKHF2","Mock","ZIKV",4.76099,9.65568,1.02012,5e-05,"yes",0.000320686218678815,"Up_in_ZIKV"
"TIPARP","Mock","ZIKV",5.77319,11.7174,1.02121,5e-05,"yes",0.000320686218678815,"Up_in_ZIKV"
"SLC1A5","Mock","ZIKV",26.4427,53.6869,1.0217,5e-05,"yes",0.000320686218678815,"Up_in_ZIKV"
"APLF","Mock","ZIKV",0.766657,1.55952,1.02445,5e-05,"yes",0.000320686218678815,"Up_in_ZIKV"
"ZNF555","Mock","ZIKV",2.60665,5.31035,1.02661,5e-05,"yes",0.000320686218678815,"Up_in_ZIKV"
"ZNF709","Mock","ZIKV",4.04732,8.24854,1.02717,5e-05,"yes",0.000320686218678815,"Up_in_ZIKV"
"CDC37L1","Mock","ZIKV",7.30725,14.8962,1.02754,5e-05,"yes",0.000320686218678815,"Up_in_ZIKV"
"PPFIBP1","Mock","ZIKV",6.41622,13.0887,1.02853,5e-05,"yes",0.000320686218678815,"Up_in_ZIKV"
