"Gene","Group_1","Group_2","Mock_expression","ZIKV_expression","log2FoldChange","pvalue","Original_significant_call","padj","Regulation"
"SIGLEC10","Mock","ZIKV",0.810017,0.0664947,-3.60664,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"CCNO","Mock","ZIKV",4.30137,0.53558,-3.00562,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"RRM2","Mock","ZIKV",34.1419,5.48555,-2.63783,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"SFXN2","Mock","ZIKV",5.93441,0.967533,-2.61672,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"COLEC12","Mock","ZIKV",0.875222,0.143901,-2.60458,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"CHRNA1","Mock","ZIKV",5.02148,0.846344,-2.5688,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"DHFR","Mock","ZIKV",53.4126,9.23853,-2.53145,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"MFI2","Mock","ZIKV",1.9761,0.347521,-2.50748,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"MAPK15","Mock","ZIKV",20.7939,3.77391,-2.46203,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"C21orf58","Mock","ZIKV",11.4277,2.1697,-2.39697,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"SPEF1","Mock","ZIKV",1.78022,0.338308,-2.39565,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"ATG16L2","Mock","ZIKV",5.80167,1.1441,-2.34225,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"LOC100134868","Mock","ZIKV",6.6332,1.34332,-2.3039,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"SUSD2","Mock","ZIKV",7.24014,1.48148,-2.28898,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"C6orf118","Mock","ZIKV",5.98062,1.23151,-2.27987,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"DLX6-AS1","Mock","ZIKV",3.14473,0.653523,-2.26662,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"ADAM28","Mock","ZIKV",0.630283,0.131671,-2.25906,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"C17orf72","Mock","ZIKV",1.09581,0.232334,-2.23773,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"NXPH2","Mock","ZIKV",1.17552,0.250823,-2.22856,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"AQP7P1","Mock","ZIKV",1.70333,0.364215,-2.2255,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"EFCAB1","Mock","ZIKV",1.66037,0.361564,-2.19918,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"WNT8B","Mock","ZIKV",45.952,10.0449,-2.19366,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"PI15","Mock","ZIKV",18.3203,4.05363,-2.17615,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"OTX2-AS1","Mock","ZIKV",0.858558,0.190734,-2.17035,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"LOC100507032","Mock","ZIKV",1.15984,0.258594,-2.16517,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"GINS3","Mock","ZIKV",6.46625,1.44722,-2.15965,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
