"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006260","DNA replication","50/541","313/18842",0.159744408945687,5.56359362912132,13.998011311366,2.71485269277692e-23,1.59633338335283e-19,1.59633338335283e-19,"DBF4B/DDX11/DSCC1/TREX1/WDHD1/RAD51/POLD1/GINS2/MCM6/TK1/POLD3/BRCA1/MCM10/POLE2/TYMS/PCNA/MCM2/CHRAC1/TICRR/GMNN/DTL/CHAF1B/POLA2/GEN1/RFC3/RRM1/DHFR/GINS3/DNA2/EME2/TIMELESS/ORC6/CDK1/MCM3/RMI2/CDK2/SHMT1/CHAF1A/RBBP7/FAM111B/GINS1/E2F8/RNASEH2A/ORC1/MCM4/CDC7/MCM5/USP43/GINS4/CDC45",50
"GO:0006261","DNA-templated DNA replication","37/541","171/18842",0.216374269005848,7.53590383846245,14.7615892421753,3.39045262788735e-22,9.96793072598882e-19,9.96793072598882e-19,"DBF4B/DDX11/WDHD1/RAD51/POLD1/MCM6/TK1/POLD3/BRCA1/MCM10/POLE2/PCNA/MCM2/CHRAC1/TICRR/GMNN/DTL/POLA2/GEN1/RFC3/RRM1/GINS3/DNA2/EME2/TIMELESS/ORC6/MCM3/FAM111B/GINS1/E2F8/RNASEH2A/ORC1/MCM4/CDC7/MCM5/GINS4/CDC45",37
"GO:0000280","nuclear division","48/541","422/18842",0.113744075829384,3.96148960587292,10.5787614047309,3.42095475582895e-16,6.70507132142475e-13,6.70507132142475e-13,"DMC1/RAD54L/RAD51/BIRC5/KIFC1/SPC24/TOP2A/KIF11/TRIP13/AURKA/DLGAP5/RCC1/CENPF/CENPI/UBE2C/ESPL1/AURKB/CENPA/ANLN/MKI67/NCAPH/KIF4A/PSRC1/RAD51AP1/GEN1/CCNB1/SKA3/CYP26B1/CENPK/BRIP1/KIF15/KIF18B/NCAPD2/NUSAP1/EME2/TPX2/CDK1/BUB1B/ZWINT/UHRF1/SMC4/MSH5/SMC2/KIF23/PKMYT1/FANCD2/CDC20/MAPK15",48
"GO:0000070","mitotic sister chromatid segregation","33/541","205/18842",0.160975609756098,5.60647400928723,11.4017299328919,7.47237771659422e-16,9.31646041870589e-13,9.31646041870589e-13,"BIRC5/KIFC1/SPC24/KIF11/TRIP13/DLGAP5/RCC1/CENPF/CENPI/UBE2C/ESPL1/AURKB/CENPA/NCAPH/KIF4A/PSRC1/GEN1/CCNB1/SKA3/CENPK/KIF15/KIF18B/NCAPD2/NUSAP1/TPX2/CDK1/BUB1B/ZWINT/UHRF1/SMC4/SMC2/KIF23/CDC20",33
"GO:0000819","sister chromatid segregation","36/541","246/18842",0.146341463414634,5.09679455389748,11.1202657771608,7.922160219988e-16,9.31646041870589e-13,9.31646041870589e-13,"BIRC5/KIFC1/SPC24/TOP2A/KIF11/TRIP13/DLGAP5/RCC1/CENPF/CENPI/UBE2C/ESPL1/AURKB/CENPA/NCAPH/KIF4A/PSRC1/GEN1/CCNB1/SKA3/CENPK/KIF15/KIF18B/NCAPD2/NUSAP1/TPX2/CDK1/BUB1B/RMI2/ZWINT/UHRF1/SMC4/SMC2/KIF23/CDC20/MAPK15",36
"GO:0010948","negative regulation of cell cycle process","39/541","309/18842",0.12621359223301,4.39577912172711,10.3480616518447,7.53136343934279e-15,7.38073617055594e-12,7.38073617055594e-12,"FAM107A/RAD51/BIRC5/SPC24/TRIP13/KANK2/SUSD2/BRCA1/CENPF/ESPL1/AURKB/TICRR/GMNN/DTL/KAT2A/GEN1/CCNB1/RFC3/SKA3/CLSPN/E2F1/BRIP1/DNA2/EME2/TIMELESS/CDK1/BUB1B/CDK2/ZWINT/WDR76/RBM14/RBL1/E2F8/PKMYT1/FANCD2/ORC1/CDC20/CDC7/CDC45",39
"GO:0140014","mitotic nuclear division","37/541","281/18842",0.131672597864769,4.58590589458035,10.4127288531698,9.78387280177454e-15,8.21845315349062e-12,8.21845315349062e-12,"BIRC5/KIFC1/SPC24/KIF11/TRIP13/AURKA/DLGAP5/RCC1/CENPF/CENPI/UBE2C/ESPL1/AURKB/CENPA/ANLN/MKI67/NCAPH/KIF4A/PSRC1/GEN1/CCNB1/SKA3/CENPK/KIF15/KIF18B/NCAPD2/NUSAP1/TPX2/CDK1/BUB1B/ZWINT/UHRF1/SMC4/SMC2/KIF23/PKMYT1/CDC20",37
"GO:0048285","organelle fission","48/541","470/18842",0.102127659574468,3.55691194399654,9.65160810142628,2.27240326836467e-14,1.67021640224803e-11,1.67021640224803e-11,"DMC1/RAD54L/RAD51/BIRC5/KIFC1/SPC24/TOP2A/KIF11/TRIP13/AURKA/DLGAP5/RCC1/CENPF/CENPI/UBE2C/ESPL1/AURKB/CENPA/ANLN/MKI67/NCAPH/KIF4A/PSRC1/RAD51AP1/GEN1/CCNB1/SKA3/CYP26B1/CENPK/BRIP1/KIF15/KIF18B/NCAPD2/NUSAP1/EME2/TPX2/CDK1/BUB1B/ZWINT/UHRF1/SMC4/MSH5/SMC2/KIF23/PKMYT1/FANCD2/CDC20/MAPK15",48
"GO:0098813","nuclear chromosome segregation","38/541","315/18842",0.120634920634921,4.20148461109644,9.85183980832522,7.2610190239775e-14,4.74386576233197e-11,4.74386576233197e-11,"BIRC5/KIFC1/SPC24/TOP2A/KIF11/TRIP13/DLGAP5/RCC1/CENPF/CENPI/UBE2C/ESPL1/AURKB/CENPA/NCAPH/KIF4A/PSRC1/GEN1/CCNB1/SKA3/CENPK/KIF15/KIF18B/NCAPD2/NUSAP1/TPX2/CDK1/BUB1B/RMI2/ZWINT/UHRF1/SMC4/MSH5/SMC2/KIF23/FANCD2/CDC20/MAPK15",38
"GO:0007059","chromosome segregation","44/541","420/18842",0.104761904761905,3.64865768858375,9.43833280491696,1.18570432791041e-13,6.97194144811323e-11,6.97194144811323e-11,"BIRC5/KIFC1/SPC24/TOP2A/KIF11/TRIP13/DLGAP5/RCC1/BRCA1/CENPF/CENPI/UBE2C/CENPN/ESPL1/AURKB/CENPA/CENPM/MKI67/NCAPH/KIF4A/PSRC1/GEN1/CCNB1/SKA3/CENPK/KIF15/CENPO/KIF18B/NCAPD2/NUSAP1/CENPH/TPX2/CDK1/BUB1B/RMI2/ZWINT/UHRF1/SMC4/MSH5/SMC2/KIF23/FANCD2/CDC20/MAPK15",44
