"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0000228","nuclear chromosome","34/574","232/19979",0.146551724137931,5.10097020305178,10.8057563360302,5.21209275007709e-15,3.98725095380897e-12,3.98725095380897e-12,"DMC1/TREX1/WDHD1/RAD51/POLD1/BIRC5/TOP2A/GINS2/MCM6/POLD3/RCC1/BRCA1/MCM10/POLE2/PCNA/MCM2/RSPH1/CHRAC1/NCAPH/POLA2/E2F1/GINS3/NCAPD2/EME2/TIMELESS/ORC6/MCM3/SMC4/GINS1/SMC2/ORC1/MCM4/MCM5/GINS4",34
"GO:0031261","DNA replication preinitiation complex","10/574","13/19979",0.769230769230769,26.7743232377379,15.9877938801689,9.38868825785142e-14,2.33804157536774e-11,2.33804157536774e-11,"GINS2/MCM6/MCM2/GINS3/MCM3/GINS1/MCM4/MCM5/GINS4/CDC45",10
"GO:0098687","chromosomal region","44/574","417/19979",0.105515587529976,3.67264098129162,9.48586961048443,9.97679263781276e-14,2.33804157536774e-11,2.33804157536774e-11,"DMC1/DSCC1/RAD51/POLD1/BIRC5/SPC24/TOP2A/MCM6/AURKA/CENPF/PCNA/MCM2/CENPI/HELLS/CENPN/OIP5/CHRAC1/AURKB/CENPA/CENPM/PIF1/TRIOBP/RAD51AP1/CCNB1/SKA3/CENPK/MIS18BP1/CENPO/DNA2/NCAPD2/CENPH/EME2/CDK1/MCM3/BUB1B/CDK2/ZWINT/RBBP7/NSMCE4A/SMC4/ORC1/MCM4/CDC20/MCM5",44
"GO:0071162","CMG complex","9/574","10/19979",0.9,31.3259581881533,16.4972478976263,1.22250539888509e-13,2.33804157536774e-11,2.33804157536774e-11,"GINS2/MCM6/MCM2/GINS3/MCM3/GINS1/MCM4/MCM5/GINS4",9
"GO:0005657","replication fork","17/574","78/19979",0.217948717948718,7.5860582506924,10.0232957759988,6.04822125080253e-11,9.25377851372787e-09,9.25377851372787e-09,"TREX1/WDHD1/POLD1/POLD3/MCM10/TYMS/PCNA/XRCC2/POLA2/RFC3/DHFR/BRIP1/EME2/TIMELESS/MCM3/SHMT1/UHRF1",17
"GO:0000793","condensed chromosome","31/574","291/19979",0.106529209621993,3.70792174048397,8.00307579856465,3.81848005757554e-10,4.86856207340882e-08,4.86856207340882e-08,"DMC1/RAD51/BIRC5/SPC24/TOP2A/AURKA/RCC1/BRCA1/CENPF/CENPI/CENPN/RSPH1/AURKB/CENPA/CENPM/MKI67/NCAPH/CCNB1/SKA3/CENPK/CENPO/NCAPD2/CENPH/BUB1B/CDK2/ZWINT/NSMCE4A/SMC4/SMC2/FANCD2/CDC20",31
"GO:0072686","mitotic spindle","23/574","169/19979",0.136094674556213,4.73699564975362,8.39071236927912,6.32903874897809e-10,6.91673520424034e-08,6.91673520424034e-08,"KIFC1/KIF11/MAK/AURKA/DLGAP5/EFHC1/ESPL1/AURKB/CKAP2/KAT2A/CTTN/TUBB1/SKA3/ASPM/RMDN2/KIF18B/TUBB4B/NUSAP1/TPX2/CDK1/KIF20A/KIF23/CDC7",23
"GO:0005819","spindle","38/574","433/19979",0.0877598152424942,3.0546225587627,7.43399355367011,1.12824146866026e-09,1.07888090440638e-07,1.07888090440638e-07,"DDX11/BIRC5/KIFC1/KIF11/MAK/AURKA/DLGAP5/CENPF/ANXA11/SPAG8/EFHC1/RSPH1/ESPL1/AURKB/CKAP2/KAT2A/CTTN/TUBB1/KIF4A/PSRC1/CCNB1/SKA3/ASPM/RMDN2/KIF15/KIF18B/TUBB4B/NUSAP1/TPX2/CDK1/BUB1B/KIF20A/UHRF1/TTC23L/KIF23/CDC20/CDC7/MAPK15",38
"GO:0000775","chromosome, centromeric region","25/574","257/19979",0.0972762645914397,3.3858579969902,6.62080509172305,1.16664316936576e-07,9.91646693960897e-06,9.91646693960897e-06,"DSCC1/BIRC5/SPC24/TOP2A/AURKA/CENPF/CENPI/HELLS/CENPN/OIP5/CHRAC1/AURKB/CENPA/CENPM/CCNB1/SKA3/CENPK/MIS18BP1/CENPO/NCAPD2/CENPH/BUB1B/ZWINT/SMC4/CDC20",25
"GO:0043596","nuclear replication fork","10/574","45/19979",0.222222222222222,7.73480449090205,7.7787381035481,4.56883369528225e-07,3.49515777689092e-05,3.49515777689092e-05,"TREX1/WDHD1/POLD1/POLD3/MCM10/PCNA/POLA2/EME2/TIMELESS/MCM3",10
"GO:0005874","microtubule","35/574","493/19979",0.0709939148073022,2.47105822985208,5.68809841112048,9.35685039946802e-07,6.05648429187663e-05,6.05648429187663e-05,"SPEF1/BIRC5/KIFC1/DNAI1/KIF11/AURKA/TTLL6/SPAG8/EFHC1/GTSE1/TEKT1/AURKB/RIBC2/CKAP2/TUBA1B/TUBB1/MNS1/KIF4A/PSRC1/SKA3/ASPM/RMDN2/KIF15/KIF18B/TUBB4B/NUSAP1/TPX2/CDK1/KIF20A/SPAG6/KIF19/PBXIP1/KIF23/SPAG17/TTLL9",35
"GO:0000781","chromosome, telomeric region","19/574","178/19979",0.106741573033708,3.71531339310183,6.25837421730488,9.50036751666923e-07,6.05648429187663e-05,6.05648429187663e-05,"DMC1/RAD51/POLD1/MCM6/PCNA/MCM2/PIF1/TRIOBP/RAD51AP1/DNA2/EME2/CDK1/MCM3/CDK2/RBBP7/NSMCE4A/ORC1/MCM4/MCM5",19
"GO:0042555","MCM complex","5/574","11/19979",0.454545454545455,15.8211910041178,8.45643450868789,7.69951365481245e-06,0.000453086765071656,0.000453086765071656,"MCM6/MCM2/MCM3/MCM4/MCM5",5
