"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0017116","single-stranded DNA helicase activity","10/572","23/18706",0.434782608695652,14.218607479477,11.2656533249872,5.28490941570516e-10,4.58810121467301e-07,4.58810121467301e-07,"DSCC1/RAD51/MCM6/MCM2/PIF1/RFC3/DNA2/MCM3/MCM4/MCM5",10
"GO:0140097","catalytic activity, acting on DNA","30/572","265/18706",0.113207547169811,3.70220345692044,7.86826200874807,7.18012709651488e-10,4.58810121467301e-07,4.58810121467301e-07,"DMC1/RAD54L/DDX11/DSCC1/TREX1/RAD51/POLD1/TOP2A/MCM6/POLD3/POLE2/PCNA/MCM2/HELLS/OGG1/XRCC2/CHRAC1/TTF2/PIF1/GEN1/RFC3/DDX12P/BRIP1/DNA2/EME2/MCM3/NME5/MSH5/MCM4/MCM5",30
"GO:0008094","ATP-dependent activity, acting on DNA","20/572","131/18706",0.152671755725191,4.99279346607591,8.14475730279059,3.07859542739719e-09,1.3114816520712e-06,1.3114816520712e-06,"DMC1/RAD54L/DDX11/DSCC1/RAD51/TOP2A/MCM6/MCM2/HELLS/XRCC2/TTF2/PIF1/RFC3/DDX12P/BRIP1/DNA2/MCM3/MSH5/MCM4/MCM5",20
"GO:0003678","DNA helicase activity","13/572","60/18706",0.216666666666667,7.08560606060606,8.3852629491616,2.46810086830061e-08,7.88558227422044e-06,7.88558227422044e-06,"DDX11/DSCC1/RAD51/MCM6/MCM2/PIF1/RFC3/DDX12P/BRIP1/DNA2/MCM3/MCM4/MCM5",13
"GO:0003697","single-stranded DNA binding","16/572","121/18706",0.132231404958678,4.32433682020459,6.5154810689318,8.71502873310309e-07,0.000222756134418115,0.000222756134418115,"DMC1/RAD54L/DDX11/TREX1/RAD51/MCM6/MCM10/MCM2/RAD51AP1/NOL12/MCM3/SMC4/SMC2/MCM4/MCM5/CDC45",16
"GO:0120543","macromolecular conformation isomerase activity","25/572","278/18706",0.0899280575539568,2.94089902902853,5.79050317266726,1.58894932418704e-06,0.00033844620605184,0.00033844620605184,"RAD54L/DDX11/DSCC1/RAD51/KIFC1/TOP2A/KIF11/MCM6/MCM2/HELLS/PIF1/KIF4A/RFC3/DDX12P/BRIP1/KIF15/DNA2/KIF18B/MCM3/KIF20A/KIF19/KIF23/ACTC1/MCM4/MCM5",25
"GO:0003688","DNA replication origin binding","6/572","16/18706",0.375,12.263548951049,8.00498746922345,4.90961711020836e-06,0.000896355809549469,0.000896355809549469,"DDX11/MCM10/MCM2/ORC1/MCM5/CDC45",6
"GO:0016853","isomerase activity","31/572","427/18706",0.0725995316159251,2.37420775945366,5.10176185714476,8.56611872825617e-06,0.00136843746683892,0.00136843746683892,"RAD54L/DDX11/DSCC1/RAD51/KIFC1/TOP2A/KIF11/MCM6/EHHADH/MCM2/HELLS/PPIF/ENOSF1/GSTZ1/FAHD2A/PIF1/KIF4A/RFC3/DDX12P/BRIP1/KIF15/DNA2/KIF18B/MCM3/KIF20A/PTGIS/KIF19/KIF23/ACTC1/MCM4/MCM5",31
"GO:0120545","nucleic acid conformation isomerase activity","16/572","154/18706",0.103896103896104,3.39769321587503,5.30626178376666,2.0540711596861e-05,0.00291678104675426,0.00291678104675426,"RAD54L/DDX11/DSCC1/RAD51/TOP2A/MCM6/MCM2/HELLS/PIF1/RFC3/DDX12P/BRIP1/DNA2/MCM3/MCM4/MCM5",16
"GO:0004386","helicase activity","14/572","142/18706",0.0985915492957746,3.2242194425293,4.72515533397601,0.000117891242106428,0.0150665007412015,0.0150665007412015,"DDX11/DSCC1/RAD51/MCM6/MCM2/HELLS/PIF1/RFC3/DDX12P/BRIP1/DNA2/MCM3/MCM4/MCM5",14
"GO:0001968","fibronectin binding","6/572","29/18706",0.206896551724138,6.76609597299252,5.51896158554526,0.000207543125810941,0.0241127377078529,0.0241127377078529,"SFRP2/MFAP2/CCDC80/MMP2/IGFBP5/SDC4",6
"GO:0015631","tubulin binding","26/572","396/18706",0.0656565656565657,2.14715335169881,4.09783968628441,0.000230197711368926,0.0245160562607906,0.0245160562607906,"SPEF1/BIRC5/KIFC1/SPC24/KIF11/DLGAP5/BRCA1/CENPF/TTLL6/SPAG8/EFHC1/GTSE1/OGG1/GJA1/KIF4A/PSRC1/SKA3/RMDN2/KIF15/KIF18B/NUSAP1/KIF20A/IFT81/KIF19/KIF23/TTLL9",26
"GO:0016887","ATP hydrolysis activity","26/572","410/18706",0.0634146341463415,2.07383592017738,3.90464760367335,0.000392957681788049,0.0386307628711636,0.0386307628711636,"RAD54L/DDX11/KIFC1/MCM6/TRIP13/MCM2/HELLS/ATP1A2/TTF2/ABCC4/PIF1/PFN2/BRIP1/KIF15/DNA2/KIF18B/MCM3/KIF20A/ENTPD1/SMC4/KIF19/SMC2/KIF23/ORC1/MCM4/MCM5",26
"GO:0050840","extracellular matrix binding","8/572","61/18706",0.131147540983607,4.28889143643242,4.56944365664183,0.000514593118804717,0.046975000416602,0.046975000416602,"CD248/OLFML2A/VWA1/ADAMTS15/SMOC2/NID1/OLFML2B/SMOC1",8
"GO:0008017","microtubule binding","20/572","287/18706",0.0696864111498258,2.2789405716235,3.87782632019535,0.000562694704486262,0.0479415888222295,0.0479415888222295,"SPEF1/BIRC5/KIFC1/SPC24/KIF11/DLGAP5/CENPF/SPAG8/GTSE1/OGG1/KIF4A/PSRC1/SKA3/RMDN2/KIF15/KIF18B/NUSAP1/KIF20A/KIF19/KIF23",20
