"SYMBOL","ENTREZID"
"SIGLEC10","89790"
"CCNO","10309"
"RRM2","6241"
"SFXN2","118980"
"COLEC12","81035"
"CHRNA1","1134"
"DHFR","1719"
"MAPK15","225689"
"C21orf58","54058"
"SPEF1","25876"
"ATG16L2","89849"
"LOC100134868","100134868"
"SUSD2","56241"
"C6orf118","168090"
"DLX6-AS1","285987"
"ADAM28","10863"
"NXPH2","11249"
"AQP7P1","375719"
"WNT8B","7479"
"PI15","51050"
"OTX2-AS1","100309464"
"GINS3","64785"
"MFGE8","4240"
"SPARCL1","8404"
"TPBG","7162"
"SLC35G1","159371"
"VSX1","30813"
"TTF2","8458"
"SLC6A16","28968"
"KCNJ2-AS1","400617"
"EMILIN2","84034"
"SPC24","147841"
"ART5","116969"
"NRGN","4900"
"EGR3","1960"
"PPFIA4","8497"
"SPON2","10417"
"AQP7P3","441432"
"RDM1","201299"
"UHRF1","29128"
"DUSP23","54935"
"RNASE4","6038"
"MCM6","4175"
"TCF19","6941"
"GDF10","2662"
"CEP152","22995"
"MYLK","4638"
"GDPD2","54857"
"TEK","7010"
"SCARA3","51435"
"PLAT","5327"
"VTCN1","79679"
"SLC2A4","6517"
"CENPM","79019"
"CCNB1","891"
"CILP2","148113"
"CD248","57124"
"E2F2","1870"
"PGAP3","93210"
"WSB1","26118"
"GALNT12","79695"
"BCL2L2-PABPN1","100529063"
"NTSR1","4923"
"SLC44A3","126969"
"MCM4","4173"
"NCAPH","23397"
"DGCR5","26220"
"HPDL","84842"
"MCM3","4172"
"ASF1B","55723"
"DDX11","1663"
"BTBD17","388419"
"E2F1","1869"
"SLC43A3","29015"
"SNRPA","6626"
"TRIM45","80263"
"PMEL","6490"
"RAD51AP1","10635"
"STOX1","219736"
"PLAUR","5329"
"GLB1L","79411"
"GINS4","84296"
"BRCA1","672"
"MBOAT1","154141"
"CDCA3","83461"
"ACBD7","414149"
"GINS2","51659"
"CDC7","8317"
"TTC32","130502"
"IZUMO4","113177"
"FANCD2","2177"
"SPAG6","9576"
"BUB1B","701"
"SLC25A10","1468"
"RAD51","5888"
"PAQR6","79957"
"FAM111B","374393"
"KIAA1755","85449"
"OIP5","11339"
"ABHD16B","140701"
"TRIP13","9319"
"SAMD15","161394"
"FBLN7","129804"
"MAK","4117"
"CDK2","1017"
"ANKRD34B","340120"
"ERMAP","114625"
"PROM1","8842"
"KCNK2","3776"
"C1orf216","127703"
"KIFC1","3833"
"UNC50","25972"
"XRCC2","7516"
"SARS2","54938"
"DDX12P","440081"
"SAPCD2","89958"
"CENPK","64105"
"IMPA2","3613"
"RD3","343035"
"SFRP2","6423"
"COL12A1","1303"
"EMILIN3","90187"
"NME5","8382"
"PIF1","80119"
"AURKB","9212"
"SDC1","6382"
"CLSPN","63967"
"KIF19","124602"
"PABPN1","8106"
"ACYP1","97"
"ENPP1","5167"
"DLGAP5","9787"
"LINC00472","79940"
"MCM5","4174"
"MCM2","4171"
"DSCC1","79075"
"NID1","4811"
"TMEM80","283232"
"MED11","400569"
"DTL","51514"
"FLT4","2324"
"ASB16-AS1","339201"
"MMP2","4313"
"C1QTNF6","114904"
"HYAL1","3373"
"GABPB1-AS1","100129387"
"WDR76","79968"
"CYP26B1","56603"
"FANCB","2187"
"BIRC5","332"
"HES6","55502"
"ATP1A2","477"
"LOC642846","642846"
"SMIM7","79086"
"OLFML2A","169611"
"OLIG3","167826"
"PSMG3-AS1","114796"
"HYAL2","8692"
"MKRN3","7681"
"SLC38A4","55089"
"ACTC1","70"
"OLFML2B","25903"
"ATF6B","1388"
"ARHGEF6","9459"
"EMB","133418"
"MFAP2","4237"
"ORC6","23594"
"SLC19A1","6573"
"CPAMD8","27151"
"MIS18BP1","55320"
"KCNAB3","9196"
"CDCA7","83879"
"MAPK11","5600"
"DPY19L2","283417"
"ITGB5","3693"
"CENPI","2491"
"RABL2A","11159"
"TNFAIP8","25816"
"MCM10","55388"
"RBM14","10432"
"METTL3","56339"
"IRS4","8471"
"PLEKHH2","130271"
"FOSB","2354"
"PIGW","284098"
"CEMP1","752014"
"BHLHE23","128408"
"ARGLU1","55082"
"APOLD1","81575"
"CDH24","64403"
"LENG8","114823"
"IQGAP3","128239"
"POLD1","5424"
"OGFOD3","79701"
"PROCA1","147011"
"POLA2","23649"
"CDKN2C","1031"
"SUZ12P1","440423"
"DNAI1","27019"
"TRABD2B","388630"
"TTC31","64427"
"NUP62CL","54830"
"PLEKHB1","58473"
"SLC18A1","6570"
"CAHM","100526820"
"SMIM11","54065"
"IGFBP4","3487"
"VWA1","64856"
"GPC3","2719"
"TOP2A","7153"
"USP43","124739"
"DNA2","1763"
"SNHG3","8420"
"RMI2","116028"
"SIRPA","140885"
"ZNF732","654254"
"HCG18","414777"
"ADAM11","4185"
"LOC646903","646903"
"CTSC","1075"
"EHHADH","1962"
"GRIN2A","2903"
"OGG1","4968"
"TCTA","6988"
"RCCD1","91433"
"CD9","928"
"NRBP2","340371"
"KLHDC8A","55220"
"MMRN1","22915"
"MFNG","4242"
"PSMG4","389362"
"PIEZO2","63895"
"CDC45","8318"
"SMC2","10592"
"SPRYD4","283377"
"TIMELESS","8914"
"HILPDA","29923"
"RFC3","5983"
"QTRT1","81890"
"FANCL","55120"
"GMNN","51053"
"ESPL1","9700"
"CENPN","55839"
"GINS1","9837"
"SH2D5","400745"
"DLL3","10683"
"SLC9A3","6550"
"DPM3","54344"
"BOK","666"
"IL13RA1","3597"
"PNMA3","29944"
"IFI27L1","122509"
"ALDH1A1","216"
"CHRNB4","1143"
"CPXM1","56265"
"KIF20A","10112"
"AIF1L","83543"
"PSRC1","84722"
"FAM107A","11170"
"HSD17B8","7923"
"EFCAB12","90288"
"DARS2","55157"
"SLC4A4","8671"
"GTSE1","51512"
"PAQR4","124222"
"TIE1","7075"
"TRIM74","378108"
"SDC4","6385"
"TTLL6","284076"
"POLD3","10714"
"ZNF589","51385"
"ARMC3","219681"
"EMID1","129080"
"TMEM109","79073"
"TK1","7083"
"GRAMD1C","54762"
"TYMS","7298"
"KDM8","79831"
"EGR1","1958"
"LOC730101","730101"
"DEPDC1B","55789"
"PPIF","10105"
"LOXL2","4017"
"ENOSF1","55556"
"CENPF","1063"
"ZNF488","118738"
"RCC1","1104"
"ENTPD1","953"
"AKT2","208"
"DPY19L2P2","349152"
"FAHD2A","51011"
"PKMYT1","9088"
"MAMDC4","158056"
"ZNF587B","100293516"
"TUBB1","81027"
"CTSF","8722"
"MMP23B","8510"
"MYL9","10398"
"SCRN2","90507"
"ORC1","4998"
"CDK1","983"
"GSTZ1","2954"
"CD58","965"
"TMEM218","219854"
"FANK1","92565"
"CHAF1B","8208"
"CHRNA5","1138"
"LOC155060","155060"
"PLD2","5338"
"AURKA","6790"
"FAM66C","440078"
"TRIL","9865"
"EPHX2","2053"
"CSRP2","1466"
"DNPH1","10591"
"TRDMT1","1787"
"TAGLN","6876"
"ZWINT","11130"
"CHRAC1","54108"
"TCHP","84260"
"RBBP7","5931"
"CDH20","28316"
"ANXA11","311"
"TMPRSS5","80975"
"GPD2","2820"
"SNHG10","283596"
"PRR11","55771"
"WNT7B","7477"
"NUDT13","25961"
"SFXN5","94097"
"GJA1","2697"
"C1GALT1C1","29071"
"KEL","3792"
"KIF18B","146909"
"ERVK13-1","100507321"
"C2CD4C","126567"
"DHRS11","79154"
"ASPM","259266"
"HELLS","3070"
"MYBL2","4605"
"CCDC18","343099"
"CA14","23632"
"FGFBP3","143282"
"DBF4B","80174"
"PFN2","5217"
"E2F8","79733"
"EMP2","2013"
"TK2","7084"
"B3GAT3","26229"
"FOXM1","2305"
"TSEN2","80746"
"TKTL1","8277"
"CYP27C1","339761"
"LUC7L3","51747"
"HMGN2","3151"
"LYPD6","130574"
"FHAD1","114827"
"MEGF6","1953"
"GCDH","2639"
"BTBD19","149478"
"TMEM168","64418"
"TRAF5","7188"
"POLE2","5427"
"DANCR","57291"
"ANLN","54443"
"NUDT1","4521"
"CHAF1A","10036"
"PXMP2","5827"
"H19","283120"
"WDHD1","11169"
"LPL","4023"
"ZNF605","100289635"
"MKI67","4288"
"LEPROT","54741"
"ZNF474","133923"
"FZD2","2535"
"TMEM107","84314"
"EXOSC3","51010"
"PCNA","5111"
"ZRANB2","9406"
"NES","10763"
"TMEM91","641649"
"ADCY3","109"
"BRIP1","83990"
"HMBS","3145"
"CDC42EP2","10435"
"LOC100507053","100507053"
"PLK4","10733"
"HIBCH","26275"
"MXD3","83463"
"TMEM17","200728"
"NOL12","79159"
"CDPF1","150383"
"TMEM254","80195"
"NDRG2","57447"
"ZNF781","163115"
"FOS","2353"
"CDC20","991"
"HMGN3","9324"
"TUBB4B","10383"
"CCNB2","9133"
"NCAPD2","9918"
"PTN","5764"
"RNASEH2A","10535"
"POP5","51367"
"TROAP","10024"
"DLL4","54567"
"SRD5A3","79644"
"ADAMTS8","11095"
"TEX9","374618"
"TPM1","7168"
"LOC729683","729683"
"EFEMP1","2202"
"COBL","23242"
"C5","727"
"PRSS23","11098"
"TTC14","151613"
"LY6E","4061"
"KAT2A","2648"
"IFT81","28981"
"JRK","8629"
"PBK","55872"
"FOXN4","121643"
"DCAF16","54876"
"EXTL2","2135"
"EGR2","1959"
"PACSIN3","29763"
"PAICS","10606"
"CENPH","64946"
"ASIC1","41"
"SSTR2","6752"
"UBE2C","11065"
"MOGS","7841"
"CLN6","54982"
"RGS5","8490"
"GEN1","348654"
"NME4","4833"
"DEPDC1","55635"
"CREG1","8804"
"MTAP","4507"
"CD82","3732"
"TSPAN19","144448"
"AMT","275"
"SKA3","221150"
"IGFBP5","3488"
"UBXN8","7993"
"PBXIP1","57326"
"KIF4A","24137"
"CCDC80","151887"
"SMOC1","64093"
"MIR210HG","100506211"
"PPCDC","60490"
"ADCY6","112"
"TUBA1B","10376"
"ARSA","410"
"KLHDC9","126823"
"TMED1","11018"
"CKLF","51192"
"MZF1","7593"
"CKS1B","1163"
"CSGALNACT1","55790"
"LRRC8A","56262"
"PDLIM1","9124"
"HEPH","9843"
"NSMCE4A","54780"
"FANCI","55215"
"SRSF5","6430"
"CHRDL1","91851"
"E2F3","1871"
"PGBD2","267002"
"CCDC14","64770"
"TICRR","90381"
"AMDHD2","51005"
"ARV1","64801"
"KIF23","9493"
"RRM1","6240"
"C18orf54","162681"
"RBL1","5933"
"CASP6","839"
"RBM12","10137"
"KIF15","56992"
"GFRA1","2674"
"ADAMTS15","170689"
"CENPA","1058"
"PARPBP","55010"
"LIX1","167410"
"SECISBP2","79048"
"CENPO","79172"
"MAFG-AS1","128385369"
"PTGR2","145482"
"MIAT","440823"
"ANKRD45","339416"
"MAT2A","4144"
"PNISR","25957"
"CTTN","2017"
"CHRNA3","1136"
"TRIOBP","11078"
"SUMF1","285362"
"ZNF169","169841"
"CYB5RL","606495"
"PTX3","5806"
"CKAP2","26586"
"EFHC1","114327"
"RABL3","285282"
"COL4A1","1282"
"CBR4","84869"
"VSTM4","196740"
"KANK2","25959"
"EBF2","64641"
"KIF11","3832"
"SMC4","10051"
"TEFM","79736"
"ABCC4","10257"
"TPX2","22974"
"PTGIS","5740"
"ELP6","54859"
"NUSAP1","51203"
"NT5DC3","51559"
"ZNF782","158431"
"COA4","51287"
"NEURL1B","54492"
"OR51E2","81285"
"EFCAB3","146779"
"MNS1","55329"
"CTSH","1512"
"INHBB","3625"
"CES4A","283848"
"CHURC1","91612"
"PCED1A","64773"
"EME2","197342"
"RAD54L","8438"
"SCN4B","6330"
"TMSB15B","286527"
"CLEC11A","6320"
"IFITM2","10581"
"SCN1B","6324"
"SLC39A8","64116"
"SHMT1","6470"
"WDR49","151790"
"HTR7P1","93164"
"LOC143666","143666"
"NAGPA","51172"
"CDC20B","166979"
"UBXN10","127733"
"LINC00648","100506433"
"RAB26","25837"
"ZNF718","255403"
"DKK2","27123"
"TRIM56","81844"
"PLAC9","219348"
"VIPR2","7434"
"RIBC2","26150"
"ITGA9","3680"
"SGPP2","130367"
"DBX1","120237"
"C7orf57","136288"
