"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Cellular Processes","Cell growth and death","hsa04110","Cell cycle","28/265","158/9399",0.177215189873418,6.28545497969907,11.4119954541561,3.55507675366142e-15,1.24783194053516e-12,1.24783194053516e-12,"80174/1663/4175/9319/1031/5111/4171/1870/9133/9700/9212/90381/891/1869/23594/983/4172/701/1017/1871/5933/9088/4998/4173/991/8317/4174/8318",28
"Genetic Information Processing","Replication and repair","hsa03030","DNA replication","13/265","36/9399",0.361111111111111,12.8078616352201,12.0899679009586,6.87901610531332e-12,1.20726732648249e-09,1.20726732648249e-09,"5424/4175/10714/5427/5111/4171/23649/5983/1763/4172/10535/4173/4174",13
"Genetic Information Processing","Replication and repair","hsa03460","Fanconi anemia pathway","9/265","54/9399",0.166666666666667,5.91132075471698,6.16475298031246,1.7203367738416e-05,0.0018002926728357,0.0018002926728357,"5888/672/55215/2187/83990/197342/116028/55120/2177",9
"Human Diseases","Drug resistance: antineoplastic","hsa01522","Endocrine resistance","12/265","99/9399",0.121212121212121,4.29914236706689,5.62066023968619,2.05161558157915e-05,0.0018002926728357,0.0018002926728357,"1031/1870/109/208/1869/54567/4313/5600/1871/112/10683/2353",12
"Human Diseases","Infectious disease: viral","hsa05166","Human T-cell leukemia virus 1 infection","18/265","224/9399",0.0803571428571429,2.85010107816712,4.77338630330031,6.07676837476196e-05,0.0042658913990829,0.0042658913990829,"1031/1870/9133/9700/1958/109/2648/1388/208/1869/1959/701/1017/1871/112/115650/991/2353",18
"Genetic Information Processing","Replication and repair","hsa03440","Homologous recombination","7/265","41/9399",0.170731707317073,6.05549930971008,5.52553859879872,0.000129388963508121,0.00756925436522506,0.00756925436522506,"8438/5888/5424/10714/672/7516/83990",7
"Metabolism","Nucleotide metabolism","hsa00240","Pyrimidine metabolism","8/265","59/9399",0.135593220338983,4.80921010553246,4.99916704999497,0.000229084504346104,0.0114869515750689,0.0114869515750689,"5167/7083/7298/6240/7084/6241/4833/953",8
"Human Diseases","Cancer: specific types","hsa05224","Breast cancer","13/265","148/9399",0.0878378378378378,3.11542580316165,4.41819081337627,0.000272033569740084,0.0119354728723462,0.0119354728723462,"7477/672/1870/2324/7479/208/1869/54567/2535/2253/1871/10683/2353",13
"Cellular Processes","Cell motility","hsa04814","Motor proteins","15/265","194/9399",0.077319587628866,2.74236529858004,4.1767485950165,0.000379349993710054,0.0147946497546921,0.0147946497546921,"3833/27019/3832/10376/81027/24137/56992/146909/10383/7168/10398/10112/124602/9493/70",15
"Organismal Systems","Endocrine system","hsa04914","Progesterone-mediated oocyte maturation","10/265","110/9399",0.0909090909090909,3.22435677530017,3.99692925970653,0.00105274400308505,0.0350561623023315,0.0350561623023315,"6790/9133/109/208/891/983/5600/1017/112/9088",10
"Human Diseases","Cancer: specific types","hsa05222","Small cell lung cancer","9/265","93/9399",0.0967741935483871,3.43237979306147,4.01514737628789,0.00119546932286022,0.0350561623023315,0.0350561623023315,"1870/208/1163/7188/1869/3910/1282/1017/1871",9
"Genetic Information Processing","Replication and repair","hsa03410","Base excision repair","6/265","44/9399",0.136363636363636,4.83653516295026,4.34463982661849,0.00136210656399952,0.0350561623023315,0.0350561623023315,"5424/10714/5427/5111/4968/5983",6
"Human Diseases","Drug resistance: antineoplastic","hsa01523","Antifolate resistance","5/265","30/9399",0.166666666666667,5.91132075471698,4.58904651820924,0.0013713941872593,0.0350561623023315,0.0350561623023315,"7298/6573/10257/1719/6470",5
"Human Diseases","Endocrine and metabolic disease","hsa04934","Cushing syndrome","12/265","155/9399",0.0774193548387097,2.74590383444918,3.73307188725078,0.00142535193250517,0.0350561623023315,0.0350561623023315,"7477/1031/1870/109/7479/1388/1869/3776/2535/1017/1871/112",12
"Cellular Processes","Cell growth and death","hsa04218","Cellular senescence","12/265","157/9399",0.0764331210191083,2.7109241677683,3.6822032653102,0.0015909399041223,0.0350561623023315,0.0350561623023315,"2305/1870/9133/208/891/1869/4605/983/5600/1017/1871/5933",12
"Organismal Systems","Digestive system","hsa04981","Folate transport and metabolism","5/265","31/9399",0.161290322580645,5.72063298843579,4.4840226382987,0.00159800170039118,0.0350561623023315,0.0350561623023315,"7298/6573/10257/1719/6470",5
"Cellular Processes","Cell growth and death","hsa04114","Oocyte meiosis","11/265","138/9399",0.0797101449275362,2.82715340442986,3.68294951952274,0.0017683726750267,0.0365116946431983,0.0365116946431983,"6790/9133/9700/109/891/983/5600/1017/112/9088/991",11
"Human Diseases","Infectious disease: viral","hsa05161","Hepatitis B","12/265","163/9399",0.0736196319018405,2.61113554809584,3.53422401668574,0.00218538015312304,0.0426149129858993,0.0426149129858993,"332/5111/1870/1388/208/1869/1959/1960/5600/1017/1871/2353",12
"Metabolism","Global and overview maps","hsa01232","Nucleotide metabolism","8/265","85/9399",0.0941176470588235,3.33815760266371,3.68829186766136,0.00264945531104598,0.0489452007461652,0.0489452007461652,"5167/7083/7298/6240/7084/6241/4833/953",8
