"Gene","Group_1","Group_2","Mock_expression","ZIKV_expression","log2FoldChange","pvalue","Original_significant_call","padj","Regulation","minusLog10P","minusLog10FDR","Mean_expression","log2Mean_expression","Direction"
"SIGLEC10","Mock","ZIKV",0.810017,0.0664947,-3.60664,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV",4.30102999566398,3.49391970324695,0.43825585,0.524320338290168,"Down in ZIKV"
"CCNO","Mock","ZIKV",4.30137,0.53558,-3.00562,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV",4.30102999566398,3.49391970324695,2.418475,1.77335287464193,"Down in ZIKV"
"RRM2","Mock","ZIKV",34.1419,5.48555,-2.63783,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV",4.30102999566398,3.49391970324695,19.813725,4.37946327995614,"Down in ZIKV"
"SFXN2","Mock","ZIKV",5.93441,0.967533,-2.61672,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV",4.30102999566398,3.49391970324695,3.4509715,2.1541202631042,"Down in ZIKV"
"COLEC12","Mock","ZIKV",0.875222,0.143901,-2.60458,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV",4.30102999566398,3.49391970324695,0.5095615,0.594129533888725,"Down in ZIKV"
"CHRNA1","Mock","ZIKV",5.02148,0.846344,-2.5688,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV",4.30102999566398,3.49391970324695,2.933912,1.9759646854803,"Down in ZIKV"
"DHFR","Mock","ZIKV",53.4126,9.23853,-2.53145,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV",4.30102999566398,3.49391970324695,31.325565,5.01460368118196,"Down in ZIKV"
"MFI2","Mock","ZIKV",1.9761,0.347521,-2.50748,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV",4.30102999566398,3.49391970324695,1.1618105,1.11224006484299,"Down in ZIKV"
"MAPK15","Mock","ZIKV",20.7939,3.77391,-2.46203,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV",4.30102999566398,3.49391970324695,12.283905,3.73160740542727,"Down in ZIKV"
"C21orf58","Mock","ZIKV",11.4277,2.1697,-2.39697,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV",4.30102999566398,3.49391970324695,6.7987,2.96323365476175,"Down in ZIKV"
"SPEF1","Mock","ZIKV",1.78022,0.338308,-2.39565,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV",4.30102999566398,3.49391970324695,1.059264,1.04212879698118,"Down in ZIKV"
"ATG16L2","Mock","ZIKV",5.80167,1.1441,-2.34225,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV",4.30102999566398,3.49391970324695,3.472885,2.1612056664439,"Down in ZIKV"
"LOC100134868","Mock","ZIKV",6.6332,1.34332,-2.3039,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV",4.30102999566398,3.49391970324695,3.98826,2.31853666383135,"Down in ZIKV"
"SUSD2","Mock","ZIKV",7.24014,1.48148,-2.28898,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV",4.30102999566398,3.49391970324695,4.36081,2.42245100342451,"Down in ZIKV"
"C6orf118","Mock","ZIKV",5.98062,1.23151,-2.27987,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV",4.30102999566398,3.49391970324695,3.606065,2.20353477033961,"Down in ZIKV"
"DLX6-AS1","Mock","ZIKV",3.14473,0.653523,-2.26662,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV",4.30102999566398,3.49391970324695,1.8991265,1.53561828508645,"Down in ZIKV"
"ADAM28","Mock","ZIKV",0.630283,0.131671,-2.25906,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV",4.30102999566398,3.49391970324695,0.380977,0.465689291889766,"Down in ZIKV"
"C17orf72","Mock","ZIKV",1.09581,0.232334,-2.23773,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV",4.30102999566398,3.49391970324695,0.664072,0.734717856433172,"Down in ZIKV"
"NXPH2","Mock","ZIKV",1.17552,0.250823,-2.22856,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV",4.30102999566398,3.49391970324695,0.7131715,0.776669582136906,"Down in ZIKV"
