"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Cellular Processes","Cell growth and death","hsa04110","Cell cycle","30/438","158/9399",0.189873417721519,4.07447546384602,8.6162169720303,3.07030300834995e-11,1.07767635593083e-08,1.07767635593083e-08,"80174/1663/4174/991/4616/4173/4171/5933/8317/90381/4609/1031/8318/5111/1870/701/9319/9212/1017/1871/1869/4175/891/9088/4172/9133/9700/983/23594/4998",30
"Genetic Information Processing","Replication and repair","hsa03030","DNA replication","13/438","36/9399",0.361111111111111,7.74904870624049,8.96938855216865,3.54781247165407e-09,6.2264108877529e-07,6.2264108877529e-07,"5424/4174/4173/4171/5427/10714/5111/23649/4175/5983/4172/1763/10535",13
"Metabolism","Metabolism of cofactors and vitamins","hsa00670","One carbon pool by folate","11/438","39/9399",0.282051282051282,6.05251141552511,6.99001679933451,1.01834041862775e-06,0.000119145828979447,0.000119145828979447,"4144/6472/1719/29958/23382/160428/10797/275/7298/1491/6470",11
"Cellular Processes","Cell growth and death","hsa04115","p53 signaling pathway","13/438","75/9399",0.173333333333333,3.71954337899543,5.22759611784461,3.6809868845965e-05,0.00323006599123343,0.00323006599123343,"83667/355/4616/64393/51512/5366/1017/3732/6241/891/27113/9133/983",13
"Human Diseases","Infectious disease: viral","hsa05166","Human T-cell leukemia virus 1 infection","24/438","224/9399",0.107142857142857,2.29916829745597,4.35073792907989,0.000116787606817588,0.00819848999859468,0.00819848999859468,"991/115650/4609/1031/1870/701/208/112/109/1017/1871/4791/1869/1958/5971/8061/1388/2648/2353/9133/9700/64764/1959/90993",24
"Metabolism","Global and overview maps","hsa01230","Biosynthesis of amino acids","12/438","75/9399",0.16,3.43342465753425,4.67760926008555,0.000162624072939504,0.00951350826696098,0.00951350826696098,"4144/29968/6472/84706/8277/26227/5831/440/445/100526760/1491/6470",12
"Cellular Processes","Cell growth and death","hsa04218","Cellular senescence","18/438","157/9399",0.114649681528662,2.46025652211849,4.07917686343749,0.000361166334027146,0.0179954493213561,0.0179954493213561,"1978/4616/5933/55957/4609/1870/2308/208/8878/1017/2305/1871/1869/891/9133/4605/983/5600",18
"Organismal Systems","Excretory system","hsa04964","Proximal tubule bicarbonate reclamation","6/438","23/9399",0.260869565217391,5.59797498511018,4.88088145498156,0.000507221678107519,0.0179954493213561,0.0179954493213561,"6550/477/1468/5106/8671/760",6
"Human Diseases","Cancer: specific types","hsa05224","Breast cancer","17/438","148/9399",0.114864864864865,2.46487412069604,3.97112319925757,0.00051128624608958,0.0179954493213561,0.0179954493213561,"7477/4616/2324/2535/4609/1870/672/208/7479/1871/4791/1869/10683/54567/23462/2353/2253",17
"Genetic Information Processing","Replication and repair","hsa03440","Homologous recombination","8/438","41/9399",0.195121951219512,4.18710324089542,4.52140152872852,0.0005126908638563,0.0179954493213561,0.0179954493213561,"8438/5888/5424/10714/672/83990/5893/7516",8
