"Gene","Group_1","Group_2","Mock_expression","ZIKV_expression","log2FoldChange","pvalue","Original_significant_call","padj","Regulation","minusLog10P","minusLog10FDR","Mean_expression","log2Mean_expression","Direction"
"SIGLEC10","Mock","ZIKV",0.810017,0.0664947,-3.60664,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV",4.30102999566398,3.49391970324695,0.43825585,0.524320338290168,"Down in ZIKV"
"CDC20B","Mock","ZIKV",3.83895,0.353524,-3.44083,2e-04,"yes",0.00114835585011471,"Down_in_ZIKV",3.69897000433602,2.93992351281445,2.096237,1.63051590612003,"Down in ZIKV"
"OR51E2","Mock","ZIKV",0.914167,0.109813,-3.05742,1e-04,"yes",0.000607470334412082,"Down_in_ZIKV",4,3.21647492582136,0.51199,0.596448597893564,"Down in ZIKV"
"CCNO","Mock","ZIKV",4.30137,0.53558,-3.00562,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV",4.30102999566398,3.49391970324695,2.418475,1.77335287464193,"Down in ZIKV"
"SGPP2","Mock","ZIKV",1.46204,0.226524,-2.69025,0.00035,"yes",0.00190382757787974,"Down_in_ZIKV",3.45593195564972,2.720372386501,0.844282,0.883059267966819,"Down in ZIKV"
"RRM2","Mock","ZIKV",34.1419,5.48555,-2.63783,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV",4.30102999566398,3.49391970324695,19.813725,4.37946327995614,"Down in ZIKV"
"SFXN2","Mock","ZIKV",5.93441,0.967533,-2.61672,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV",4.30102999566398,3.49391970324695,3.4509715,2.1541202631042,"Down in ZIKV"
"COLEC12","Mock","ZIKV",0.875222,0.143901,-2.60458,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV",4.30102999566398,3.49391970324695,0.5095615,0.594129533888725,"Down in ZIKV"
"CHRNA1","Mock","ZIKV",5.02148,0.846344,-2.5688,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV",4.30102999566398,3.49391970324695,2.933912,1.9759646854803,"Down in ZIKV"
"PRR22","Mock","ZIKV",1.15967,0.198456,-2.54683,0.00045,"yes",0.00238612288135593,"Down_in_ZIKV",3.34678748622466,2.62230719464697,0.679063,0.747656362545592,"Down in ZIKV"
"DHFR","Mock","ZIKV",53.4126,9.23853,-2.53145,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV",4.30102999566398,3.49391970324695,31.325565,5.01460368118196,"Down in ZIKV"
"MFI2","Mock","ZIKV",1.9761,0.347521,-2.50748,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV",4.30102999566398,3.49391970324695,1.1618105,1.11224006484299,"Down in ZIKV"
"MAPK15","Mock","ZIKV",20.7939,3.77391,-2.46203,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV",4.30102999566398,3.49391970324695,12.283905,3.73160740542727,"Down in ZIKV"
"C21orf58","Mock","ZIKV",11.4277,2.1697,-2.39697,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV",4.30102999566398,3.49391970324695,6.7987,2.96323365476175,"Down in ZIKV"
"SPEF1","Mock","ZIKV",1.78022,0.338308,-2.39565,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV",4.30102999566398,3.49391970324695,1.059264,1.04212879698118,"Down in ZIKV"
"IFIT2","Mock","ZIKV",0.0314251,1.17914,5.22967,0.0051,"yes",0.0206317349137931,"Up_in_ZIKV",2.29242982390206,1.68546425085347,0.60528255,0.682827252243141,"Up in ZIKV"
"LOC115110","Mock","ZIKV",0.0443954,1.19746,4.75342,0.00555,"yes",0.0222325715810066,"Up_in_ZIKV",2.25570701687732,1.65301030073563,0.6209277,0.696819742195567,"Up in ZIKV"
"TNFRSF14","Mock","ZIKV",0.143098,1.56024,3.4467,5e-05,"yes",0.000320686218678815,"Up_in_ZIKV",4.30102999566398,3.49391970324695,0.851669,0.888826228869615,"Up in ZIKV"
"BHLHE41","Mock","ZIKV",0.0717453,0.763637,3.41193,5e-05,"yes",0.000320686218678815,"Up_in_ZIKV",4.30102999566398,3.49391970324695,0.41769115,0.503543269604792,"Up in ZIKV"
"SNORD116-4","Mock","ZIKV",85.6198,875.508,3.3541,0.00065,"yes",0.00332302541988198,"Up_in_ZIKV",3.18708664335714,2.47846633652079,480.5639,8.91158343560357,"Up in ZIKV"
"CEBPB","Mock","ZIKV",2.75768,23.4179,3.08608,5e-05,"yes",0.000320686218678815,"Up_in_ZIKV",4.30102999566398,3.49391970324695,13.08779,3.81637340375908,"Up in ZIKV"
"SEC24D","Mock","ZIKV",1.93693,16.2261,3.06648,5e-05,"yes",0.000320686218678815,"Up_in_ZIKV",4.30102999566398,3.49391970324695,9.081515,3.33364055106169,"Up in ZIKV"
"CHAC1","Mock","ZIKV",4.96756,39.4118,2.98802,5e-05,"yes",0.000320686218678815,"Up_in_ZIKV",4.30102999566398,3.49391970324695,22.18968,4.53541100691102,"Up in ZIKV"
"CREB3L1","Mock","ZIKV",0.328817,2.57961,2.9718,5e-05,"yes",0.000320686218678815,"Up_in_ZIKV",4.30102999566398,3.49391970324695,1.4542135,1.2952607591855,"Up in ZIKV"
"DDIT3","Mock","ZIKV",14.8864,114.376,2.94172,5e-05,"yes",0.000320686218678815,"Up_in_ZIKV",4.30102999566398,3.49391970324695,64.6312,6.0363099064468,"Up in ZIKV"
"STC2","Mock","ZIKV",0.845712,6.11647,2.85446,5e-05,"yes",0.000320686218678815,"Up_in_ZIKV",4.30102999566398,3.49391970324695,3.481091,2.16385002439617,"Up in ZIKV"
"IL20RB","Mock","ZIKV",0.592619,3.9674,2.74302,5e-05,"yes",0.000320686218678815,"Up_in_ZIKV",4.30102999566398,3.49391970324695,2.2800095,1.71369999337477,"Up in ZIKV"
"ADM2","Mock","ZIKV",0.512443,3.41852,2.73791,5e-05,"yes",0.000320686218678815,"Up_in_ZIKV",4.30102999566398,3.49391970324695,1.9654815,1.5682663716394,"Up in ZIKV"
"AQPEP","Mock","ZIKV",0.214698,1.42058,2.72609,5e-05,"yes",0.000320686218678815,"Up_in_ZIKV",4.30102999566398,3.49391970324695,0.817639,0.862065695337587,"Up in ZIKV"
"DDR2","Mock","ZIKV",0.316819,2.03434,2.68283,5e-05,"yes",0.000320686218678815,"Up_in_ZIKV",4.30102999566398,3.49391970324695,1.1755795,1.12139973678658,"Up in ZIKV"
