"SYMBOL","ENTREZID"
"HSPA9","3313"
"TRPS1","7227"
"PTP4A1","7803"
"MGAT2","4247"
"ALPK3","57538"
"DERL2","51009"
"SPATA17","128153"
"SLC41A2","84102"
"NFKB2","4791"
"GOLGA4","2803"
"NFAT5","10725"
"PARD6B","84612"
"SKIL","6498"
"ATF3","467"
"TVP23B","51030"
"CHORDC1","26973"
"PHLDB3","653583"
"CCDC174","51244"
"PLEKHF2","79666"
"TIPARP","25976"
"SLC1A5","6510"
"APLF","200558"
"ZNF555","148254"
"ZNF709","163051"
"CDC37L1","55664"
"PPFIBP1","8496"
"NR4A1","3164"
"MAP3K8","1326"
"PPP2R2B","5521"
"OVGP1","5016"
"LIN37","55957"
"UHMK1","127933"
"OSBP","5007"
"SLC25A33","84275"
"RBMS1","5937"
"DUSP14","11072"
"RNF19B","127544"
"UBR3","130507"
"FAM43A","131583"
"ZMAT4","79698"
"AHCYL2","23382"
"GOLGB1","2804"
"UBE2E2","7325"
"PPM1H","57460"
"GPT2","84706"
"DUSP15","128853"
"SLC35G2","80723"
"NFKBIE","4794"
"SOCS1","8651"
"GOLGA3","2802"
"SLC4A10","57282"
"RNF113A","7737"
"INO80D","54891"
"YOD1","55432"
"ABCA1","19"
"SMAD7","4092"
"ZXDB","158586"
"ACVR1","90"
"FGFR1OP2","26127"
"NUCB2","4925"
"SPTY2D1","144108"
"CLK1","1195"
"ABCG1","9619"
"CDKN2AIP","55602"
"RBM15","64783"
"NEK7","140609"
"RC3H1","149041"
"UTY","7404"
"HSD17B14","51171"
"AMMECR1","9949"
"KLHL28","54813"
"NAMPT","10135"
"ZNF79","7633"
"ITPKC","80271"
"PER1","5187"
"TBL2","26608"
"SBDSP1","155370"
"NFXL1","152518"
"CHIC2","26511"
"RBM39","9584"
"MED26","9441"
"ZNF433","163059"
"SRPRB","58477"
"PELO","53918"
"PGPEP1","54858"
"ZNF264","9422"
"FNIP1","96459"
"AGO3","192669"
"GEM","2669"
"SIX4","51804"
"SYDE2","84144"
"ATF5","22809"
"SAMD4A","23034"
"RAB5A","5868"
"KLHL15","80311"
"PLEKHH3","79990"
"UGDH","7358"
"ZBTB43","23099"
"SEC24A","10802"
"SND1","27044"
"ING2","3622"
"OSGIN2","734"
"NCK1","4690"
"SSR3","6747"
"DDX3Y","8653"
"ZNF844","284391"
"NUDT4","11163"
"PCLO","27445"
"DNAJC25","548645"
"TIMP3","7078"
"VCPIP1","80124"
"PER2","8864"
"SEC23B","10483"
"PDCD2L","84306"
"SH3BGR","6450"
"FLRT2","23768"
"PLCD1","5333"
"SMIM14","201895"
"SLC15A2","6565"
"FOXO1","2308"
"INPP5B","3633"
"POLR2A","5430"
"RAD52","5893"
"PPP1R3B","79660"
"GOLGA5","9950"
"GPR176","11245"
"COG3","83548"
"BMPER","168667"
"SNX18","112574"
"PNPLA3","80339"
"HM13","81502"
"MAFB","9935"
"TSC22D3","1831"
"BMP2","650"
"RREB1","6239"
"SNAPC1","6617"
"CLK4","57396"
"TRPM4","54795"
"FLCN","201163"
"ZMAT3","64393"
"ACBD3","64746"
"DPP8","54878"
"FRMD3","257019"
"SYNM","23336"
"CA2","760"
"SLC7A1","6541"
"RRBP1","6238"
"PID1","55022"
"LGALS9","3965"
"CGN","57530"
"CRY2","1408"
"ERF","2077"
"NFE2L2","4780"
"RENBP","5973"
"ATXN1","6310"
"CCT6P3","643180"
"SUGT1","10910"
"CNKSR3","154043"
"MBNL2","10150"
"CXCL12","6387"
"IGSF1","3547"
"TMEM39A","55254"
