,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,symbol
ENSG00000135926,1573.989794240725,-1.441562084567604,0.1737606124472067,-8.296253473471099,1.0744615322687171e-16,1.5718297755559062e-12,TMBIM1
ENSG00000163739,859.1891451879111,2.211320351158005,0.3166776022540958,6.982875755714754,2.891981577084689e-12,2.115339924558596e-08,CXCL1
ENSG00000187608,2953.773241527213,1.1915875926650334,0.18339431955346955,6.49740731101336,8.171600607026842e-11,3.984744842673189e-07,ISG15
ENSG00000157514,1036.0876504818175,1.50245632531658,0.26721318523183624,5.622687832612141,1.8800896373474873e-08,6.875957826189098e-05,TSC22D3
ENSG00000163734,193.67779353607196,2.815942608106922,0.5084706370389828,5.538063366854816,3.058346147065003e-08,8.948109157082786e-05,CXCL3
ENSG00000174951,61.77015554536036,6.681864832340867,1.2484606394326039,5.35208289416126,8.694754938453245e-08,0.00021199261665772086,FUT1
ENSG00000214050,135.87550447881202,2.9673567355770785,0.5631908219018789,5.26883006643539,1.3729599094228633e-07,0.00028692900735638666,FBXO16
ENSG00000110944,49.08996842595698,3.8142115257687705,0.7454964487088251,5.116337619548499,3.115252326577154e-07,0.0005696628285687149,IL23A
ENSG00000112984,922.7758834358314,-1.1232939420846924,0.22417671542732837,-5.010752075403798,5.421772762691819e-07,0.0008812790416157624,KIF20A
ENSG00000068001,3492.796363489302,-0.9256934029577635,0.18780224517994087,-4.929085922646022,8.261523707395191e-07,0.0012085783031548425,HYAL2
ENSG00000134109,1141.2183141828937,1.2834677917220918,0.2671282188418964,4.8046881654301385,1.549928781482225e-06,0.002046289233737143,EDEM1
ENSG00000086619,314.175968673306,1.8751387423179684,0.3915747160725904,4.7887125121999805,1.6785474608548582e-06,0.002046289233737143,ERO1B
ENSG00000139973,31.447972206149622,-4.605521135031882,0.9654383121006942,-4.770394003746074,1.8386591890211726e-06,0.002069057328937749,SYT16
ENSG00000101447,1588.0349286373628,-1.0076815166000914,0.2123151865785712,-4.746158448854906,2.0731633213900834e-06,0.002166307587758252,SACK1D
ENSG00000184205,400.7868675086702,1.5298800617038146,0.3248106563784723,4.7100673320310795,2.4763496820544476e-06,0.002415101299918301,TSPYL2
ENSG00000141753,280.5500870661591,-1.3292253271652819,0.28357282548599405,-4.687421387741307,2.766689218635451e-06,0.002529618536213626,IGFBP4
ENSG00000196352,458.1737394288954,1.255567042822447,0.27011988467150755,4.648184432439472,3.348694372296792e-06,0.0028816499983723392,CD55
ENSG00000179476,67.6875327153241,2.6688800803835266,0.5794368580047977,4.605989493960408,4.105091157806567e-06,0.0033362988081973477,DORIP1
ENSG00000134690,1531.9803567412157,-0.9180739224910734,0.20345418673063037,-4.51243563597237,6.408738617273257e-06,0.00493439143326792,CDCA8
ENSG00000142089,1546.5313236129482,0.8706405767286732,0.19353012174992926,4.498734196290513,6.835926260727247e-06,0.005000138263408945,IFITM3
ENSG00000111665,2002.7993535685555,-0.8839864749519807,0.1977527051852711,-4.470161225474963,7.81606558752494e-06,0.005197328339995561,CDCA3
ENSG00000144485,727.3882418332812,-0.888875866759334,0.19878990948475764,-4.471433530319552,7.76970099931055e-06,0.005197328339995561,HES6
ENSG00000137309,1608.2924684771888,-1.0067436288207063,0.2257210257738554,-4.460123399533631,8.191247618300498e-06,0.005209989626439913,HMGA1
ENSG00000198948,26.829942409768123,-3.7447296041363174,0.843305240019339,-4.440538759192865,8.9733940432694e-06,0.005469657560791169,MFAP3L
ENSG00000253383,60.58444646616379,-2.124537481692615,0.48053081223007815,-4.42123049681856,9.814041546268983e-06,0.005742784551214758,ENSG00000253383
ENSG00000157851,403.17894699712497,-1.118057003974964,0.2557651209834246,-4.371420933691041,1.234405516336952e-05,0.0069454301148051045,DPYSL5
ENSG00000154153,227.00469830469183,1.8198134552731677,0.41843043129426294,4.349142220952319,1.366710600610068e-05,0.0071406183424095136,RETREG1
ENSG00000083845,47088.132251482166,0.23973875818751553,0.05522104469252778,4.341438296258016,1.4155303296867585e-05,0.0071406183424095136,RPS5
ENSG00000109805,1498.3381739903803,-1.219918285088192,0.28052381696352235,-4.348715550404846,1.3693718611739088e-05,0.0071406183424095136,NCAPG
ENSG00000135476,276.16795821158007,-1.1785640310339114,0.27299782877602646,-4.317118697675914,1.580791603663481e-05,0.007708466789997688,ESPL1
ENSG00000160867,1663.6600095711578,-0.7419489557926838,0.1728243367010662,-4.293081460373437,1.7621031897398357e-05,0.008315421794420663,FGFR4
ENSG00000278920,69.1018102273103,2.065155552827093,0.4835125302462623,4.271152087362181,1.9446572586909252e-05,0.008890122199184234,ENSG00000278920
ENSG00000198855,445.28672813402375,1.5115176276151796,0.35583445298939664,4.247811348554887,2.1586904798461814e-05,0.009569540312021148,FICD
ENSG00000013810,1073.2219632740578,-1.1260181798824271,0.2663122982504832,-4.228186934211117,2.355820263445189e-05,0.010136263127629315,TACC3
ENSG00000185215,1804.9232775106625,0.7446140162982838,0.1772143306039866,4.201770893812428,2.6483508758134942e-05,0.011069349989221603,TNFAIP2
ENSG00000170779,1131.6844114118476,-0.9146672901383007,0.2185993326855471,-4.1842181259264875,2.861492560889975e-05,0.011627992964794288,CDCA4
ENSG00000166851,1840.296674816931,-0.9986290052918327,0.23934795355808844,-4.172289716483709,3.0155386241646158e-05,0.01192278771159572,PLK1
ENSG00000179912,918.0731595925406,0.8668376547039696,0.20874782695608304,4.152558938428314,3.2877803927627394e-05,0.012519611633793342,R3HDM2
ENSG00000169562,714.9808942790976,-0.8996362054356786,0.21712963580137487,-4.143313749481185,3.4232310161441906e-05,0.012519611633793342,GJB1
ENSG00000145050,1711.553458389716,0.9246318388577888,0.22291363276251924,4.14793759986337,3.3548380361100267e-05,0.012519611633793342,MANF
ENSG00000138670,54.51446578421137,2.8624955901895306,0.6940649946447204,4.124247170331349,3.719493064619895e-05,0.013271332693249864,RASGEF1B
ENSG00000102580,2907.632374469317,1.0809067969810418,0.2632732893325794,4.10564550517538,4.031873950022561e-05,0.01404340095592382,DNAJC3
ENSG00000177683,1080.244332099992,0.9456592613037716,0.23299173950759966,4.058767333564315,4.933243537117286e-05,0.015668212171231342,THAP5
ENSG00000187720,94.13872219535006,2.2457004646888334,0.5560935801917911,4.038349919296522,5.3828515526269596e-05,0.015668212171231342,THSD4
ENSG00000277161,431.35918333931147,-1.100278817146193,0.2720896869792146,-4.043809338610637,5.2589690820344865e-05,0.015668212171231342,PIGW
