,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,symbol
ENSG00000134107,688.7841222824682,2.3020495816805204,0.27768463794863746,8.29015821215981,1.1309793028395665e-16,1.4619038468504236e-12,BHLHE40
ENSG00000101255,9691.379084182992,1.4364162531519973,0.21631621872248066,6.640353930163802,3.129308155353869e-11,2.0224718608052055e-07,TRIB3
ENSG00000188868,885.5040207379103,1.6753818827195575,0.2613323138859523,6.410925070103304,1.446392768351761e-10,6.232024307904955e-07,ZNF563
ENSG00000070669,2380.7513570711776,1.6779829831381279,0.2649124898200081,6.334102949537091,2.3872608168184143e-10,7.714433329548706e-07,ASNS
ENSG00000116761,1066.8378441061534,2.4561239111071282,0.39289549701103943,6.251341463040787,4.069420537335915e-10,1.0520265973120807e-06,CTH
ENSG00000115902,356.0385083783001,1.9846501194859478,0.3226636006631317,6.150833609391127,7.70767484326226e-10,1.6604900837334663e-06,SLC1A4
ENSG00000100889,1482.0272094064287,1.666453832694097,0.27389814770017784,6.084209939668077,1.1706712800068805e-09,2.1617281379098484e-06,PCK2
ENSG00000128965,252.96583185466343,2.801446895490078,0.4724260560168185,5.929916142030798,3.0308943064028203e-09,4.897167475570357e-06,CHAC1
ENSG00000136603,1246.5103449931296,1.334123534387395,0.2268109666700913,5.882094477062695,4.051069746521706e-09,5.8182363937266186e-06,SKIL
ENSG00000172602,153.79884732991084,3.5605721219344364,0.6127377051235698,5.810923813177747,6.212903510435372e-09,8.030799077588762e-06,RND1
ENSG00000187837,1534.57460447484,-1.269095099243355,0.22082130539888187,-5.747158757851366,9.075551060940676e-09,1.0664597546701742e-05,H1-2
ENSG00000198342,199.45369128781667,2.0808775661591006,0.37245901533429504,5.586863199676991,2.3120770968607178e-08,2.4904923795018032e-05,ZNF442
ENSG00000185651,6937.8720189000815,-0.4689118748357605,0.08422383429717463,-5.567448677072289,2.584961788062713e-08,2.54561872175457e-05,UBE2L3
ENSG00000087074,1722.2910613985557,1.9776491314734994,0.3559356383453231,5.556198701167472,2.757129978691318e-08,2.54561872175457e-05,PPP1R15A
ENSG00000205809,132.61908967374623,2.497580251400074,0.4555476295047488,5.482588624410871,4.1914690446970567e-08,3.565995751870996e-05,KLRC2
