symbol,rho_DENV,padj_DENV,rho_ZIKV,padj_ZIKV,direction,mean_abs_rho,in_DE_core
DDIT3,0.6386480070841419,5.760980639647746e-103,0.683368277873871,3.6030547054054496e-59,up_with_progression,0.6610081424790064,False
CTH,0.5888452871697043,4.88227162142281e-84,0.6996016595245432,9.993015716803706e-63,up_with_progression,0.6442234733471237,False
HERPUD1,0.6128648477825692,6.3056396871046345e-93,0.6162561297187962,4.0798603884217684e-45,up_with_progression,0.6145604887506827,False
TRIB3,0.5014748393789785,2.053119281585383e-57,0.6574774775317137,3.0248259643713135e-53,up_with_progression,0.5794761584553461,False
EIF1,0.5822274400735998,8.506985116316599e-82,0.5742990700422316,5.875765849831102e-38,up_with_progression,0.5782632550579156,False
SELENOK,0.6323223901561578,1.4582778828730655e-100,0.5059452729404461,2.6251088411103233e-28,up_with_progression,0.5691338315483019,False
SLC3A2,0.48853926736894454,4.6312951434947206e-54,0.6424758792840185,3.7216087501022485e-50,up_with_progression,0.5655075733264815,False
HSP90B1,0.603497147831546,2.1385948924483834e-89,0.5166617048328113,1.075807785559491e-29,up_with_progression,0.5600794263321787,False
SLC35B1,0.5352759704695498,7.25673506524525e-67,0.582957565522895,2.3834336082720397e-39,up_with_progression,0.5591167679962223,False
DNAJB9,0.5558878734978369,3.8595811140970093e-73,0.5505138568261871,2.3169261219103097e-34,up_with_progression,0.553200865162012,False
ASNSP1,0.4727554906327639,3.301318923506761e-50,0.6275144153569029,3.35865675283538e-47,up_with_progression,0.5501349529948334,False
ASNS,0.5185492692292987,5.0111320041574085e-62,0.5801711035656121,6.658939839082077e-39,up_with_progression,0.5493601863974553,False
NUCB2,0.6172755725804575,1.493510450682471e-94,0.46887714486328685,6.788434287439925e-24,up_with_progression,0.5430763587218722,False
ACTG1,-0.5509544457155774,1.2833002591092804e-71,-0.5211519432265561,2.6746833991220694e-30,down_with_progression,0.5360531944710667,False
MTHFD2,0.504384061948392,3.594633670635699e-58,0.5630127320221016,3.537822382879288e-36,up_with_progression,0.5336983969852468,False
TUBB,-0.4851648173774101,3.1200467178072403e-53,-0.5807073011957223,5.5756003279612806e-39,down_with_progression,0.5329360592865662,False
ACTB,-0.5840264722643109,2.2383906255662878e-82,-0.47458625759180173,1.5240855622848202e-24,down_with_progression,0.5293063649280563,False
PTMA,-0.36412070011781056,1.878834768496043e-28,-0.69417634448893,1.3167084573782364e-61,down_with_progression,0.5291485223033703,False
HMGN2,-0.43476024478851966,1.1267006708746674e-41,-0.6202645771733781,7.803249938482287e-46,down_with_progression,0.5275124109809489,False
SHMT2,0.4495464403552617,7.200933223371666e-45,0.6050741985786154,4.403166965589088e-43,up_with_progression,0.5273103194669386,False
HSPA8,-0.45375520512659073,8.622333144213631e-46,-0.5971602147884344,1.0065314655100059e-41,down_with_progression,0.5254577099575126,False
SERP1,0.5590124143715361,4.3569123517346444e-74,0.48511064416126887,9.026236919526372e-26,up_with_progression,0.5220615292664025,False
SDF2L1,0.5372574596449284,2.030762814334652e-67,0.4993092729475814,1.859022959722824e-27,up_with_progression,0.5182833662962549,False
DNAJB11,0.5009931765490848,2.677291798735483e-57,0.5299383306288195,1.7396250297071359e-31,up_with_progression,0.5154657535889522,False
TUBB4B,-0.4856429713727607,2.4885810177889584e-53,-0.5423957019283527,3.345175915203673e-33,down_with_progression,0.5140193366505568,True
EIF2S2,0.5500656749844822,2.3110283106069447e-71,0.4753700740636877,1.2370765608437148e-24,up_with_progression,0.512717874524085,False
GAS5,0.5095658245024863,1.4709943032447835e-59,0.5062224275287158,2.435966338525733e-28,up_with_progression,0.5078941260156011,False
GARS1,0.45803782125794773,9.142331267185526e-47,0.5479161259986284,5.46771717056646e-34,up_with_progression,0.5029769736282881,False
DDIT4,0.520908785179863,1.1079475071264215e-62,0.48163417274492554,2.323587960059191e-25,up_with_progression,0.5012714789623943,False
TMEM39A,0.3835509837152914,9.084045798974193e-32,0.6030763242679857,9.757469521146173e-43,up_with_progression,0.49331365399163857,False
TUBA1B,-0.42795808774804,2.926726001045953e-40,-0.5557303543214354,3.9086521856085846e-35,down_with_progression,0.4918442210347377,False
RBM39,0.41932421758095956,1.6667261988955648e-38,0.5588040785873464,1.4620402565317295e-35,up_with_progression,0.489064148084153,False
SCFD1,0.38696381059056895,2.243715302681188e-32,0.5900016246028054,1.5977606815372683e-40,up_with_progression,0.48848271759668715,False
SSR3,0.5554035530265053,5.162243415990066e-73,0.40508134477962016,1.9670891326510788e-17,up_with_progression,0.4802424489030628,False
ZFAS1,0.4830502341104779,1.0198895095493562e-52,0.4762671131326457,9.791349289004552e-25,up_with_progression,0.4796586736215618,False
HMGB1,-0.32754189511953796,7.404666068546762e-23,-0.6277881802853013,3.2292113105172496e-47,down_with_progression,0.47766503770241964,False
CCDC174,0.40915427537678845,1.7316709184813725e-36,0.5453338021975191,1.2958606533046404e-33,up_with_progression,0.4772440387871538,False
ATF3,0.39612202945698943,5.022695031721842e-34,0.5568112967181592,2.7584692844540897e-35,up_with_progression,0.47646666308757435,False
SEC23B,0.3766137037344276,1.4981988012300301e-30,0.5760692237666643,3.0685903638114294e-38,up_with_progression,0.4763414637505459,False
MARCKSL1,-0.4073399351022986,3.8603632783168845e-36,-0.543045700796006,2.766679431225395e-33,down_with_progression,0.4751928179491523,False
TRAM1,0.45354032078495,9.484350217713175e-46,0.4929972029735032,1.0459078055048998e-26,up_with_progression,0.4732687618792266,False
POLR2L,-0.34606485241217566,1.422294577672826e-25,-0.6003626043895646,2.90842324382708e-42,down_with_progression,0.4732137284008701,False
STMN1,-0.38475823985550783,5.576729747081369e-32,-0.559822802226351,1.0820680564480385e-35,down_with_progression,0.4722905210409294,False
IFRD1,0.4018465094798944,4.255053829560222e-35,0.5388144974732265,1.0852302708465152e-32,up_with_progression,0.47033050347656047,False
WARS1,0.42668156916201766,5.291749356486625e-40,0.5089178902943793,1.0794273620322157e-28,up_with_progression,0.4677997297281985,False
FGA,-0.4017552339810235,4.3859188306004074e-35,-0.5327126676444374,7.410446164532585e-32,down_with_progression,0.46723395081273045,False
PSAT1,0.36255512836136444,3.3835313943273395e-28,0.5658008206306725,1.3292674591109576e-36,up_with_progression,0.4641779744960185,False
JPT1,-0.3592617525072945,1.1426820684472848e-27,-0.5681354974533662,5.718326485449562e-37,down_with_progression,0.4636986249803303,False
TUBA1C,-0.34087089159282924,8.501444668883492e-25,-0.5847188984969088,1.2736128494289798e-39,down_with_progression,0.46279489504486904,False
COA3,-0.3053825978465607,8.615966153564028e-20,-0.6176764713199839,2.3166517490487438e-45,down_with_progression,0.4615295345832723,False
SELENOS,0.5648381290787137,6.282297800427708e-76,0.3480581444645661,8.88082712556046e-13,up_with_progression,0.45644813677163987,False
ZFAND1,0.4020050414697129,4.0490618040981803e-35,0.510791502469658,6.243538991620314e-29,up_with_progression,0.4563982719696854,False
TES,0.4302564936526197,9.808787667637746e-41,0.4825373416693965,1.8281621292437201e-25,up_with_progression,0.4563969176610081,False
EIF4EBP1,0.5139031162640676,9.877659485238535e-61,0.39739699276061397,9.784805011726364e-17,up_with_progression,0.45565005451234075,False
SNRPD1,-0.33702096884370397,3.1521554891292656e-24,-0.5727094779289226,1.04703515632777e-37,down_with_progression,0.4548652233863133,False
SEC63,0.4618313441732017,1.2259026973594645e-47,0.44436207111116865,3.138495170690036e-21,up_with_progression,0.4530967076421852,False
CDK2AP2,0.5610288523333403,1.0390372528676721e-74,0.34476133947746024,1.554722464814588e-12,up_with_progression,0.4528950959054003,False
PRDX1,-0.32037784262563274,7.648873896064479e-22,-0.583677523643433,1.8563140691970404e-39,down_with_progression,0.45202768313453284,False
LSM3,-0.24294903151538624,1.3421389994582464e-12,-0.6541644997151234,1.416046960755117e-52,down_with_progression,0.4485567656152548,False
DKK1,-0.3707752094727993,1.5284194142607595e-29,-0.5225335096753413,1.7568961757952013e-30,down_with_progression,0.4466543595740703,False
SARS1,0.4705689561826211,1.101617566354615e-49,0.4208914173512541,6.591680675832746e-19,up_with_progression,0.44573018676693765,False
SEC11C,0.47638908415520625,4.517079668636095e-51,0.4149783771494298,2.378711972813136e-18,up_with_progression,0.44568373065231803,False
HSPE1,-0.2152091354875995,5.143228764865454e-10,-0.6728855309494606,1.0101979983827673e-56,down_with_progression,0.44404733321853007,False
TMED2,0.3421798477603976,5.452022480993697e-25,0.542355122063493,3.345175915203673e-33,up_with_progression,0.44226748491194534,False
COPE,0.39596024938114505,5.3370699419910574e-34,0.48814520557705005,3.9404000538667706e-26,up_with_progression,0.4420527274790975,False
