SYM,lfc,padj,dir
1-DEC,0.0,1.0,ns
1-MAR,-0.19366445020760986,0.33567514691205985,ns
1-SEP,-0.021516904742873277,0.609038867302918,ns
10-MAR,0.0,1.0,ns
10-SEP,-0.22764533051097358,0.26184943540037103,ns
11-MAR,0.0,1.0,ns
11-SEP,0.6219177296449763,0.0038707295003804682,up
12-SEP,0.0,1.0,ns
14-SEP,0.0012319843138831083,0.6208111571386364,ns
2-MAR,-0.10739388302120556,0.6208111571386364,ns
2-SEP,-0.2990565188597003,0.22154121718435116,ns
3-MAR,0.3568996797871352,0.059117570371157384,ns
3-SEP,-0.08059890033205064,0.6208111571386364,ns
4-MAR,0.0,1.0,ns
4-SEP,0.5002070609810573,0.017166112102279158,ns
5-MAR,-0.033188886580285404,1.0,ns
5-SEP,-0.00479071552206109,1.0,ns
6-MAR,-0.11279458173424395,0.37051678016354916,ns
6-SEP,-0.5608003149089265,0.026227937926265057,ns
7-MAR,0.016275094397981693,1.0,ns
7-SEP,0.025905117067434258,1.0,ns
7SK,0.21054079412060567,0.7116813273294874,ns
8-MAR,-0.07204814967076745,0.735342500893151,ns
8-SEP,-0.3245165913264113,0.2835930030542131,ns
9-MAR,0.5246222211457823,0.02016042685703479,ns
9-SEP,0.03170170950365048,1.0,ns
A1BG,0.15183177918581647,0.5564798616016594,ns
A1BG-AS1,0.1735370122874047,0.247500844137046,ns
A1CF,0.0005143745330422339,0.6361265579196882,ns
A2M,-0.7007176111205125,0.6142891185455321,ns
A2M-AS1,-0.08699710783882986,0.915153134375142,ns
A2ML1,0.0018498644979537406,0.33996589389564796,ns
A2ML1-AS1,0.030057700194751957,0.5172462935339507,ns
A2ML1-AS2,0.0,1.0,ns
A2MP1,0.0,1.0,ns
A3GALT2,-0.0044155435493719985,1.0,ns
A4GALT,0.5108228000562889,0.04368945316937312,ns
A4GNT,-0.008539972351704164,0.6593793365983828,ns
AA06,0.008714243890857983,0.6324321762195443,ns
AAAS,-0.2633907320670823,0.2208613681730937,ns
AACS,0.6069773733234365,0.0889632458668122,ns
AACSP1,0.0,1.0,ns
AADAC,0.0,1.0,ns
AADACL2,0.0,1.0,ns
AADACL2-AS1,0.0,1.0,ns
AADACL3,0.0009251365066809661,0.609038867302918,ns
AADACL4,0.0,1.0,ns
AADACP1,0.0,1.0,ns
AADAT,-0.018223862233877546,0.657517720841539,ns
AAED1,-0.099913931979148,0.7737450816512409,ns
AAGAB,0.1930661383834722,0.0757328801519629,ns
AAK1,-0.10247502597270253,0.5492370742423983,ns
AAMDC,-0.3999206598333056,0.13334784070725983,ns
AAMP,0.21184779275798293,0.489870783174163,ns
AANAT,0.005102716629007199,0.7943745297289573,ns
AAR2,0.0687721895209128,0.7629677137707487,ns
AARD,0.007553885746358192,0.2732555162300755,ns
AARS,0.24149282708371,0.32835088216023756,ns
AARS2,0.04705469971752274,0.9102929754205622,ns
AARSD1,0.23818105424586178,0.08496159611714812,ns
AARSP1,0.0,1.0,ns
AASDH,-0.23434140358907785,0.22169894905842755,ns
AASDHPPT,0.024423743341116744,1.0,ns
AASS,0.023779884269458956,1.0,ns
AATBC,-0.4465844128996064,0.044746391755761165,ns
AATF,0.08209912432567501,0.6464898152039316,ns
AATK,-0.1956767030459015,0.2644684864709574,ns
AATK-AS1,0.0,1.0,ns
AB015752.3,0.0888513124798726,0.1560412529191457,ns
AB019440.50,0.0,1.0,ns
AB019441.29,1.2064761290992452,0.609038867302918,ns
ABALON,0.09460863240066267,0.01542630842876454,ns
ABAT,-0.11448199140362325,0.6466100297418644,ns
ABBA01000934.1,0.0,1.0,ns
ABC11-4932300O16.1,-0.015675920505524306,0.6834344086130987,ns
ABC12-47043100G14.2,0.0,1.0,ns
ABC12-47964100C23.1,0.0,1.0,ns
ABC12-49244600F4.4,0.0010125370360374187,1.0,ns
ABC13-47488600E17.1,-0.11238382098530272,0.6033593147861431,ns
ABC13-47656900H15.1,0.0,1.0,ns
ABC14-1188822O7.1,0.0,1.0,ns
ABC7-42389800N19.1,0.024079452495447295,1.0,ns
ABC7-42404400C24.1,-0.00525253009993611,0.6431249297781559,ns
ABC7-42418200C9.1,0.0,1.0,ns
ABC7-43046700E7.1,0.0,1.0,ns
ABC7-481722F1.1,0.0,1.0,ns
ABC7-481722F1.2,0.0,1.0,ns
ABCA1,-0.17806759664018124,0.4062827983458642,ns
ABCA10,0.24627567656330251,0.06881651762175116,ns
ABCA11P,0.15103607109843692,0.5119609481860337,ns
ABCA12,0.0029715400737776,0.4530228162497775,ns
ABCA13,0.0009580358180175648,0.9595856706554404,ns
ABCA17P,-0.002634780496231902,0.6457649354436137,ns
ABCA2,-0.1666617121923853,0.10533285707108536,ns
ABCA3,-0.19313822458412777,0.10343837167313305,ns
ABCA4,0.001231271536442244,0.6431249297781559,ns
ABCA5,0.09110004547531259,0.8671345155023747,ns
ABCA6,0.01908685429049678,1.0,ns
ABCA7,-0.24483975459301965,0.6090491864169914,ns
ABCA8,-0.0023946914363627285,0.6863530546585617,ns
ABCA9,0.08422383367017344,0.16288917163761626,ns
ABCA9-AS1,0.0,1.0,ns
ABCB1,0.0066674803771283936,0.8006696551636214,ns
ABCB10,-0.1609876000872985,0.14300974905180291,ns
ABCB10P1,-0.011027802271395049,0.8719793979638905,ns
ABCB10P3,0.0,1.0,ns
ABCB10P4,0.0,1.0,ns
ABCB11,0.0007198578526660808,0.6208111571386364,ns
ABCB4,-0.09170596007081058,0.3252052779501895,ns
ABCB5,-0.051474157865736864,1.0,ns
ABCB6,0.007412514944008297,1.0,ns
ABCB7,-0.1958348423045555,0.17418497345128334,ns
ABCB8,-0.022849351006654528,1.0,ns
ABCB9,-0.03925916108880084,0.349045052068764,ns
ABCC1,0.1450911853170309,0.9047838401574364,ns
ABCC10,0.08914305508665565,0.8094241376117117,ns
ABCC11,0.02512425779700824,0.07635609845261979,ns
ABCC12,0.0,1.0,ns
ABCC13,0.0,1.0,ns
ABCC2,0.323318298357295,0.011310608513847928,ns
ABCC3,-0.22909296495155074,0.6580386770551355,ns
ABCC4,-0.04964825833961428,0.9461403377290798,ns
ABCC5,-0.7376931145514503,0.020293546452527185,down
ABCC5-AS1,-0.17259026248957285,0.3024901608467152,ns
ABCC6,-0.059911028324307745,0.6563440872526587,ns
ABCC6P1,0.0,1.0,ns
ABCC6P2,0.0,1.0,ns
ABCC8,0.0007198578526660808,0.6208111571386364,ns
ABCC9,-0.0012002072437652125,0.6431249297781559,ns
ABCD1,0.19965655959324202,0.2646352901236493,ns
ABCD1P2,-0.0018836152405232514,1.0,ns
ABCD1P3,0.0,1.0,ns
ABCD1P4,0.0,1.0,ns
