Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
MSigDB_Hallmark_2020,Coagulation,3/138,0.0009279708898689404,0.0185594177973788,0,0,17.63288888888889,123.1218264224333,CPB2;PRSS23;DUSP6
MSigDB_Hallmark_2020,Complement,3/200,0.0026840467141937,0.0268404671419375,0,0,12.045685279187817,71.31563234569973,CPM;CTSC;DUSP6
GO_Biological_Process_2021,renal absorption (GO:0070293),2/14,0.00017021266102889025,0.0387047378611435,0,0,127.94871794871794,1110.3980809688312,HYAL2;SGK1
GO_Biological_Process_2021,negative regulation of MAPK cascade (GO:0043409),3/94,0.0003024604907066452,0.0387047378611435,0,0,26.216703296703297,212.44862549968624,HYAL2;AGT;DUSP6
GO_Biological_Process_2021,regulation of MAP kinase activity (GO:0043405),3/97,0.000331754895952659,0.0387047378611435,0,0,25.37617021276596,203.2913956781737,HYAL2;CD24;AGT
GO_Biological_Process_2021,proteolysis (GO:0006508),4/287,0.0006479748342610995,0.0437277256668467,0,0,11.595406360424027,85.12951596729215,CPM;CPB2;CASP6;CTSC
GO_Biological_Process_2021,regulation of multicellular organismal development (GO:2000026),2/28,0.000698524343473833,0.0437277256668467,0,0,59.01183431952663,428.8118857618176,CD24;DUSP6
GO_Biological_Process_2021,positive regulation of extrinsic apoptotic signaling pathway (GO:2001238),2/29,0.0007496181542888011,0.0437277256668467,0,0,56.82336182336182,408.8978778076582,HYAL2;AGT
Reactome_2022,Post-translational Protein Phosphorylation R-HSA-8957275,3/106,0.00043044927155977625,0.0491778210752246,0,0,23.148349514563108,179.41547454949597,TGOLN2;VWA1;PRSS23
Reactome_2022,Regulation Of IGF Transport And Uptake By IGFBPs R-HSA-381426,3/123,0.0006645651496651979,0.0491778210752246,0,0,19.852,145.244728938639,TGOLN2;VWA1;PRSS23
