Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
KEGG_2021_Human,Protein processing in endoplasmic reticulum,29/171,3.500429136733607e-32,3.1503862230602463e-30,0,0,36.27851795457429,2627.647156720058,TRAM1;RPN2;SAR1B;RPN1;SEL1L;DERL2;HSP90B1;UBE2J1;HERPUD1;SEC61A1;ERLEC1;SEC23B;XBP1;EDEM1;EDEM2;SSR3;SYVN1;PDIA6;DDOST;PDIA4;ERN1;DNAJC3;DNAJC1;SELENOS;DDIT3;DNAJB11;PREB;HYOU1;SEC24D
MSigDB_Hallmark_2020,Unfolded Protein Response,22/113,6.061864401488938e-26,2.0004152524913494e-24,0,0,40.50270068914137,2351.7972138684568,TSPYL2;XBP1;EDEM1;ASNS;SLC1A4;PDIA6;HSP90B1;HERPUD1;ERN1;DNAJC3;MTHFD2;PSAT1;STC2;DDIT4;EIF4EBP1;DNAJB9;PREB;HYOU1;CHAC1;IARS1;TARS1;ATF3
Reactome_2022,Unfolded Protein Response (UPR) R-HSA-381119,18/89,1.0507280680993385e-21,2.5952983282053656e-19,0,0,41.12237358577696,1986.408180893564,TSPYL2;EDEM1;GFPT1;SYVN1;ASNS;EIF2S2;PDIA6;HERPUD1;HSP90B1;DNAJC3;ERN1;DDIT3;DNAJB11;CREBRF;DNAJB9;PREB;HYOU1;ATF3
MSigDB_Hallmark_2020,mTORC1 Signaling,22/200,2.832905524396689e-20,4.674294115254537e-19,0,0,20.615311369263,927.9033899891332,XBP1;SDF2L1;SHMT2;EDEM1;IFRD1;RPN1;USO1;ASNS;SLC1A4;GLRX;SLC7A11;EIF2S2;HSP90B1;EPRS1;MTHFD2;PSAT1;DDIT3;CTH;DDIT4;TRIB3;PHGDH;PSPH
Reactome_2022,Asparagine N-linked Glycosylation R-HSA-446203,24/282,2.1172230342689305e-19,2.614770447322129e-17,0,0,15.719326383319968,675.9154947709615,COPA;RPN2;SAR1B;COPB1;EDEM1;RPN1;SEL1L;EDEM2;GFPT1;USO1;SYVN1;DERL2;UAP1;DDOST;GMPPB;SCFD1;GOLGB1;GMPPA;PGM3;PREB;NANS;SEC24D;COPE;BET1
GO_Biological_Process_2021,response to endoplasmic reticulum stress (GO:0034976),18/110,6.118594048329973e-20,5.3354140101437357e-17,0,0,31.70206699928724,1402.511158609385,FICD;UBA5;SEL1L;SYVN1;PDIA4;HSP90B1;HERPUD1;ERN1;ERLEC1;ERP44;SELENOS;GORASP2;DDIT3;DNAJB9;TRIB3;HYOU1;CHAC1;ATF3
Reactome_2022,Metabolism Of Proteins R-HSA-392499,48/1890,5.448423843306447e-16,4.4858689643223084e-14,0,0,5.103526412689421,179.36871855725593,SRP19;AARS1;COPA;TRAM1;RPN2;SAR1B;COPB1;RPN1;SEL1L;USO1;SRP54;DERL2;UAP1;YARS1;HSP90B1;GMPPB;SEC61A1;SCFD1;STC2;GMPPA;EIF4EBP1;PGM3;IARS1;NANS;SEC11C;EDEM1;EDEM2;GFPT1;MARS1;SSR3;SYVN1;EIF2S2;PDIA6;DDOST;INHBE;DNAJC3;GARS1;SPCS2;SELENOS;EPRS1;GOLGB1;PREB;CARS1;SEC24D;TARS1;RAB5A;COPE;BET1
Reactome_2022,Translation R-HSA-72766,20/281,8.340774783332174e-15,5.150428428707619e-13,0,0,12.515325670498084,405.7170753064772,SRP19;AARS1;TRAM1;RPN2;RPN1;MARS1;SSR3;SRP54;YARS1;EIF2S2;DDOST;SEC61A1;GARS1;SPCS2;EPRS1;EIF4EBP1;IARS1;CARS1;TARS1;SEC11C
GO_Biological_Process_2021,IRE1-mediated unfolded protein response (GO:0036498),12/53,1.7879306351891536e-15,7.79537756942471e-13,0,0,45.31783536585366,1538.8902516791716,TSPYL2;DNAJC3;ERN1;XBP1;EDEM1;DNAJB11;GFPT1;SYVN1;DNAJB9;PREB;HYOU1;PDIA6
Reactome_2022,IRE1alpha Activates Chaperones R-HSA-381070,11/48,2.402630455003848e-14,1.1868994447719009e-12,0,0,45.68468468468468,1432.6546778041975,TSPYL2;DNAJC3;ERN1;EDEM1;GFPT1;DNAJB11;SYVN1;DNAJB9;HYOU1;PREB;PDIA6
Reactome_2022,XBP1(S) Activates Chaperone Genes R-HSA-381038,10/46,6.706591780579144e-13,2.760880283005081e-11,0,0,42.35897435897436,1187.343879638365,TSPYL2;DNAJC3;EDEM1;GFPT1;DNAJB11;SYVN1;DNAJB9;HYOU1;PREB;PDIA6
Reactome_2022,Cytosolic tRNA Aminoacylation R-HSA-379716,8/24,3.1511278825415338e-12,1.1118979814110841e-10,0,0,75.16666666666667,1990.658426970362,GARS1;AARS1;EPRS1;MARS1;IARS1;YARS1;CARS1;TARS1
GO_Biological_Process_2021,"retrograde protein transport, ER to cytosol (GO:0030970)",7/17,1.2982630391984914e-11,3.773617900603615e-09,0,0,104.47368421052632,2618.884548395038,SELENOS;HM13;SEL1L;SYVN1;DERL2;HERPUD1;HSP90B1
Reactome_2022,Cellular Responses To Stress R-HSA-2262752,24/722,2.0254234547357448e-10,6.253494916496612e-09,0,0,5.679873530283569,126.77518692947238,TSPYL2;EDEM1;HM13;GFPT1;SYVN1;ASNS;SLC7A11;EIF2S2;PDIA6;HSP90B1;HERPUD1;ERN1;DNAJC3;DDIT3;SESN2;DNAJB11;CREBRF;DNAJB9;PREB;TRIB3;HYOU1;PHGDH;CHAC1;ATF3
