0_names,0_logfoldchanges,0_pvals_adj,1_names,1_logfoldchanges,1_pvals_adj,2_names,2_logfoldchanges,2_pvals_adj,3_names,3_logfoldchanges,3_pvals_adj,4_names,4_logfoldchanges,4_pvals_adj,5_names,5_logfoldchanges,5_pvals_adj,6_names,6_logfoldchanges,6_pvals_adj,7_names,7_logfoldchanges,7_pvals_adj,8_names,8_logfoldchanges,8_pvals_adj,9_names,9_logfoldchanges,9_pvals_adj,10_names,10_logfoldchanges,10_pvals_adj,11_names,11_logfoldchanges,11_pvals_adj,12_names,12_logfoldchanges,12_pvals_adj
H4C3,2.669797,8.642657108062726e-88,COL2A1,4.6671395,5.505323865589754e-127,MT2A,2.1578035,1.9193326562914817e-44,PCNA,2.2228892,3.857839368887017e-101,VIM,2.5153246,4.3051976829863616e-16,SRP9,1.3409721,5.987397972489458e-65,CCNB1,2.2762957,4.380041739468942e-19,CCNB1,3.1663313,8.838409251056603e-93,TXN,0.78920454,3.0113573900335395e-31,SDF2L1,2.4832044,1.9853729069371957e-22,RPS15,1.8158532,3.993594398222138e-12,SELENOS,1.9274337,2.375513757321838e-89,SCFD1,1.5450221,1.894471991040557e-59
UBE2C,2.7113168,1.2150626105697137e-72,S100A10,2.1447585,3.222182570214813e-115,APOA2,1.5364349,8.252237848747341e-41,MCM6,2.219619,7.135120477190614e-89,TUBA1A,4.7549434,6.602335695072409e-16,CD164,1.2721019,1.4833824601782647e-60,PTTG1,1.8239678,4.5637265360435825e-18,ARL6IP1,2.4775324,1.7978800924932103e-92,NPM1,0.6706739,3.0113573900335395e-31,CDK2AP2,1.8826275,5.501365436744932e-22,RPS27,2.3312562,3.993594398222138e-12,HERPUD1,2.5161893,3.9629577070987496e-87,SLC43A1,2.2270365,1.5926660341966604e-53
H1-1,3.0344968,7.475195795751651e-63,LGALS3,3.0788662,3.546081932781739e-114,FTL,0.5850072,8.252237848747341e-41,MCM4,2.0750606,2.9730230067593596e-82,PRSS23,2.5968413,1.7583916942796042e-15,MT-ND2,1.0237181,4.980381794215905e-59,CDC20,2.0811498,9.796828200017637e-18,CDC20,2.6801257,4.487216715924837e-84,PRDX1,0.5575555,3.0113573900335395e-31,H4C3,2.8677452,2.2230237244743953e-21,RPL31,1.8178074,3.993594398222138e-12,SELENOK,2.0738235,3.574810254664744e-85,PLIN2,1.5013219,4.873946792429718e-53
CDK1,2.1648366,2.0098473302623876e-60,LGALS2,3.9117293,8.423185924114036e-100,MT1E,1.937488,1.9011951617672403e-39,CDK1,2.5593636,3.8016511451084852e-81,UBD,3.07572,2.3703129600368654e-15,LDHA,0.9396564,1.3863872983292012e-48,CCNB2,2.088409,4.720249447104748e-17,TUBB4B,1.7638392,1.5011401778843483e-82,HNRNPA1,0.7121025,7.524714074970814e-30,UBE2C,3.1634562,6.530975635596268e-20,NDUFS5,1.7390038,3.993594398222138e-12,CDK2AP2,1.6012378,3.6065237338115816e-85,PSAT1,1.7331817,1.4739254390873496e-52
MKI67,2.186275,8.851329282197895e-60,PPP1R14A,3.1984532,2.2311683050115265e-99,MT1X,1.9921143,1.5599057678976017e-38,UNG,1.8931202,1.0952534174131474e-78,CSRP1,2.2107346,2.3703129600368654e-15,EIF4G2,1.0338817,5.463535595808445e-48,H3-3B,0.6043945,2.830119657441112e-16,PLK1,3.1947768,1.0669159089502314e-80,RPL14,0.6970805,2.0867229086784057e-29,SELENOK,1.6987467,5.790327191834213e-18,RPL37A,1.6203845,3.993594398222138e-12,DDIT3,2.8033926,5.797818724031787e-84,DDIT3,2.5147843,1.0075950371677327e-50
TOP2A,2.2598083,1.1446676456435873e-56,C19orf33,3.3887136,4.1470635683889207e-94,FTH1,0.4277222,3.876664252128992e-30,FBXO5,2.259428,3.831591180222502e-76,ANXA3,2.8096356,7.905999253924197e-15,ATP5F1B,0.5563406,3.1832028176037505e-46,MT1X,2.0996518,1.2544043638801418e-15,KIF20A,3.275718,1.1524497322037012e-80,RPS7,0.7755144,4.187643229166868e-27,HERPUD1,2.3175657,6.0402996684194186e-18,RPS19,1.8538367,4.267416951678338e-12,EIF4EBP1,1.6351818,1.2866411106770923e-83,HBP1,2.4917383,1.3970840611378273e-50
ZWINT,1.4804925,8.721774532954499e-54,CST3,1.3666643,1.588157432281891e-86,RRBP1,0.92993236,1.2100192759910195e-28,FEN1,1.5941722,5.557227684993527e-75,MYL12A,1.1623961,1.1040842815898336e-14,PTGES3,0.7869498,2.328926912582966e-44,POLR2L,1.0215491,3.2436432165683866e-15,CCNB2,2.7748716,6.4693523901326516e-80,HMGB1P6,1.1969343,5.680713945194332e-27,EIF4EBP1,1.56532,2.3020083170208284e-17,RPL35A,1.4284965,4.277936463736475e-12,HSPA5,1.6611509,6.405962387181949e-81,NFKBIE,3.2605872,2.43642971884692e-50
RRM2,1.9241467,2.787769204029591e-52,ANXA4,1.913478,1.31514454432964e-85,MT-ND4L,0.73562735,1.4672853066587712e-27,MCM2,1.7956334,6.927742041523226e-73,EMP3,2.8018026,4.902331260827436e-14,CAPZA2,0.8706795,7.919478155834125e-42,CENPF,1.7384044,3.2436432165683866e-15,TPX2,2.4835987,4.18787325021392e-77,NACA,0.49639362,5.680713945194332e-27,HSPA5,1.5567454,8.592972190745943e-17,RPS21,1.9384551,4.277936463736475e-12,SEC61G,1.3067619,2.1815159001290324e-80,SEC23B,1.7963437,3.289392779548774e-50
NUSAP1,1.7541451,6.4475047418545396e-52,GSTP1,1.0286188,5.217242375383374e-85,RPL18A,0.6185648,1.9523135075275124e-26,TK1,1.8517491,8.750725273035661e-71,TUBB6,1.6664927,1.575459502278829e-13,EEF1A1P5,0.809538,1.4436849135463333e-41,HMGN2,0.9643238,1.8529961866965962e-14,PIMREG,3.026294,8.393572984072334e-73,GNG5,0.5934132,1.8690537453179944e-26,DDIT4,2.3818812,1.6506287011162558e-16,RPL35,1.8842554,4.384681494536998e-12,SDF2L1,2.1559217,2.328656097270271e-77,CTH,2.910407,3.393374350209537e-50
HJURP,2.2150998,1.5151225099182643e-50,EPCAM,2.3158145,6.337451131692053e-83,RPS3,0.40613037,5.797006351821987e-25,EXO1,2.7121758,7.986848561763072e-70,MLLT11,2.6068292,4.679416420743914e-13,ABCD3,1.3825991,1.4436849135463333e-41,HMGB1,0.746649,9.978003670482865e-14,BUB1,2.799366,3.5508167870652915e-72,RPL41,0.61289907,7.913849272508048e-26,CRELD2,1.7149389,1.1041144677589285e-15,RPS18,1.6872072,4.384681494536998e-12,NUCB2,2.0824707,1.0384495352812504e-75,CHIC2,2.0641582,4.863568901521389e-50
NCAPG,2.0489066,4.16270791645443e-50,MGLL,1.731414,2.5196542331284026e-79,MDK,0.6767988,6.671808701793225e-23,SLBP,1.3606957,1.4762076919998297e-69,MYL6,1.0200751,1.053958588658072e-12,HIGD1A,0.7987387,1.6927348877735825e-41,DYNLL1,0.8607681,1.241082563279103e-13,SPAG5,2.410604,6.328616393770562e-71,RPL26,0.6501251,9.883167801248242e-26,DDIT3,2.2359724,1.6780958796325399e-15,RPS8,1.5772196,4.384681494536998e-12,SERP1,1.3106142,4.891257117765888e-75,TSC22D3,3.0382135,5.072448966190833e-50
SPC25,1.9009576,2.1190210261460675e-49,APOA1,1.5372646,8.012999207076634e-79,RPS15,0.4887299,6.671808701793225e-23,PCLAF,1.7813853,6.412101693048967e-69,IL32,2.0814764,1.053958588658072e-12,MAL2,1.4589014,1.324805380168558e-40,MT2A,2.0903258,2.12545139460319e-12,TUBA1C,1.457827,1.6161849466511996e-69,EEF1A1,0.5266207,3.3985228059220055e-25,AURKB,2.0693507,7.96737074588277e-14,COX6B1,1.820047,4.384681494536998e-12,SSR4,1.3741055,7.260418144602508e-75,TRIB3,2.3827617,6.504091826538556e-50
FBXO5,1.7750902,2.333087579153409e-47,SLC7A7,3.2952843,1.825909015416281e-75,NDUFA3,0.7263614,6.728871723651637e-23,CDCA7,1.807543,1.0337991394922253e-68,TPM4,1.6565659,2.145554358021968e-12,CMPK1,0.9560622,2.0838464139662698e-39,RRBP1,1.1379725,3.282580064124249e-12,NEK2,3.0276992,1.4088149042519154e-67,POMP,0.62643105,9.559246193434679e-25,TRIB3,2.0263786,9.305140555343447e-14,PFDN5,1.5918782,4.384681494536998e-12,SLC35B1,1.4493556,2.0522821447384696e-74,MARS1,1.4320524,9.464106495716594e-50
