gene_id,symbol,disease_regulation,DENV_regulation,ZIKV_regulation,name,DENV_log2FC,DENV_padj,is_ISG,is_proviral,is_antiviral,ZIKV_log2FC,ZIKV_padj,significance_group
ENSG00000275302,CCL4,DENV_Up & ZIKV_Up,Up,Up,C-C motif chemokine ligand 4,4.966291621120175,0.0014478288508293,False,False,False,5.568609369053334,0.0005689276021681,Both
ENSG00000023445,BIRC3,DENV_Up & ZIKV_Up,Up,Up,baculoviral IAP repeat containing 3,3.275399373179752,6.85669187193527e-05,False,True,False,3.44111100961326,0.0194112875037214,Both
ENSG00000093134,VNN3P,DENV_Up & ZIKV_Up,Up,Up,"vanin 3, pseudogene",2.7190906843446303,9.92816770907873e-05,False,False,False,2.497732148772577,0.0009891196347625,Both
ENSG00000117472,TSPAN1,DENV_Up & ZIKV_Up,Up,Up,tetraspanin 1,2.3068455562554644,0.0181183925085022,False,False,False,2.8950731825013034,0.0241863349314783,Both
ENSG00000198417,MT1F,DENV_Up & ZIKV_Down,Up,Down,metallothionein 1F,2.2248902278479026,1.8797866022872223e-08,False,False,False,-3.054498344952003,9.997926249789764e-07,Both
ENSG00000260549,MT1L,DENV_Up & ZIKV_Down,Up,Down,metallothionein 1L (pseudogene),2.198355102306898,1.83334438186292e-05,False,False,False,-6.1691108567734805,0.0040031178860561,Both
ENSG00000139269,INHBE,DENV_Up & ZIKV_Up,Up,Up,inhibin subunit beta E,2.145970227061396,0.0008401950474308,False,False,False,1.7256184744938514,0.0274045712584222,Both
ENSG00000249784,SCARNA22,DENV_Up & ZIKV_Down,Up,Down,small Cajal body-specific RNA 22,2.049337072730224,9.199723442630714e-07,False,False,False,-3.924640921006524,3.3661535049575e-10,Both
ENSG00000184205,TSPYL2,DENV_Up & ZIKV_Up,Up,Up,TSPY like 2,1.9894729953330128,1.4215963429034348e-07,False,False,False,1.1135254569875832,0.026105844652649,Both
ENSG00000105499,PLA2G4C,DENV_Up & ZIKV_Up,Up,Up,phospholipase A2 group IVC,1.9160934080144856,0.0024699968250387,False,False,False,2.0807467745241004,0.0008550285451662,Both
ENSG00000147804,SLC39A4,DENV_Up & ZIKV_Down,Up,Down,solute carrier family 39 member 4,1.7479490974235803,0.0001024741635675,False,False,False,-2.7761291455518817,0.049277845755477,Both
ENSG00000210144,MT-TY,DENV_Up & ZIKV_Down,Up,Down,tRNA-Tyr,1.710817252226151,1.275879298850378e-05,False,False,False,-4.183416396826486,7.141370194584686e-10,Both
ENSG00000124102,PI3,DENV_Up & ZIKV_Down,Up,Down,peptidase inhibitor 3,1.6723507183027293,0.0008401950474308,False,False,False,-3.586669797319376,0.0059530848165674,Both
ENSG00000269242,ENSG00000269242,DENV_Up & ZIKV_Down,Up,Down,,1.6586329338629486,0.0085108984766376,False,False,False,-3.1938246437438926,0.023214537436282,Both
ENSG00000202515,VTRNA1-3,DENV_Up & ZIKV_Down,Up,Down,vault RNA 1-3,1.6219329916826994,7.053085587705614e-06,False,False,False,-2.5689281679299563,0.0001355397162768,Both
ENSG00000243004,MACC1-OT1,DENV_Up & ZIKV_Down,Up,Down,MACC1 3' UTR overlapping transcript 1,1.604136867155438,0.0053044816815709,False,False,False,-3.3261057548873136,0.019981175539633,Both
ENSG00000163739,CXCL1,DENV_Up & ZIKV_Up,Up,Up,C-X-C motif chemokine ligand 1,1.5914797152031988,6.679818087452066e-05,False,False,False,1.4283295590786325,0.000100885786545,Both
ENSG00000172602,RND1,DENV_Up & ZIKV_Up,Up,Up,Rho family GTPase 1,1.584965913888554,0.0003278125904579,False,False,False,1.902570284771892,0.0077900456649306,Both
ENSG00000169715,MT1E,DENV_Up & ZIKV_Down,Up,Down,metallothionein 1E,1.5140173727297763,1.080108860750134e-08,False,False,False,-3.2237927242837263,3.798794650078602e-12,Both
ENSG00000089163,SIRT4,DENV_Up & ZIKV_Up,Up,Up,sirtuin 4,1.4913909396513874,0.0142999932231298,False,False,False,1.8522440430331804,0.0102120481991686,Both
ENSG00000125148,MT2A,DENV_Up & ZIKV_Down,Up,Down,metallothionein 2A,1.4875344243015294,7.571356554133732e-09,False,False,False,-2.863963594510261,0.003178534625779,Both
ENSG00000225616,RPL27P4,DENV_Up & ZIKV_Down,Up,Down,ribosomal protein L27 pseudogene 4,1.462622094909413,1.7967945821019198e-05,False,False,False,-2.876905481033036,3.8512615182383167e-10,Both
ENSG00000205364,MT1M,DENV_Up & ZIKV_Down,Up,Down,metallothionein 1M,1.4361450133640654,0.0001163120468669,False,False,False,-9.402385542013644,2.1454888995441872e-11,Both
ENSG00000272055,RNU6-6P,DENV_Up & ZIKV_Down,Up,Down,"RNA, U6 small nuclear 6, pseudogene",1.4229400778212995,5.277769940985663e-05,False,False,False,-2.397270184508566,0.0003272285089347,Both
ENSG00000187193,MT1X,DENV_Up & ZIKV_Down,Up,Down,metallothionein 1X,1.398926084626846,1.66926391048703e-07,False,False,False,-3.4401797408570087,6.316468713699668e-17,Both
ENSG00000105697,HAMP,DENV_Up & ZIKV_Down,Up,Down,hepcidin antimicrobial peptide,1.39363201450218,0.0001814121874966,False,False,False,-2.3923275188891657,0.0001679942887148,Both
ENSG00000163606,CD200R1,DENV_Up & ZIKV_Up,Up,Up,CD200 receptor 1,1.374870811568911,0.0315435153163494,False,False,False,2.0965445146675927,0.0024904216791489,Both
ENSG00000110031,LPXN,DENV_Up & ZIKV_Up,Up,Up,leupaxin,1.3500719696373673,0.0474059063947163,False,False,False,1.9352069467004307,0.043080762878425,Both
ENSG00000267064,UXT-AS1,DENV_Up & ZIKV_Down,Up,Down,UXT antisense RNA 1,1.296023174631714,0.0375763790058529,False,False,False,-3.479302272163474,0.0258558375891321,Both
ENSG00000251637,LINC02754,DENV_Up & ZIKV_Down,Up,Down,long intergenic non-protein coding RNA 2754,1.2888314493228985,0.0209471868558893,False,False,False,-2.227207592295525,0.0025197021163669,Both
ENSG00000236060,HSPB1P1,DENV_Up & ZIKV_Down,Up,Down,heat shock protein family B (small) member 1 pseudogene 1,1.2787244216837297,0.0158575026984664,False,False,False,-2.988516882448124,0.0085939027832709,Both
ENSG00000158023,CFAP251,DENV_Up & ZIKV_Up,Up,Up,cilia and flagella associated protein 251,1.2639830767902795,0.0375272132016533,False,False,False,1.404734505510248,0.0202534616485231,Both
ENSG00000255198,SNHG9,DENV_Up & ZIKV_Down,Up,Down,small nucleolar RNA host gene 9,1.242924284607234,0.0008998538781257,False,False,False,-1.408012019645397,0.030821411050069,Both
ENSG00000163295,ALPI,DENV_Up & ZIKV_Down,Up,Down,"alkaline phosphatase, intestinal",1.2407306148441617,0.0025949844895407,False,False,False,-3.582329842935376,0.0016378649569439,Both
ENSG00000164463,CREBRF,DENV_Up & ZIKV_Up,Up,Up,CREB3 regulatory factor,1.222904061333944,0.0173550318889616,False,False,False,1.5218977274602632,0.0435722987223725,Both
ENSG00000167641,PPP1R14A,DENV_Up & ZIKV_Down,Up,Down,protein phosphatase 1 regulatory inhibitor subunit 14A,1.1931416275564062,0.0005111569582255,False,False,False,-1.4170493524649,0.0001084326978284,Both
ENSG00000167644,C19orf33,DENV_Up & ZIKV_Down,Up,Down,chromosome 19 open reading frame 33,1.1322330786650978,0.0019293560939483,False,False,False,-2.0364156379861496,0.0003784759884958,Both
ENSG00000202337,RNU6-8,DENV_Up & ZIKV_Down,Up,Down,"RNA, U6 small nuclear 8",1.1088027845316029,8.518579568660756e-05,False,False,False,-1.2339027169846903,0.0105824951968446,Both
