miRTarBase ID,miRNA,Species (miRNA),Target Gene,Target Gene (Entrez ID),Species (Target Gene),Experiments,Support Type,References (PMID)
MIRT003105,hsa-miR-122-5p,hsa,SLC7A1,6541.0,hsa,Luciferase reporter assay//Western blot,Functional MTI,17179747.0
MIRT003105,hsa-miR-122-5p,hsa,SLC7A1,6541.0,hsa,Luciferase reporter assay//Western blot,Functional MTI,17179747.0
MIRT003105,hsa-miR-122-5p,hsa,SLC7A1,6541.0,hsa,Luciferase reporter assay//Western blot,Functional MTI,17179747.0
MIRT003112,hsa-miR-122-5p,hsa,ADAM17,6868.0,hsa,Luciferase reporter assay//qRT-PCR,Functional MTI,19296470.0
MIRT003111,hsa-miR-122-5p,hsa,NUMBL,9253.0,hsa,Luciferase reporter assay//qRT-PCR,Functional MTI,19296470.0
MIRT003107,hsa-miR-122-5p,hsa,FOXJ3,22887.0,hsa,Luciferase reporter assay//qRT-PCR,Functional MTI,19296470.0
MIRT003106,hsa-miR-122-5p,hsa,XPO6,23214.0,hsa,Luciferase reporter assay//qRT-PCR,Functional MTI,19296470.0
MIRT003105,hsa-miR-122-5p,hsa,SLC7A1,6541.0,hsa,Luciferase reporter assay//qRT-PCR,Functional MTI,19296470.0
MIRT003104,hsa-miR-122-5p,hsa,AP3M2,10947.0,hsa,Luciferase reporter assay//qRT-PCR,Functional MTI,19296470.0
MIRT003103,hsa-miR-122-5p,hsa,G6PC3,92579.0,hsa,Luciferase reporter assay//qRT-PCR,Functional MTI,19296470.0
MIRT003102,hsa-miR-122-5p,hsa,GALNT10,55568.0,hsa,Luciferase reporter assay//qRT-PCR,Functional MTI,19296470.0
MIRT003727,hsa-miR-122-5p,hsa,DSTYK,25778.0,hsa,Luciferase reporter assay//qRT-PCR,Functional MTI,19296470.0
MIRT003100,hsa-miR-122-5p,hsa,TPD52L2,7165.0,hsa,Luciferase reporter assay//qRT-PCR,Functional MTI,19296470.0
MIRT003099,hsa-miR-122-5p,hsa,AKT3,10000.0,hsa,Luciferase reporter assay//qRT-PCR,Functional MTI,19296470.0
MIRT003098,hsa-miR-122-5p,hsa,FUNDC2,65991.0,hsa,Luciferase reporter assay//qRT-PCR,Functional MTI,19296470.0
MIRT003098,hsa-miR-122-5p,hsa,FUNDC2,65991.0,hsa,Luciferase reporter assay//qRT-PCR,Functional MTI,19296470.0
MIRT003097,hsa-miR-122-5p,hsa,MAPK11,5600.0,hsa,Luciferase reporter assay//qRT-PCR,Functional MTI,19296470.0
MIRT003728,hsa-miR-122-5p,hsa,FAM117B,150864.0,hsa,Luciferase reporter assay//qRT-PCR,Functional MTI,19296470.0
MIRT003095,hsa-miR-122-5p,hsa,ATP1A2,477.0,hsa,Luciferase reporter assay//qRT-PCR,Functional MTI,19296470.0
MIRT003112,hsa-miR-122-5p,hsa,ADAM17,6868.0,hsa,Luciferase reporter assay//qRT-PCR,Functional MTI,19296470.0
MIRT003094,hsa-miR-122-5p,hsa,DUSP2,1844.0,hsa,Luciferase reporter assay//qRT-PCR,Functional MTI,19296470.0
MIRT003093,hsa-miR-122-5p,hsa,AACS,65985.0,hsa,Luciferase reporter assay//qRT-PCR,Functional MTI,19296470.0
MIRT003092,hsa-miR-122-5p,hsa,TBX19,9095.0,hsa,Luciferase reporter assay//qRT-PCR,Functional MTI,19296470.0
MIRT003091,hsa-miR-122-5p,hsa,UBAP2,55833.0,hsa,Luciferase reporter assay//qRT-PCR,Functional MTI,19296470.0
MIRT003110,hsa-miR-122-5p,hsa,EGLN3,112399.0,hsa,Luciferase reporter assay//qRT-PCR,Functional MTI,19296470.0
MIRT003090,hsa-miR-122-5p,hsa,NCAM1,4684.0,hsa,Luciferase reporter assay//qRT-PCR,Functional MTI,19296470.0
MIRT003089,hsa-miR-122-5p,hsa,MECP2,4204.0,hsa,Luciferase reporter assay//qRT-PCR,Functional MTI,19296470.0
MIRT003088,hsa-miR-122-5p,hsa,FOXP1,27086.0,hsa,Luciferase reporter assay//qRT-PCR,Functional MTI,19296470.0
MIRT003087,hsa-miR-122-5p,hsa,RAB11FIP1,80223.0,hsa,Luciferase reporter assay//qRT-PCR,Functional MTI,19296470.0
MIRT003086,hsa-miR-122-5p,hsa,RAB6B,51560.0,hsa,Luciferase reporter assay//qRT-PCR,Functional MTI,19296470.0
MIRT003109,hsa-miR-122-5p,hsa,TRIB1,10221.0,hsa,Luciferase reporter assay//qRT-PCR,Functional MTI,19296470.0
MIRT003085,hsa-miR-122-5p,hsa,ALDOA,226.0,hsa,Luciferase reporter assay//qRT-PCR,Functional MTI,19296470.0
MIRT003084,hsa-miR-122-5p,hsa,ANXA11,311.0,hsa,Luciferase reporter assay//qRT-PCR,Functional MTI,19296470.0
MIRT003083,hsa-miR-122-5p,hsa,ENTPD4,9583.0,hsa,Luciferase reporter assay//qRT-PCR,Functional MTI,19296470.0
MIRT003082,hsa-miR-122-5p,hsa,NFATC2IP,84901.0,hsa,Luciferase reporter assay//qRT-PCR,Functional MTI,19296470.0
MIRT003081,hsa-miR-122-5p,hsa,ANK2,287.0,hsa,Luciferase reporter assay//qRT-PCR,Functional MTI,19296470.0
MIRT003108,hsa-miR-122-5p,hsa,SLC7A11,23657.0,hsa,Luciferase reporter assay//qRT-PCR,Functional MTI,19296470.0
MIRT003080,hsa-miR-122-5p,hsa,GYS1,2997.0,hsa,qRT-PCR//Western blot//Northern blot,Functional MTI,18073344.0
MIRT003079,hsa-miR-122-5p,hsa,GTF2B,2959.0,hsa,qRT-PCR,Functional MTI (Weak),18073344.0
MIRT003105,hsa-miR-122-5p,hsa,SLC7A1,6541.0,hsa,Northern blot,Functional MTI (Weak),18073344.0
MIRT003085,hsa-miR-122-5p,hsa,ALDOA,226.0,hsa,Northern blot,Functional MTI (Weak),18073344.0
MIRT003741,hsa-miR-17-5p,hsa,RUNX1,861.0,hsa,Luciferase reporter assay,Functional MTI,17589498.0
MIRT003015,hsa-miR-17-5p,hsa,MEF2D,4209.0,hsa,Luciferase reporter assay,Functional MTI,19666108.0
MIRT003014,hsa-miR-17-5p,hsa,BCL2,596.0,hsa,Luciferase reporter assay,Functional MTI,19666108.0
MIRT003013,hsa-miR-17-5p,hsa,MAP3K12,7786.0,hsa,Luciferase reporter assay,Functional MTI,19666108.0
MIRT003006,hsa-miR-122-5p,hsa,CCNG1,900.0,hsa,Reporter assay,Functional MTI (Weak),17616664.0
MIRT003079,hsa-miR-122-5p,hsa,GTF2B,2959.0,hsa,qRT-PCR,Functional MTI (Weak),18073344.0
MIRT003741,hsa-miR-17-5p,hsa,RUNX1,861.0,hsa,Reporter assay//qRT-PCR//Western blot,Functional MTI,17589498.0
MIRT002024,hsa-miR-210-3p,hsa,EFNA3,1944.0,hsa,Luciferase reporter assay//Western blot,Functional MTI,18417479.0
MIRT001992,hsa-miR-182-5p,hsa,ADCY6,112.0,hsa,Luciferase reporter assay,Functional MTI,17597072.0
MIRT001992,hsa-miR-182-5p,hsa,ADCY6,112.0,hsa,Luciferase reporter assay,Functional MTI,17597072.0
MIRT001992,hsa-miR-182-5p,hsa,ADCY6,112.0,hsa,Luciferase reporter assay,Functional MTI,17597072.0
MIRT001992,hsa-miR-182-5p,hsa,ADCY6,112.0,hsa,Luciferase reporter assay,Functional MTI,17597072.0
MIRT001992,hsa-miR-182-5p,hsa,ADCY6,112.0,hsa,Luciferase reporter assay,Functional MTI,17597072.0
MIRT001992,hsa-miR-182-5p,hsa,ADCY6,112.0,hsa,Luciferase reporter assay,Functional MTI,17597072.0
MIRT001990,hsa-miR-182-5p,hsa,MITF,4286.0,hsa,Luciferase reporter assay,Functional MTI,17597072.0
MIRT001990,hsa-miR-182-5p,hsa,MITF,4286.0,hsa,Luciferase reporter assay,Functional MTI,17597072.0
MIRT001990,hsa-miR-182-5p,hsa,MITF,4286.0,hsa,Luciferase reporter assay,Functional MTI,17597072.0
MIRT001990,hsa-miR-182-5p,hsa,MITF,4286.0,hsa,Luciferase reporter assay,Functional MTI,17597072.0
MIRT002024,hsa-miR-210-3p,hsa,EFNA3,1944.0,hsa,Luciferase reporter assay,Functional MTI,18539147.0
MIRT001930,hsa-miR-210-3p,hsa,NPTX1,4884.0,hsa,Luciferase reporter assay,Functional MTI,18539147.0
MIRT001920,hsa-miR-146a-5p,hsa,BRCA1,672.0,hsa,Luciferase reporter assay,Functional MTI,18660546.0
MIRT001919,hsa-miR-146a-5p,hsa,BRCA2,675.0,hsa,Luciferase reporter assay,Functional MTI,18660546.0
