miRTarBase ID,miRNA,Species (miRNA),Target Gene,Target Gene (Entrez ID),Species (Target Gene),Experiments,Support Type,References (PMID)
MIRT001992,hsa-miR-182-5p,hsa,ADCY6,112.0,hsa,Luciferase reporter assay,Functional MTI,17597072.0
MIRT001992,hsa-miR-182-5p,hsa,ADCY6,112.0,hsa,Luciferase reporter assay,Functional MTI,17597072.0
MIRT001992,hsa-miR-182-5p,hsa,ADCY6,112.0,hsa,Luciferase reporter assay,Functional MTI,17597072.0
MIRT001992,hsa-miR-182-5p,hsa,ADCY6,112.0,hsa,Luciferase reporter assay,Functional MTI,17597072.0
MIRT001992,hsa-miR-182-5p,hsa,ADCY6,112.0,hsa,Luciferase reporter assay,Functional MTI,17597072.0
MIRT001992,hsa-miR-182-5p,hsa,ADCY6,112.0,hsa,Luciferase reporter assay,Functional MTI,17597072.0
MIRT001990,hsa-miR-182-5p,hsa,MITF,4286.0,hsa,Luciferase reporter assay,Functional MTI,17597072.0
MIRT001990,hsa-miR-182-5p,hsa,MITF,4286.0,hsa,Luciferase reporter assay,Functional MTI,17597072.0
MIRT001990,hsa-miR-182-5p,hsa,MITF,4286.0,hsa,Luciferase reporter assay,Functional MTI,17597072.0
MIRT001990,hsa-miR-182-5p,hsa,MITF,4286.0,hsa,Luciferase reporter assay,Functional MTI,17597072.0
MIRT001920,hsa-miR-146a-5p,hsa,BRCA1,672.0,hsa,Luciferase reporter assay,Functional MTI,18660546.0
MIRT001919,hsa-miR-146a-5p,hsa,BRCA2,675.0,hsa,Luciferase reporter assay,Functional MTI,18660546.0
MIRT001229,hsa-let-7b-5p,hsa,CDC34,997.0,hsa,Luciferase reporter assay//Western blot,Functional MTI,19126550.0
MIRT001229,hsa-let-7b-5p,hsa,CDC34,997.0,hsa,Luciferase reporter assay//Western blot,Functional MTI,19126550.0
MIRT001222,hsa-miR-182-5p,hsa,RARG,5916.0,hsa,Luciferase reporter assay//Western blot,Functional MTI,19782699.0
MIRT001222,hsa-miR-182-5p,hsa,RARG,5916.0,hsa,Luciferase reporter assay//Western blot,Functional MTI,19782699.0
MIRT001209,hsa-miR-494-3p,hsa,PTEN,5728.0,hsa,qRT-PCR//Luciferase reporter assay//Western blot,Functional MTI,20006626.0
MIRT001209,hsa-miR-494-3p,hsa,PTEN,5728.0,hsa,qRT-PCR//Luciferase reporter assay//Western blot,Functional MTI,20006626.0
MIRT004285,hsa-miR-491-5p,hsa,BCL2L1,598.0,hsa,Luciferase reporter assay//Western blot,Functional MTI,20039318.0
MIRT001175,hsa-miR-200a-3p,hsa,CTNNB1,1499.0,hsa,qRT-PCR//Luciferase reporter assay//Western blot,Functional MTI,19703993.0
MIRT002480,hsa-miR-200a-3p,hsa,ZEB1,6935.0,hsa,qRT-PCR//Western blot,Functional MTI,19703993.0
MIRT001035,hsa-miR-200a-3p,hsa,ZEB2,9839.0,hsa,qRT-PCR//Western blot,Functional MTI,19703993.0
MIRT000671,hsa-miR-182-5p,hsa,FOXO3,2309.0,hsa,Luciferase reporter assay//Western blot,Functional MTI,19188590.0
MIRT000671,hsa-miR-182-5p,hsa,FOXO3,2309.0,hsa,Luciferase reporter assay//Western blot,Functional MTI,19188590.0
MIRT001990,hsa-miR-182-5p,hsa,MITF,4286.0,hsa,Luciferase reporter assay//Western blot,Functional MTI,19188590.0
MIRT001990,hsa-miR-182-5p,hsa,MITF,4286.0,hsa,Luciferase reporter assay//Western blot,Functional MTI,19188590.0
MIRT001990,hsa-miR-182-5p,hsa,MITF,4286.0,hsa,Luciferase reporter assay//Western blot,Functional MTI,19188590.0
MIRT003834,hsa-let-7b-5p,hsa,LIN28B,389421.0,hsa,Luciferase reporter assay,Functional MTI,16971064.0
MIRT003834,hsa-let-7b-5p,hsa,LIN28B,389421.0,hsa,Luciferase reporter assay,Functional MTI,16971064.0
MIRT001086,hsa-miR-182-5p,hsa,FOXO1,2308.0,hsa,qRT-PCR//Luciferase reporter assay//Western blot,Functional MTI,19574223.0
MIRT001074,hsa-miR-370-3p,hsa,MAP3K8,1326.0,hsa,Luciferase reporter assay//Western blot,Functional MTI,17621267.0
MIRT002480,hsa-miR-200a-3p,hsa,ZEB1,6935.0,hsa,qRT-PCR//Luciferase reporter assay//Western blot,Functional MTI,18381893.0
