"","waldStat","df","pvalue","fcMedian","FDR"
"__alignment_not_unique",248.128316581388,5,0,0.511603614839548,0
"__not_aligned",904.219040145112,5,0,1.10707625324687,0
"__no_feature",70.0955641529718,5,9.79216707719388e-14,0.204959274048441,4.35718575314063e-13
"__ambiguous",884.616632207718,5,0,0.415030261729969,0
"ENSG00000087086",380.383511991016,5,0,0.564815179748154,0
"ENSG00000158874",181.228996365757,5,0,1.05801073784161,0
"ENSG00000198712",463.491348569427,4,0,0.736825772480914,0
"ENSG00000198804",22.7491641549694,5,0.000376945300477938,0.137012231913424,0.000620649174379651
"ENSG00000075624",570.567188025913,5,0,1.2986786245372,0
"ENSG00000210082",129.51791787637,5,0,0.212822532094059,0
"ENSG00000198938",76.5808755172252,5,4.32986979603811e-15,0.274114416843235,2.14765860955606e-14
"ENSG00000081051",47.8651126761952,4,1.00690766835498e-09,0.452179817400173,3.07168612324856e-09
"ENSG00000198727",9.123928121187,5,0.104222013957536,0.0386066839356041,0.122371656293706
"ENSG00000163631",279.133309451652,4,0,0.90928436314149,0
"ENSG00000197061",285.163262675506,5,0,1.30513694048111,0
"ENSG00000251562",493.015908456021,5,0,1.39617436286111,0
"ENSG00000084207",293.398906070068,5,0,0.432378153429388,0
"ENSG00000170421",60.1191554663744,5,1.14845910559325e-11,0.492364524579733,4.30185529383233e-11
"ENSG00000111057",15.4053841740174,5,0.00876361479238619,0.108755807900359,0.0120712117881275
"ENSG00000111640",441.391012054881,5,0,0.568608698697908,0
"ENSG00000198886",13.7290721536115,5,0.0174251333929863,0.0900291149663998,0.0228317459279643
"ENSG00000211459",178.726880945564,5,0,0.57792853358137,0
"ENSG00000137818",480.180595762864,5,0,0.649933710048776,0
"ENSG00000167996",157.191222090124,5,0,0.292541753451811,0
"ENSG00000171564",158.238631573947,5,0,0.532805357437944,0
"ENSG00000198899",49.9372827692895,5,1.42735823160933e-09,0.239965337155159,4.282074694828e-09
"ENSG00000091513",270.124115190783,5,0,0.921304138591613,0
"ENSG00000105372",766.342204249037,5,0,1.16683274990233,0
"ENSG00000156508",143.304095147385,5,0,0.187247718990369,0
"ENSG00000231500",580.083473852938,5,0,0.817273965672603,0
"ENSG00000118137",113.100743542264,5,0,0.205689362060609,0
"ENSG00000106927",84.8701199122824,5,1.11022302462516e-16,0.181613460148455,6.08328814319404e-16
"ENSG00000174748",368.897663078575,5,0,0.305976931823615,0
"ENSG00000044574",297.870941506251,5,0,0.875997898614148,0
"ENSG00000177954",929.92075728521,5,0,1.5456021293892,0
"ENSG00000184009",143.845358473487,3,0,1.22704191773817,0
