"Transcript/RepeatID (cmd=analyzeRepeats-pl /home/cbenner/data/software/gencode/hg38/gencode-best-rna hg38 -fpkm -count exons -strand - -minLength 250 -d HMDM-RNAseq-mock-24h-4G2neg-p1 HMDM-RNAseq-mock-24h-4G2neg-p3 HMDM-RNAseq-mock-24h-4G2neg-p4 HMDM-RNAseq-mock-24h-4G2neg-p5 HMDM-RNAseq-mock-24h-4G2neg-p6 HMDM-RNAseq-mock-24h-4G2neg-pooled HMDM-RNAseq-FSSADE-12h-4G2neg-p4 HMDM-RNAseq-FSSADE-12h-4G2neg-p5 HMDM-RNAseq-FSSADE-12h-4G2neg-p6 HMDM-RNAseq-FSSADE-12h-4G2neg-pooled HMDM-RNAseq-FSSADE-12h-4G2pos-p4 HMDM-RNAseq-FSSADE-12h-4G2pos-p5 HMDM-RNAseq-FSSADE-12h-4G2pos-p6 HMDM-RNAseq-FSSADE-12h-4G2pos-pooled HMDM-RNAseq-FSSADE-18h-4G2neg-p4 HMDM-RNAseq-FSSADE-18h-4G2neg-p5 HMDM-RNAseq-FSSADE-18h-4G2neg-p6 HMDM-RNAseq-FSSADE-18h-4G2neg-pooled HMDM-RNAseq-FSSADE-18h-4G2pos-p4 HMDM-RNAseq-FSSADE-18h-4G2pos-p5 HMDM-RNAseq-FSSADE-18h-4G2pos-p6 HMDM-RNAseq-FSSADE-18h-4G2pos-pooled HMDM-RNAseq-FSSADE-24h-4G2neg-p1 HMDM-RNAseq-FSSADE-24h-4G2neg-p3 HMDM-RNAseq-FSSADE-24h-4G2neg-p4 HMDM-RNAseq-FSSADE-24h-4G2neg-p5 HMDM-RNAseq-FSSADE-24h-4G2neg-p6 HMDM-RNAseq-FSSADE-24h-4G2neg-pooled HMDM-RNAseq-FSSADE-24h-4G2pos-p1 HMDM-RNAseq-FSSADE-24h-4G2pos-p3 HMDM-RNAseq-FSSADE-24h-4G2pos-p4 HMDM-RNAseq-FSSADE-24h-4G2pos-p5 HMDM-RNAseq-FSSADE-24h-4G2pos-p6 HMDM-RNAseq-FSSADE-24h-4G2pos-pooled)","chr","start","end","strand","Length","gene_name","Annotation/Divergence","gene_id","gene_type"
"ENST00000228928.11","chr12",112938352,112973249,"+",6688,"OAS3","OAS3|p100|p100OAS|-|12q24.13|protein-coding","ENSG00000111331.12","protein_coding"
"ENST00000264350.7","chr4",88457117,88506163,"+",3468,"HERC5","HERC5|CEB1|CEBP1|-|4q22.1|protein-coding","ENSG00000138646.8","protein_coding"
"ENST00000257570.9","chr12",121019111,121039242,"-",3255,"OASL","OASL|OASLd|TRIP-14|TRIP14|p59 OASL|p59-OASL|p59OASL|-|12q24.31|protein-coding","ENSG00000135114.12","protein_coding"
"ENST00000370751.9","chr1",78620403,78646145,"+",5857,"IFI44L","IFI44L|C1orf29|GS3686|-|1p31.1|protein-coding","ENSG00000137959.15","protein_coding"
"ENST00000371818.8","chr10",89327894,89340971,"+",2493,"IFIT3","IFIT3|CIG-49|GARG-49|IFI60|IFIT4|IRG2|ISG60|P60|RIG-G|cig41|-|10q23.31|protein-coding","ENSG00000119917.13","protein_coding"
"ENST00000306602.2","chr4",76021117,76023497,"-",1169,"CXCL10","CXCL10|C7|IFI10|INP10|IP-10|SCYB10|crg-2|gIP-10|mob-1|-|4q21.1|protein-coding","ENSG00000169245.5","protein_coding"
"ENST00000371826.3","chr10",89301955,89309276,"+",3486,"IFIT2","IFIT2|G10P2|GARG-39|IFI-54|IFI-54K|IFI54|IFIT-2|ISG-54 K|ISG-54K|ISG54|P54|cig42|-|10q23.31|protein-coding","ENSG00000119922.9","protein_coding"
"ENST00000379389.4","chr1",1013423,1014540,"+",708,"ISG15","ISG15|G1P2|IFI15|IMD38|IP17|UCRP|hUCRP|-|1p36.33|protein-coding","ENSG00000187608.8","protein_coding"
"ENST00000256722.9","chr2",6848316,6865696,"-",2875,"CMPK2","CMPK2|NDK|TMPK2|TYKi|UMP-CMPK2|-|2p25.2|protein-coding","ENSG00000134326.11","protein_coding"
"ENST00000371804.3","chr10",89392546,89403988,"+",1877,"IFIT1","IFIT1|C56|G10P1|IFI-56|IFI-56K|IFI56|IFIT-1|IFNAI1|ISG56|P56|RNM561|-|10q23.31|protein-coding","ENSG00000185745.9","protein_coding"
"ENST00000361099.7","chr2",190969034,191014250,"-",4261,"STAT1","STAT1|CANDF7|IMD31A|IMD31B|IMD31C|ISGF-3|STAT91|-|2q32.2|protein-coding","ENSG00000115415.18","protein_coding"
"ENST00000370747.8","chr1",78649831,78664078,"+",1670,"IFI44","IFI44|MTAP44|TLDC5|p44|-|1p31.1|protein-coding","ENSG00000137965.10","protein_coding"
"ENST00000438323.2","chr17",43006740,43014456,"+",1219,"IFI35","IFI35|IFP35|-|17q21.31|protein-coding","ENSG00000068079.7","protein_coding"
"ENST00000318238.8","chr7",93130055,93148368,"-",7125,"SAMD9L","SAMD9L|ATXPC|C7orf6|DRIF2|UEF1|-|7q21.2|protein-coding","ENSG00000177409.11","protein_coding"
"ENST00000330714.7","chr21",41361943,41408943,"+",3015,"MX2","MX2|MXB|-|21q22.3|protein-coding","ENSG00000183486.12","protein_coding"
"ENST00000242210.11","chr7",33014148,33062797,"-",1653,"NT5C3A","0","ENSG00000122643.18","protein_coding"
"ENST00000361157.10","chr1",27666061,27672218,"-",832,"IFI6","IFI6|6-16|FAM14C|G1P3|IFI-6-16|IFI616|-|1p35.3|protein-coding","ENSG00000126709.14","protein_coding"
"ENST00000263642.2","chr2",162267079,162318703,"-",3564,"IFIH1","IFIH1|AGS7|Hlcd|IDDM19|MDA-5|MDA5|RLR-2|SGMRT1|-|2q24.2|protein-coding","ENSG00000115267.5","protein_coding"
"ENST00000202917.9","chr12",112906777,112919903,"+",1805,"OAS1","OAS1|E18/E16|IFI-4|OIAS|OIASI|-|12q24.13|protein-coding","ENSG00000089127.12","protein_coding"
"ENST00000264346.11","chr4",88378863,88443111,"+",3734,"HERC6","HERC6|-|-|4q22.1|protein-coding","ENSG00000138642.14","protein_coding"
"ENST00000330243.9","chr11",612591,615970,"-",1973,"IRF7","IRF7|IMD39|IRF-7H|IRF7A|IRF7B|IRF7C|IRF7H|-|11p15.5|protein-coding","ENSG00000185507.19","protein_coding"
"ENST00000379883.2","chr9",32455705,32526324,"-",4318,"DDX58","DDX58|RIG-I|RIGI|RLR-1|SGMRT2|-|9p21.1|protein-coding","ENSG00000107201.9","protein_coding"
"ENST00000215794.7","chr22",18149899,18177397,"+",2108,"USP18","USP18|ISG43|PTORCH2|UBP43|-|22q11.21|protein-coding","ENSG00000184979.9","protein_coding"
"ENST00000342315.8","chr12",112978395,113011723,"+",3592,"OAS2","OAS2|-|-|12q24.13|protein-coding","ENSG00000111335.12","protein_coding"
"ENST00000379958.2","chr7",93099516,93118023,"-",6847,"SAMD9","SAMD9|C7orf5|DRIF1|MIRAGE|NFTC|OEF1|OEF2|-|7q21.2|protein-coding","ENSG00000205413.7","protein_coding"
"ENST00000398600.6","chr21",41420515,41459214,"+",3433,"MX1","MX1|IFI-78K|IFI78|MX|MxA|-|21q22.3|protein-coding","ENSG00000157601.13","protein_coding"
"ENST00000408968.3","chr11",313853,315272,"+",852,"IFITM1","IFITM1|9-27|CD225|DSPA2a|IFI17|LEU13|-|11p15.5|protein-coding","ENSG00000185885.15","protein_coding"
"ENST00000251642.7","chr17",42101404,42112733,"-",2590,"DHX58","DHX58|D11LGP2|D11lgp2e|LGP2|RLR-3|-|17q21.2|protein-coding","ENSG00000108771.12","protein_coding"
"ENST00000427522.6","chr20",63558086,63568074,"-",7800,"HELZ2","HELZ2|PDIP-1|PRIC285|-|20q13.33|protein-coding","ENSG00000130589.16","protein_coding"
"ENST00000292494.10","chr8",143018482,143022412,"+",1174,"LY6E","LY6E|RIG-E|RIGE|SCA-2|SCA2|TSA-1|-|8q24.3|protein-coding","ENSG00000160932.10","protein_coding"
"ENST00000254299.8","chr14",54842017,54902811,"-",2890,"GCH1","0","ENSG00000131979.18","protein_coding"
"ENST00000393743.7","chr4",168216293,168318807,"-",5996,"DDX60","DDX60|-|-|4q32.3|protein-coding","ENSG00000137628.16","protein_coding"
"ENST00000399808.4","chr11",319669,321050,"-",805,"IFITM3","IFITM3|1-8U|DSPA2b|IP15|-|11p15.5|protein-coding","ENSG00000142089.15","protein_coding"
"ENST00000258382.9","chr2",230176475,230220112,"-",2051,"SP110","SP110|IFI41|IFI75|IPR1|VODI|-|2q37.1|protein-coding","ENSG00000135899.17","protein_coding"
"ENST00000361842.7","chr17",6755840,6775647,"+",3610,"XAF1","XAF1|BIRC4BP|HSXIAPAF1|XIAPAF1|-|17p13.1|protein-coding","ENSG00000132530.16","protein_coding"
"ENST00000447944.6","chr2",55634265,55693910,"-",4356,"PNPT1","PNPT1|COXPD13|DFNB70|OLD35|PNPASE|old-35|-|2p16.1|protein-coding","ENSG00000138035.14","protein_coding"
"ENST00000344754.5","chr20",3686970,3707128,"-",6679,"SIGLEC1","SIGLEC1|CD169|SIGLEC-1|SN|dJ1009E24.1|-|20p13|protein-coding","ENSG00000088827.12","protein_coding"
"ENST00000313624.11","chr13",42886388,42992249,"-",3093,"EPSTI1","EPSTI1|BRESI1|-|13q14.11|protein-coding","ENSG00000133106.14","protein_coding"
"ENST00000474629.6","chr3",122680618,122730840,"+",7882,"PARP14","PARP14|ARTD8|BAL2|PARP-14|pART8|-|3q21.1|protein-coding","ENSG00000173193.13","protein_coding"
"ENST00000425368.6","chr6",31945709,31952084,"+",2827,"CFB","CFB|AHUS4|ARMD14|BF|BFD|CFAB|CFBD|FB|FBI12|GBG|H2-Bf|PBF2|-|6p21.33|protein-coding","ENSG00000243649.8","protein_coding"
"ENST00000360356.6","chr3",122527959,122564577,"-",3177,"PARP9","PARP9|ARTD9|BAL|BAL1|MGC:7868|-|3q21.1|protein-coding","ENSG00000138496.16","protein_coding"
"ENST00000371752.5","chr20",49245897,49278065,"-",7185,"ZNFX1","ZNFX1|-|-|20q13.13|protein-coding","ENSG00000124201.14","protein_coding"
"ENST00000233057.8","chr2",37099210,37157047,"-",10009,"EIF2AK2","EIF2AK2|EIF2AK1|PKR|PPP1R83|PRKR|-|2p22.2|protein-coding","ENSG00000055332.16","protein_coding"
"ENST00000380034.7","chr11",5663557,5685063,"-",2976,"TRIM5","TRIM5|RNF88|TRIM5alpha|-|11p15.4|protein-coding","ENSG00000132256.18","protein_coding"
"ENST00000259339.6","chr9",129803153,129811281,"+",2760,"TOR1B","TOR1B|DQ1|-|9q34.11|protein-coding","ENSG00000136816.15","protein_coding"
"ENST00000259008.6","chr17",61681266,61863521,"-",6009,"BRIP1","BRIP1|BACH1|FANCJ|OF|-|17q23.2|protein-coding","ENSG00000136492.8","protein_coding"
"ENST00000511577.5","chr4",168356735,168480514,"-",6706,"DDX60L","0","ENSG00000181381.13","protein_coding"
"ENST00000301887.8","chr11",64987943,64997045,"-",2137,"BATF2","BATF2|SARI|-|11q13.1|protein-coding","ENSG00000168062.9","protein_coding"
"ENST00000557235.5","chr12",56342936,56360126,"-",3026,"STAT2","STAT2|IMD44|ISGF-3|P113|STAT113|-|12q13.3|protein-coding","ENSG00000170581.13","protein_coding"
"ENST00000379977.7","chr10",5952371,5977590,"-",1613,"IL15RA","IL15RA|CD215|-|10p15.1|protein-coding","ENSG00000134470.20","protein_coding"
"ENST00000382040.3","chr2",6877665,6898239,"+",3508,"RSAD2","RSAD2|2510004L01Rik|cig33|cig5|vig1|-|2p25.2|protein-coding","ENSG00000134321.11","protein_coding"
"ENST00000287156.8","chr11",57551662,57567807,"-",1347,"UBE2L6","UBE2L6|RIG-B|UBCH8|-|11q12.1|protein-coding","ENSG00000156587.15","protein_coding"
"ENST00000262776.7","chr17",78971238,78980109,"-",2394,"LGALS3BP","LGALS3BP|90K|BTBD17B|CyCAP|M2BP|MAC-2-BP|TANGO10B|gp90|-|17q25.3|protein-coding","ENSG00000108679.12","protein_coding"
"ENST00000226299.8","chr4",17577192,17607968,"+",2188,"LAP3","0","ENSG00000002549.12","protein_coding"
"ENST00000356865.10","chr15",25677273,25863208,"-",6639,"ATP10A","ATP10A|ATP10C|ATPVA|ATPVC|-|15q12|protein-coding","ENSG00000206190.11","protein_coding"
"ENST00000269593.4","chr17",40443461,40457731,"+",2193,"IGFBP4","IGFBP4|BP-4|HT29-IGFBP|IBP4|IGFBP-4|-|17q21.2|protein-coding","ENSG00000141753.6","protein_coding"
"ENST00000264951.8","chr3",142306607,142448062,"-",10060,"XRN1","XRN1|SEP1|-|3q23|protein-coding","ENSG00000114127.10","protein_coding"
"ENST00000518237.5","chr8",39913284,39928431,"+",2078,"IDO1","IDO1|IDO|IDO-1|INDO|-|8p11.21|protein-coding","ENSG00000131203.12","protein_coding"
"ENST00000413052.6","chr1",112674421,112700746,"+",3600,"MOV10","MOV10|fSAP113|gb110|-|1p13.2|protein-coding","ENSG00000155363.18","protein_coding"
"ENST00000355083.9","chr3",52836756,52897596,"-",4754,"TMEM110","TMEM110|STIMATE|-|3p21.1|protein-coding","ENSG00000213533.11","protein_coding"
"ENST00000379965.7","chr11",5689689,5710863,"+",2974,"TRIM22","TRIM22|GPSTAF50|RNF94|STAF50|-|11p15.4|protein-coding","ENSG00000132274.15","protein_coding"
